roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
13020D,NULL,OUR LADY OF MERCY N S,Carrigahilla,Waterford,primary,96,52.1378868,-7.4671738,227085,STRADBALLY
13026P,NULL,KILFINANE CONVENT PRIMARY SCHOOL,Castle Street,Limerick,primary,143,52.3586898,-8.4672787,127090,KILFINNANE
13031I,NULL,ST JOSEPHS CONVENT N S,Smith's Road,Cork,primary,211,52.3546235,-8.685934,47090,RATHLUIRC
13047A,NULL,S N LIOS A CUILL M,Corracoggil North,Roscommon,primary,95,53.8592062,-8.6367412,197004,ARTAGH NORTH
13080V,NULL,KILMOVEE IN S,Ballyglass,Mayo,primary,51,53.8883461,-8.6882088,157103,KILMOVEE
13095L,NULL,S N AN DROMA MHOIR,Dromore,Cork,primary,70,51.6800803,-9.4525763,47042,BANTRY URBAN
13105L,NULL,ST BRIDGETS MONASTERY BOYS SENIOR SCHOOL,Muinebheag,Carlow,primary,147,52.7002488,-6.9547026,NULL,NULL
13118U,NULL,CLARA CONVENT N S,Kilbeggan Road,Offaly,primary,217,53.3421242,-7.603988,187018,CLARA
13125R,NULL,SCOIL DHAIRBHRE,Cruary,Cork,primary,41,51.6203379,-8.9055104,47096,CLONAKILTY URBAN
13145A,NULL,S N NAOMH COLM CILLE,The Quay,Mayo,primary,187,53.7980675,-9.5503204,157153,WESTPORT URBAN
13150Q,NULL,KNOCKANES MXD N S,Knockanes,Kerry,primary,63,52.0335128,-9.3777531,77033,BREWSTERFIELD
13152U,NULL,ST JOSEPHS N S,Derrydorragh,Mayo,primary,101,53.8216505,-9.3346277,157055,CLOONKEEN
13165G,NULL,KILBERRY N S,Kilberry,Kildare,primary,97,53.0507557,-7.0224208,87046,KILBERRY
13173F,NULL,PADDOCK N S,Paddock,Laois,primary,82,53.0229542,-7.4985084,NULL,NULL
13174H,NULL,ST COLUMBAS N.S.,Ballyvaum,Mayo,primary,3,53.7019853,-10.1026716,157050,CLARE ISLAND
13191H,NULL,HIGH ST MIXED N S,Highstreet,Offaly,primary,64,-38.1773299,144.3403023,NULL,NULL
13196R,NULL,Taunagh National School,Riverstown,Sligo,primary,27,54.130045,-8.397787,207066,RIVERSTOWN
13198V,NULL,ST ANNES CON N S,The Square,Roscommon,primary,121,53.766325,-8.4864534,197032,CASTLEREAGH
13203L,NULL,ST PATRICKS MXD N S,Loch Gowna,Cavan,primary,93,53.8737049,-7.5336731,27078,SCRABBY
13217W,NULL,HOLY FAMILY NATIONAL SCHOOL,Rathcoole,Dublin,primary,708,53.2801699,-6.4767635,267112,RATHCOOLE
13222P,NULL,SN GLEANN A CHAISIL,Bunnahowen,Mayo,primary,58,54.1956429,-9.9090142,157081,GLENCASTLE
13224T,NULL,ST KEVIN'S BALLYCOOG NS,Ballycoog,Wicklow,primary,23,52.8279334,-6.2643155,257003,ARKLOW RURAL
13225V,NULL,CORMAIC NFA,Killeennashask,Mayo,primary,40,999,999,NULL,NULL
13234W,NULL,CLOUGHDUV N S,Cloughduv,Cork,primary,121,51.8463885,-8.7887842,47263,MOVIDDY
13242V,NULL,CASTLEROCK N S,Drummartin,Sligo,primary,38,54.0619725,-8.8591747,207016,BREENCORRAGH
13246G,NULL,MONEYSTOWN N S,Moneystown,Wicklow,primary,116,53.0035937,-6.1991311,257057,MONEYSTOWN
13262E,NULL,CLOVER HILL N S,Lisagallan,Roscommon,primary,65,53.6529485,-8.2519894,197027,CAMS
13271F,NULL,FAIRGREEN N S,Railway Road,Cavan,primary,40,54.0989352,-7.4433239,NULL,NULL
13286S,NULL,TIRELTON N S MXD,Tarelton,Cork,primary,82,51.8372603,-8.9904989,47301,TEERELTON
13299E,NULL,GLANBRIAN N S,Gallinastraw,Wexford,primary,85,52.4647155,-6.5003913,247016,BALLYHUSKARD
13311O,NULL,ST PATRICKS NS,Clare Island,Mayo,primary,16,53.793183,-9.9898446,157050,CLARE ISLAND
13313S,NULL,"St. John's National School,",Ballinalee Road,Longford,primary,26,53.6956862,-7.608493,137029,MEATHAS TRUIM
13320P,NULL,FERMOYLE MIXED N S,Fermoyle,Longford,primary,115,53.6246602,-7.9933557,137054,RATHCLINE
13328I,NULL,ST PATRICKS N S,Morristown,Kildare,primary,201,53.1779536,-6.8140395,NULL,NULL
13335F,NULL,COURT N S,Court,Wexford,primary,132,52.55335,-6.3417672,247087,MONAMOLIN
13343E,NULL,SCOIL BHRIDE,Stillbrook,Laois,primary,83,53.0002948,-7.4763032,107073,MOUNTRATH
13350B,NULL,SCOIL BRIDE,Athgarvan,Kildare,primary,318,53.1492284,-6.7983558,87008,BALLYSAX EAST
13365O,NULL,SCOIL MHUIRE,Castle Road,Galway,primary,437,53.2673363,-8.9318252,67184,ORANMORE
13375R,NULL,SCOIL BHRIDE,Crossmahon,Cork,primary,215,51.7270742,-8.7699329,47033,BALLYMODAN
13379C,NULL,S N PADRAIG NFA FANOIR,Fanore,Clare,primary,29,53.10493,-9.29554,37047,DERREEN
13383Q,NULL,S N AN TSRAITH,Bunnahowen,Mayo,primary,17,54.1919099,-9.9054109,157081,GLENCASTLE
13389F,NULL,SN AN TRIAN LAIR,Midfield,Mayo,primary,71,53.897116,-8.927196,157038,BRACKLOON
13402R,NULL,KNOCKRAHA N S,Knockraha,Cork,primary,165,51.9582892,-8.3396802,47229,KNOCKRAHA
13404V,NULL,Scoil Mhuire Gan Smál,New Inn,Tipperary,primary,120,52.4409429,-7.8837206,217116,KNOCKGRAFFON
13415D,NULL,SN TUAIRINI,Tuairíní,Galway,primary,85,53.3068537,-9.1530849,67179,MOYCULLEN
13418J,NULL,BALLYEA MIXED N S,Ballyea,Clare,primary,208,52.7839167,-9.0296878,37091,KILLONE
13444K,NULL,S N BEAL ATHA NA HEIN,Ballyhean,Mayo,primary,85,53.8550014,-9.2879257,157049,CASTLEBAR URBAN
13447Q,NULL,SCOIL MHUIRE,Lucan Road,Dublin,primary,638,53.3590634,-6.4398652,267101,LUCAN HEIGHTS
13450F,NULL,Bunscoil Rinn an Chabhlaigh,Rushbrooke,Cork,primary,724,51.8499374,-8.3146027,47107,COBH URBAN
13459A,NULL,S N GALLBHAILE,Galbally,Limerick,primary,118,52.4012269,-8.2961252,127072,GALBALLY
13483U,NULL,S N ATH NA LIONTA,Mourneabbey,Cork,primary,90,52.0688714,-8.6379625,47037,BALLYNAMONA
13498K,NULL,CLOONFOUR N S,Cloonfour,Roscommon,primary,24,53.8327737,-7.9215349,197096,ROOSKY
13500R,NULL,MOUNT PLEASANT N S,Ballyglass,Mayo,primary,86,53.7461052,-9.1771175,157134,ROSLEE
13507I,NULL,S N MUIRE LOURDES,Mill Street,Carlow,primary,251,52.8008302,-6.7344061,17051,TULLOW URBAN
13512B,NULL,SCOIL MHUIRE LOURDES,Ballea Road,Cork,primary,389,51.819619,-8.397268,47072,CARRIGALINE
13530D,NULL,SCOIL MHUIRE,Moyderwell,Kerry,primary,404,52.2681291,-9.6997039,NULL,NULL
13540G,NULL,MURHUR N S,Listowel Road,Kerry,primary,68,52.5007826,-9.3720564,77142,NEWTOWNSANDES
13543M,NULL,DERRINACAHARA N S,Derrinacahara,Cork,primary,57,51.7529551,-9.1765797,47155,GARROWN
13555T,NULL,S N FAITCHE,Toorgarve,Mayo,primary,98,53.8501218,-9.4920782,157100,KILMACLASSER
13563S,NULL,S N CHILL COINNIGH,Kilkenny,Donegal,primary,20,52.6541454,-7.2447879,NULL,NULL
13571R,NULL,DRUMRANEY MIXED N S,Drumraney,Westmeath,primary,27,53.4765767,-7.7486192,237038,DRUMRANEY
13597M,NULL,ST ANDREWS N S,Newcourt Road,Wicklow,primary,212,53.1896749,-6.1013355,257051,KILMACANOGE
13607M,NULL,ST COLUMBAS N S,Dublin Road,Carlow,primary,59,999,999,NULL,NULL
13611D,NULL,PRESENTATION PRIMARY SCHOOL,Warrenmount,Dublin,primary,191,53.3357624,-6.2754101,268101,MERCHANTS QUAY D
13612F,NULL,PRESENTATION PRIMARY SCHOOL,Terenure Road West,Dublin,primary,582,53.3103186,-6.2876602,268145,TERENURE B
13615L,NULL,SCOIL EOIN,Balloonagh,Kerry,primary,629,52.2723865,-9.7101422,NULL,NULL
13621G,NULL,S N MUIRE,Letterfrack,Galway,primary,84,53.5536034,-9.9482317,67029,BALLYNAKILL
13625O,NULL,KILNAMONA N S,Kilnamona,Clare,primary,107,52.867855,-9.0785584,37096,KILNAMONA
13632L,NULL,ANNALITTEN N S,Annalitten,Monaghan,primary,24,54.0830401,-6.7032967,NULL,NULL
13635R,NULL,BALLYDUFF N S,Ballyduff West,Waterford,primary,229,52.2324403,-7.2689852,227059,KILMEADAN
13643Q,NULL,EMO MIXED N S,Emo,Laois,primary,209,53.1004132,-7.2087371,107046,EMO
13647B,NULL,CASTLEMARTYR N S,Gortnahomnamore,Cork,primary,259,51.91129,-8.0516519,47173,IGHTERMURRAGH
13648D,NULL,ST LUKES MXD N S,O' Mahony's Avenue,Cork,primary,83,51.903919,-8.4562779,48064,TIVOLI A
13656C,NULL,ANNADUFF MXD N S,Antfield,Leitrim,primary,201,53.9025064,-7.9545566,117030,DRUMOD
13659I,NULL,BEACAN MIXED N S,Bekan,Mayo,primary,150,53.7586015,-8.8497217,157033,BEKAN
13661S,NULL,DUNMANWAY CONVENT GIRLS SENIOR NATIONAL SCHOOL,Dunmanway,Cork,primary,100,51.7237792,-9.1143367,47145,DUNMANWAY NORTH
13662U,NULL,DUNMANWAY CONVENT INF,Dunmanway,Cork,primary,99,51.7220296,-9.1074689,47145,DUNMANWAY NORTH
13663W,NULL,LOWER GLANMIRE N S,New Inn,Cork,primary,127,51.9199733,-8.4128237,NULL,NULL
13665D,NULL,S N AN CILLIN,Ballyshrule,Galway,primary,73,53.0927811,-8.2185406,67188,PORTUMNA
13667H,NULL,SN MUINE CHONALLAIN,Bonniconlon,Mayo,primary,85,54.1149482,-9.1550693,157016,BALLINA URBAN
13670T,NULL,DULARGY MIXED N S,Dulargy,Louth,primary,196,54.0427072,-6.331172,147033,RAVENSDALE
13678M,NULL,KILLURNEY N S,Killurney,Tipperary,primary,32,52.3963302,-7.6057904,217091,KILCASH
13679O,NULL,DELGANY N S,Delgany,Wicklow,primary,227,53.1324869,-6.0854894,257027,DELGANY
13684H,NULL,SCOIL CHROÍ RÓ NAOFA BEANNCHOR IORRAIS,Srahanarry,Mayo,primary,38,54.1460424,-9.7321632,157031,BANGOR
13686L,NULL,S N NAOMH IOSEF,Nymphsfield,Galway,primary,92,53.5466127,-9.2796475,157057,CONG
13696O,NULL,ST VINCENTS CONVENT N S,Wolfe Tone Street,Cork,primary,271,51.9056338,-8.4768445,48052,SHANDON A
13699U,NULL,S N COLMCILLE,Leitir Móir,Galway,primary,28,53.2887484,-9.6559437,67163,LETTERMORE
13728B,NULL,CASTLETOWNSEND MXD N S,Gurranes,Cork,primary,126,51.530754,-9.196616,47082,CASTLEHAVEN NORTH
13730L,NULL,CLOHANES N S,Mullagh,Clare,primary,29,52.76484,-9.4716701,37049,DOONBEG
13738E,NULL,BURRANE N S,Burrane Upper,Clare,primary,28,52.6286843,-9.3618093,37087,KILLIMER
13741Q,NULL,RATH MIXED N S,Rath,Laois,primary,219,53.094432,-7.0923216,107088,SALLYFORD
13747F,NULL,RIVERSTOWN N S,Riverstown,Cork,primary,707,51.9305033,-8.3928825,47279,RIVERSTOWN
13752V,NULL,NAOMH PADRAIG N S,Muckerstaff,Longford,primary,48,53.7596139,-7.5565152,137046,MILLTOWN
13755E,NULL,GARTAN N S,Gartan,Donegal,primary,19,54.961034,-7.711908,NULL,NULL
13757I,NULL,TARMON N S,Tarmon,Roscommon,primary,179,53.7708302,-8.4385414,197032,CASTLEREAGH
13758K,NULL,TEMPLEMARY N S,Carbad Beg,Mayo,primary,39,54.2337136,-9.2579278,157113,LACKAN SOUTH
13773G,NULL,S N GORT AN EADAIN,Facefield,Mayo,primary,22,53.7238764,-9.0017356,157051,CLAREMORRIS
13775K,NULL,ST PATRICKS N S,St Loman's Street,Meath,primary,59,53.5589635,-6.7913841,NULL,NULL
13779S,NULL,S N DHROM ATHAIN,Dromahane,Cork,primary,238,52.1056038,-8.6908349,47140,DROMORE
13781F,NULL,BREAFFY N S,Breaffy,Mayo,primary,417,53.8478372,-9.2380903,157039,BREAGHWY
13790G,NULL,BULGADEN N S,Bulgaden,Limerick,primary,28,52.4226179,-8.5268126,127033,BULGADEN
13797U,NULL,LECANVEY N S,Lecanvey,Mayo,primary,31,53.8021307,-9.5143467,157153,WESTPORT URBAN
13804O,NULL,S N NA CRANNAIGHE,Carrowreagh East,Clare,primary,16,52.6924765,-9.2254726,37076,KILFIDDANE
13811L,NULL,CORCREAGH N S,Corcreagh,Monaghan,primary,38,53.9913705,-6.8581469,177063,RAFERAGH
13815T,NULL,HOWTH RD MXD N S,Clontarf Road,Dublin,primary,98,53.3639404,-6.2244934,268048,CLONTARF WEST C
13819E,NULL,PRIMROSE HILL NS,Hazelhatch Road,Kildare,primary,114,53.3367795,-6.5369796,87029,DONAGHCUMPER
13821O,NULL,S N NA NAOMH UILE,Knockbrack,Galway,primary,17,53.556598,-10.1121917,67058,CLEGGAN
13826B,NULL,KILMIHIL N.S.,Kilmihil,Clare,primary,96,52.7227439,-9.3191265,37093,KILMIHIL
13828F,NULL,DOUGLAS B N S,Douglas West,Cork,primary,387,51.8734671,-8.4417413,47132,DOUGLAS
13831R,NULL,MOYLOUGH N S,Moylough,Sligo,primary,122,54.0273351,-8.7046969,207077,TOBERCURRY
13839K,NULL,CARRICK N S,Carrick,Roscommon,primary,68,53.4826978,-8.1072178,197094,ROCKHILL
13847J,NULL,HOLLYFORD N S,Curraheen,Tipperary,primary,41,52.63253,-8.1114699,217064,CURRAHEEN
13856K,NULL,BUSHY PARK N S,Circular Road,Galway,primary,365,53.2902201,-9.0828763,68015,RAHOON
13867P,NULL,ROSCREA N S NO 2,Rosemount,Tipperary,primary,29,52.9547978,-7.7958523,217152,ROSCREA
13870E,NULL,KILKISHEN N S,Kilkishen,Clare,primary,132,52.8049347,-8.7427017,37078,KILKISHEN
13872I,NULL,ROBERTSON N S,Lisminton,Donegal,primary,54,54.8057681,-7.7629673,57137,STRANORLAR
13876Q,NULL,MOVEEN N S,Kilkee,Clare,primary,57,52.6434201,-9.6842176,37122,MOVEEN
13879W,NULL,SLATTA N S,Moher,Roscommon,primary,26,52.9715368,-9.4308824,NULL,NULL
13882L,NULL,S N GLEANN NA MUAIDHE,Béal an Átha,Mayo,primary,12,54.2409359,-9.6760341,157080,GLENAMOY
13889C,NULL,SHANBALLY N S,Shanbally,Cork,primary,213,51.8309928,-8.3533741,47072,CARRIGALINE
13902O,NULL,HEWETSONS N S,Millicent,Kildare,primary,87,53.2796731,-6.6932432,87025,CLANE
13908D,NULL,BALLAGHAMEEHAN N S,Conray,Leitrim,primary,28,54.3818249,-8.1093407,117008,BALLAGHAMEEHAN
13910N,NULL,S N BUN AN TSABHAIRNE,Crosshaven,Cork,primary,219,51.8023015,-8.2984303,47303,TEMPLEBREEDY
13914V,NULL,SCOIL NAOMH IOSEF,Ráthún,Galway,primary,250,53.251812,-9.1474685,67032,BARNA
13927H,NULL,INISHBOFIN N S,Middlequarter,Galway,primary,13,53.6225349,-10.2192531,67109,INISHBOFIN
13940W,NULL,ENNISCRONE N S,Enniscrone,Sligo,primary,126,54.2127105,-9.093793,207047,KILGLASS
13942D,NULL,S N CILL MUIRE,Kilmurry,Clare,primary,96,52.7436246,-8.7776504,37143,SIXMILEBRIDGE
13952G,NULL,S N BHRIDE,Leitir Caladh,Galway,primary,15,53.2887484,-9.6559437,67163,LETTERMORE
13976U,NULL,ST MATTHIAS N S,Church Road,Cork,primary,27,51.5635755,-9.467416,47024,BALLYDEHOB
13978B,NULL,S N NAOMH PADRAIG,Ballyfarnon,Roscommon,primary,36,54.0680868,-8.1995193,197015,BALLYFARNAN
13980L,NULL,S N B TOGHER CORK,Togher Road,Cork,primary,271,51.8742279,-8.496312,47235,LEHENAGH
13991Q,NULL,BIRDHILL N S,Birdhill,Tipperary,primary,140,52.7674997,-8.4371207,217027,BIRDHILL
13999J,NULL,KILNAMANAGH Community National School,Knockskimolin,Wexford,primary,15,999,999,NULL,NULL
14000C,NULL,SCOIL NAOMH MHUIRE,Bishop Street,Cork,primary,310,51.8949983,-8.4802333,48028,GILLABBEY A
14002G,NULL,KNOCKACLARIG MXD N S,Knockaclarig,Kerry,primary,47,52.2757707,-9.2175235,47099,CLONFERT WEST
14005M,NULL,KILTEELY N S,Kilteely,Limerick,primary,21,52.52134,-8.39866,127100,KILTEELY
14008S,NULL,S N BHRIDE,Donaskeagh,Tipperary,primary,84,52.5220639,-8.0720785,217147,RATHLYNIN
14014N,NULL,S N BAILE DEASMUMHAN,Church Road,Cork,primary,95,52.2008476,-8.8105421,47081,CASTLECOR
14022M,NULL,COACHFORD N S,Coachford,Cork,primary,109,51.91035,-8.7927742,47244,MAGOURNEY
14031N,NULL,CARNAIN N.S.,Carnaun,Galway,primary,108,53.3314719,-8.7889683,67014,AUGHRIM
14045B,NULL,CARYSFORT MXD N S,Knockanrahan,Wicklow,primary,212,52.7902449,-6.1642523,NULL,NULL
14049J,NULL,WHITEHALL N S,Whitehall,Roscommon,primary,120,53.762471,-7.920863,197106,TERMONBARRY
14051T,NULL,STOKANE NS,Stokane,Sligo,primary,40,54.1777167,-9.0271201,207024,CASTLECONOR EAST
14052V,NULL,KANTURK B N S,Kanturk,Cork,primary,104,52.1772549,-8.9051669,47179,KANTURK
14056G,NULL,MOUNT TALBOT N S,Mount Talbot,Roscommon,primary,16,53.5302548,-8.2821942,197085,LISMAHA
14064F,NULL,S N COILL AN BHAILE,Killawalla East,Mayo,primary,22,53.7590297,-9.3669277,157098,KILLAVALLY
14067L,NULL,FEDAMORE N S,Ballyea,Limerick,primary,20,52.5454956,-8.6051311,127069,FEDAMORE
14069P,NULL,DUN DEALGAN N S,Jocelyn Street,Louth,primary,86,54.0041244,-6.395264,NULL,NULL
14071C,NULL,DRUMGOSSETT N S,Drumgossett,Monaghan,primary,92,53.9518772,-6.7774505,177044,ENAGH
14073G,NULL,CASTLETARA N S,Castletara,Cavan,primary,190,54.0304494,-7.2917171,27026,CLONERVY
14075K,NULL,S N MOLUA B,Cross,Limerick,primary,83,52.4951415,-9.0583182,127007,ARDAGH
14107U,NULL,CASTLETOWNROCHE N S,Close Road,Cork,primary,85,52.1719763,-8.4685114,47087,CASTLETOWNROCHE
14111L,NULL,CROSS N S,Kilrush,Clare,primary,3,52.5989632,-9.7753535,37070,KILBALLYOWEN
14116V,NULL,KILBRITTAIN MIXED N S,Kilbrittain,Cork,primary,203,51.6731214,-8.6946363,47185,KILBRITTAIN
14164J,NULL,S N LIOS MOR MOCHUDA,North Mall,Waterford,primary,23,52.1393512,-7.9297517,227089,LISMORE URBAN
14180H,NULL,HOLMPATRICK N S,Convent Lane,Dublin,primary,80,53.5796951,-6.1075289,267123,SKERRIES
14181J,NULL,POULACAPPLE N S,Mullinahone,Tipperary,primary,55,52.5002568,-7.4359953,217114,KILVEMNON
14188A,NULL,BARNATRA N S,Barnatra,Mayo,primary,22,54.222187,-9.8506813,157122,MUINGS
14193Q,NULL,S N Dhumha Thuama,Dumha Thuama,Mayo,primary,27,54.0736741,-9.9311755,157132,RATHHILL
14194S,NULL,SCOIL CHOLMCILLE,An Tearmann,Donegal,primary,126,55.049512,-7.832257,57142,TERMON
14205U,NULL,S N MAINISTIR MUIGHEO,Lehanagh,Mayo,primary,87,53.7775617,-9.1252149,157134,ROSLEE
14207B,NULL,SN CHILL SARAIN,Kilsaran,Louth,primary,189,53.8863234,-6.38817,147006,CASTLEBELLINGHAM
14211P,NULL,S N LATHRACH 2,Muff,Cavan,primary,143,53.9025687,-6.8620699,27048,ENNISKEEN
14225D,NULL,SCOIL BHRIDE,Greenmount Road,Cork,primary,78,51.5604538,-9.4595665,47024,BALLYDEHOB
14227H,NULL,KILCOE NS,Kilcoe,Cork,primary,37,51.5597449,-9.3903764,47189,KILCOE
14231V,NULL,NICKER N S,Nicker,Limerick,primary,137,52.5610125,-8.3456678,127082,GREAN
14252G,NULL,CALLYSTOWN MIXED N S,Callystown,Louth,primary,319,53.7916269,-6.2435066,147009,CLOGHER
14254K,NULL,S N MHUIRE,Danescastle,Wexford,primary,167,52.2385344,-6.7321656,247023,BANNOW
14258S,NULL,CILL MHOR IORRAIS,Binghamstown,Mayo,primary,46,54.2063795,-10.0354122,157008,AN GEATA MOR THUAIDH
14260F,NULL,ABBEYLEIX STH N S,Ballacolla Road,Laois,primary,106,52.910751,-7.354767,107001,ABBEYLEIX
14269A,NULL,JONATHAN SWIFT NS,Dunlavin,Wicklow,primary,42,53.0578764,-6.7016395,257033,DUNLAVIN
14273O,NULL,S N PADRAIG NAOFA,Lisheen,Galway,primary,35,999,999,NULL,NULL
14278B,NULL,SCOIL NAOMH PADRAIG,Knockroon,Galway,primary,62,53.4694617,-9.106134,67106,HEADFORD
14290O,NULL,SCOIL NAOMH BRID,Ballycastle,Mayo,primary,69,54.2788385,-9.3717337,157022,BALLYCASTLE
14294W,NULL,BRIERFIELD N SCHOOL,Brierfield,Galway,primary,82,53.4659021,-8.6636188,67180,MOYNE
14300O,NULL,KILLASONNA MIXED N S,Killasonna,Longford,primary,50,53.7468214,-7.4771401,NULL,NULL
14303U,NULL,S N CLEIRE,Oileán Chléire,Cork,primary,7,51.4353813,-9.4983063,47068,CAPE CLEAR
14305B,NULL,BALLYLANDERS N S,Main Street,Limerick,primary,135,52.3708888,-8.3464216,127020,BALLYLANDERS
14320U,NULL,CORLEA N S,Corlea,Cavan,primary,30,53.939755,-6.8641595,27067,LISAGOAN
14336M,NULL,SEARCOG I N S,Kingscourt Road,Cavan,primary,199,53.990857,-6.8899206,27079,SHERCOCK
14339S,NULL,AUGHAVAS NS,Aughavas,Leitrim,primary,34,53.9555396,-7.7177963,117004,AGHAVAS
14348T,NULL,CARRICKLECK N S,Carrickleck,Meath,primary,35,53.8702298,-6.7648707,167014,CARRICKLECK
14356S,NULL,LISANISKEY N S,Ballymacfarrane,Roscommon,primary,97,53.6587921,-8.339078,197055,DUNAMON
14366V,NULL,LOUGHFOUDER N S,Knocknagoshel,Kerry,primary,31,52.28943,-9.3589001,77110,KILMURRY
14377D,NULL,S N CILL CONAILL,Corraneena,Galway,primary,62,53.3314659,-8.4014327,67118,KILCONNELL
14383V,NULL,S N PADRAIG NAOFA,Ballaghlea,Galway,primary,125,53.5122875,-8.3867305,67065,CLOONKEEN
14386E,NULL,STONEPARK N S,Stonepark,Longford,primary,230,53.6942954,-7.8200749,137045,LONGFORD RURAL
14394D,NULL,S N CILL FHEICIN,Rakerin,Galway,primary,65,999,999,NULL,NULL
14398L,NULL,GLEBE NS,Church Hill,Wicklow,primary,203,52.983138,-6.0465791,257078,WICKLOW URBAN
14399N,NULL,KILLYGARRY N S,Killygarry,Cavan,primary,215,53.9864853,-7.3051518,27072,MOYNEHALL
14409N,NULL,SCOIL NEASSAIN,Mungret,Limerick,primary,708,52.6309647,-8.6683006,127018,BALLYCUMMIN
14420B,NULL,S N NAOMH PADRAIG,Gorteennaglogh,Galway,primary,26,53.5951968,-9.957941,67192,RINVYLE
14421D,NULL,S N ARD,Aird Thiar,Galway,primary,33,999,999,NULL,NULL
14426N,NULL,KNOCKAVILLA N S,Killenure,Tipperary,primary,113,52.5446132,-8.003851,217142,OUGHTERLEAGUE
14430E,NULL,DERRYCREHA N S,Derrycreha,Cork,primary,34,51.6819171,-9.447778,47042,BANTRY URBAN
14433K,NULL,ABBEYSTREWRY N S,Castletownsend Road,Cork,primary,113,51.5409415,-9.261122,47294,SKIBBEREEN URBAN
14448A,NULL,CLOUGHANOWER N S,Cloughanover,Galway,primary,87,53.4455916,-9.0951459,67126,KILLEANY
14450K,NULL,ST FEIGHANS MXD N S,Fore,Westmeath,primary,107,53.64722,-7.208201,237031,COLLINSTOWN
14460N,NULL,KILLEA N S,Killea,Tipperary,primary,32,52.8236279,-7.8768842,217101,KILLEA
14463T,NULL,ST COLUMBAS N S MXD,North Strand,Dublin,primary,124,53.3587102,-6.2423326,268009,BALLYBOUGH A
14468G,NULL,KILMALEY N S,Kilmaley,Clare,primary,107,52.8203269,-9.1099755,37082,KILLANNIV
14476F,NULL,WANDESFORDE MIXED N S,Castlecomer,Kilkenny,primary,58,52.8057271,-7.2060448,97022,CASTLECOMER
14492D,NULL,CURRACLOE N S,Curracloe,Wexford,primary,94,52.3930238,-6.3921661,247004,ARDCOLM
14497N,NULL,S N B CURNANOOL,Cornanool,Mayo,primary,54,53.8525207,-9.357234,157048,CASTLEBAR RURAL
14502D,NULL,SCOIL MHUIRE B&C,Na Doirí Beaga,Donegal,primary,115,999,999,NULL,NULL
14534Q,NULL,GORTJORDAN N S,Kilmaine,Mayo,primary,21,53.5493175,-9.1538355,157086,HOUNDSWOOD
14556D,NULL,ST ENDAS PRIMARY SCHOOL,Whitefriar Street,Dublin,primary,124,53.3403906,-6.2665964,268140,ROYAL EXCHANGE A
14568K,NULL,KILLEA BOYS N S,Dunmore East,Waterford,primary,98,52.1653965,-7.0055551,227054,KILLEA
14571W,NULL,TOMGRANEY N S,Tuamgraney,Clare,primary,64,52.8985172,-8.541013,37142,SCARRIFF
14578N,NULL,SCOIL NAOMH FAINCHE,School Lane,Louth,primary,221,999,999,NULL,NULL
14586M,NULL,CARYSFORT NS,Convent Road,Dublin,primary,596,53.297112,-6.183017,267021,BLACKROCK-CENTRAL
14590D,NULL,AINBHTHIN NAOFA,Rosscahill East,Galway,primary,227,53.390619,-9.2493966,67217,WORMHOLE
14622N,NULL,EIDHNEACH N S,Carrowkeel,Clare,primary,151,52.8769834,-9.1767645,37007,BALLYEA
14625T,NULL,DOON CONVENT N S,Doon,Limerick,primary,120,52.6043292,-8.2478393,127058,DOON SOUTH
14631O,NULL,SCOIL CHOLMCHILLE,Ballymena,Donegal,primary,86,55.3306786,-7.2114791,57026,CARTHAGE
14636B,NULL,CARRAROE N S,Tonafortes,Sligo,primary,374,54.2447445,-8.4749072,207050,KILMACOWEN
14642T,NULL,S N MHUIRE,Fiddaun,Galway,primary,78,53.1692451,-8.7512415,67136,KILLOGILLEEN
14643V,NULL,S N NA CLOICHE MOIRE,Ballyraggan,Kildare,primary,21,52.8969211,-6.7687799,87041,GRANEY
14647G,NULL,DALKEY N S (2),Harbour Road,Dublin,primary,99,53.2834255,-6.1045968,267063,DALKEY-BULLOCK
14650S,NULL,CLOONTAGH MIXED N S,Cloontagh,Longford,primary,19,53.6368604,-7.894289,137048,MOUNTDAVIS
14651U,NULL,CASTLETOWN RD CONVENT,Castletown Road,Louth,primary,192,54.0142023,-6.4178772,NULL,NULL
14668O,NULL,BALLAGHKEENE N S,Ballaghkeane,Wexford,primary,128,52.4813346,-6.428579,247016,BALLYHUSKARD
14672F,NULL,COLEHILL MIXED N S,Colehill,Longford,primary,119,53.5980557,-7.6796154,137037,KILGLASS
14679T,NULL,S N BAILE BUILEARAIGH,Butlerstown,Waterford,primary,250,52.2295939,-7.1781459,227055,KILLOTERAN
14684M,NULL,AUGHRIM N S,Hillstreet,Roscommon,primary,41,53.871787,-8.1224211,197010,AUGHRIM WEST
14704P,NULL,MURROE NATIONAL SCHOOL,Murroe,Donegal,primary,27,55.1536474,-8.011524,57057,DUNFANAGHY
14712O,NULL,SN AN FHAIRCHE,An Fháirche,Galway,primary,49,53.5451643,-9.3643582,67064,CLOONBUR
14717B,NULL,RATHGAR N S,Rathgar Avenue,Dublin,primary,91,53.3140809,-6.275432,268136,RATHMINES WEST E
