roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
15307K,N ,N ,N ,No subjects through Irish,Catholic
64580H,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20384J,N ,N ,N ,No subjects through Irish,Multi Denominational
12095G,N ,N ,N ,No subjects through Irish,Catholic
17616K,N ,N ,N ,No subjects through Irish,Catholic
17447N,N ,Y ,N ,No subjects through Irish,Catholic
19936P,N ,N ,N ,All subjects through Irish,Catholic
18169Q,N ,N ,N ,No subjects through Irish,Catholic
18564W,N ,N ,N ,No subjects through Irish,Catholic
20483L,N ,N ,N ,No subjects through Irish,Catholic
17053P,N ,N ,N ,No subjects through Irish,Catholic
19338S,N ,N ,N ,No subjects through Irish,Catholic
19784S,N ,N ,N ,No subjects through Irish,Catholic
19388K,N ,N ,N ,No subjects through Irish,Catholic
19368E,N ,N ,N ,No subjects through Irish,Catholic
16651H,N ,N ,N ,No subjects through Irish,Catholic
19972T,N ,N ,N ,All subjects through Irish,Catholic
10062E,N ,Y ,N ,No subjects through Irish,Church Of Ireland
12003V,N ,N ,N ,No subjects through Irish,Catholic
09260B,N ,N ,N ,No subjects through Irish,Catholic
19304B,Y ,N ,N ,All subjects through Irish,Catholic
11638N,N ,N ,N ,No subjects through Irish,Church Of Ireland
15540Q,N ,N ,N ,No subjects through Irish,Catholic
20237T,N ,N ,N ,All subjects through Irish,Catholic
19251G,N ,N ,N ,No subjects through Irish,Catholic
17050J,N ,N ,N ,No subjects through Irish,Church Of Ireland
76066J,Y ,Y ,N ,All pupils taught all subjects through Irish,INTER DENOMINATIONAL
16129R,N ,N ,N ,No subjects through Irish,Catholic
20205G,N ,N ,N ,No subjects through Irish,Catholic
18363M,N ,N ,N ,No subjects through Irish,Catholic
19756N,N ,Y ,N ,No subjects through Irish,Catholic
72370P,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
12012W,N ,N ,N ,No subjects through Irish,Church Of Ireland
20065Q,N ,N ,N ,No subjects through Irish,Catholic
19903A,N ,N ,N ,No subjects through Irish,Catholic
15556I,N ,N ,N ,No subjects through Irish,Catholic
20278K,N ,Y ,N ,No subjects through Irish,Catholic
63070C,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17919F,N ,N ,N ,No subjects through Irish,Catholic
61010U,N ,N ,N ,No subjects taught through Irish,METHODIST
17127S,N ,Y ,N ,No subjects through Irish,Catholic
09702H,N ,N ,N ,No subjects through Irish,Catholic
70840Q,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
15318P,N ,N ,N ,No subjects through Irish,Catholic
91412M,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
68067P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
01866U,N ,Y ,N ,No subjects through Irish,Catholic
11470B,N ,Y ,N ,No subjects through Irish,Catholic
18053U,N ,N ,N ,No subjects through Irish,Catholic
12343W,N ,Y ,N ,No subjects through Irish,Catholic
14356S,N ,N ,N ,No subjects through Irish,Catholic
01862M,N ,N ,N ,No subjects through Irish,Catholic
12975N,N ,N ,N ,No subjects through Irish,Catholic
02322I,N ,N ,N ,No subjects through Irish,Catholic
71650Q,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17753U,N ,N ,N ,No subjects through Irish,Catholic
17358O,N ,N ,N ,No subjects through Irish,Catholic
14476F,N ,N ,N ,No subjects through Irish,Church Of Ireland
19353O,N ,N ,N ,No subjects through Irish,Catholic
91302F,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17955J,N ,N ,N ,No subjects through Irish,Catholic
08251S,N ,Y ,N ,No subjects through Irish,Catholic
18115Q,N ,N ,N ,No subjects through Irish,Catholic
70560K,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
60320H,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
20463F,N ,Y ,N ,No subjects through Irish,Catholic
19509T,N ,Y ,N ,No subjects through Irish,Catholic
13978B,N ,N ,N ,No subjects through Irish,Catholic
12569C,Y ,Y ,N ,All subjects through Irish,Catholic
17993R,N ,Y ,N ,No subjects through Irish,Catholic
17148D,N ,N ,N ,No subjects through Irish,Catholic
17184H,N ,N ,N ,No subjects through Irish,Catholic
19008U,N ,N ,N ,No subjects through Irish,Catholic
18139H,N ,Y ,N ,No subjects through Irish,Catholic
13914V,Y ,N ,N ,Some subjects through Irish,Catholic
08379V,N ,N ,N ,No subjects through Irish,Catholic
20335T,N ,N ,N ,No subjects through Irish,Catholic
20527F,N ,N ,N ,All subjects through Irish,Multi Denominational
01554B,N ,N ,N ,No subjects through Irish,Catholic
19673J,N ,Y ,N ,No subjects through Irish,Catholic
19389M,N ,N ,N ,No subjects through Irish,Catholic
13242V,N ,Y ,N ,No subjects through Irish,Catholic
18413B,N ,N ,N ,No subjects through Irish,Catholic
17336E,N ,N ,N ,No subjects through Irish,Catholic
14989L,N ,N ,N ,No subjects through Irish,Catholic
91339F,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
20144M,N ,N ,N ,All subjects through Irish,Catholic
09815U,N ,Y ,N ,No subjects through Irish,Catholic
16137Q,N ,N ,N ,No subjects through Irish,Presbyterian
17637S,N ,N ,N ,No subjects through Irish,Catholic
18002D,N ,Y ,N ,No subjects through Irish,Catholic
20466L,N ,Y ,N ,No subjects through Irish,Catholic
70570N,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18740Q,N ,N ,N ,No subjects through Irish,Church Of Ireland
17241Q,N ,Y ,N ,No subjects through Irish,Presbyterian
17129W,N ,Y ,N ,No subjects through Irish,Catholic
91406R,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
13797U,N ,N ,N ,No subjects through Irish,Catholic
64970U,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
07841L,N ,N ,N ,No subjects through Irish,Catholic
14421D,Y ,Y ,N ,All subjects through Irish,Catholic
11765U,N ,N ,N ,No subjects through Irish,Catholic
16186G,N ,N ,N ,No subjects through Irish,Catholic
19671F,N ,N ,N ,No subjects through Irish,Catholic
17721H,N ,Y ,N ,No subjects through Irish,Catholic
19947U,N ,Y ,N ,No subjects through Irish,Catholic
19939V,N ,Y ,N ,No subjects through Irish,Catholic
17816S,N ,N ,N ,No subjects through Irish,Catholic
17244W,N ,N ,N ,No subjects through Irish,Catholic
17254C,N ,N ,N ,No subjects through Irish,Catholic
19526T,N ,N ,N ,No subjects through Irish,Catholic
17483R,N ,Y ,N ,No subjects through Irish,Catholic
10957B,N ,N ,N ,No subjects through Irish,Catholic
65440T,N ,N ,N ,No subjects taught through Irish,CATHOLIC
70960D,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18462O,N ,Y ,N ,No subjects through Irish,Catholic
05933G,N ,Y ,N ,No subjects through Irish,Catholic
18582B,N ,N ,N ,No subjects through Irish,Catholic
19576L,N ,Y ,N ,No subjects through Irish,Catholic
76107U,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
11245R,N ,N ,N ,No subjects through Irish,Catholic
17870B,N ,N ,N ,No subjects through Irish,Catholic
13667H,N ,Y ,N ,No subjects through Irish,Catholic
16092U,N ,N ,N ,No subjects through Irish,Church Of Ireland
13870E,N ,N ,N ,No subjects through Irish,Catholic
16917T,N ,N ,N ,No subjects through Irish,Catholic
19225F,N ,Y ,N ,No subjects through Irish,Catholic
91343T,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17300G,N ,N ,N ,No subjects through Irish,Catholic
64590K,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13661S,N ,N ,N ,No subjects through Irish,Catholic
11541V,N ,N ,N ,No subjects through Irish,Catholic
19945Q,N ,N ,N ,No subjects through Irish,Multi Denominational
11380A,N ,N ,N ,No subjects through Irish,Catholic
10863P,N ,N ,N ,No subjects through Irish,Catholic
19456B,N ,N ,N ,No subjects through Irish,Catholic
17761T,N ,N ,N ,No subjects through Irish,Catholic
60100Q,N ,N ,N ,No subjects taught through Irish,CATHOLIC
14903V,N ,N ,N ,No subjects through Irish,Catholic
19411C,N ,N ,N ,No subjects through Irish,Church Of Ireland
07374G,N ,N ,N ,No subjects through Irish,Catholic
16914N,N ,N ,N ,No subjects through Irish,Catholic
17217T,N ,N ,N ,No subjects through Irish,Catholic
91305L,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
19980S,N ,Y ,N ,No subjects through Irish,Catholic
14998M,N ,Y ,N ,No subjects through Irish,Catholic
00373P,N ,Y ,N ,No subjects through Irish,Catholic
07120V,N ,N ,N ,No subjects through Irish,Catholic
18806U,N ,N ,N ,No subjects through Irish,Catholic
17857J,N ,N ,N ,No subjects through Irish,Catholic
13375R,N ,N ,N ,No subjects through Irish,Catholic
01395H,N ,N ,N ,No subjects through Irish,Catholic
20110S,N ,N ,N ,No subjects through Irish,Catholic
16259H,N ,N ,N ,No subjects through Irish,Catholic
70670R,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
14409N,N ,N ,N ,No subjects through Irish,Catholic
19478L,N ,Y ,N ,No subjects through Irish,Catholic
18193N,N ,N ,N ,No subjects through Irish,Catholic
19448C,N ,N ,N ,No subjects through Irish,Catholic
60321J,N ,N ,N ,No subjects taught through Irish,CATHOLIC
60050E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18196T,N ,N ,N ,No subjects through Irish,Catholic
19365V,N ,Y ,N ,No subjects through Irish,Catholic
14873P,N ,Y ,N ,No subjects through Irish,Catholic
10533R,N ,N ,N ,No subjects through Irish,Catholic
18502A,N ,N ,N ,No subjects through Irish,Catholic
20510L,N ,N ,N ,No subjects through Irish,Multi Denominational
91400F,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
19672H,N ,N ,N ,No subjects through Irish,Catholic
16706G,N ,N ,N ,No subjects through Irish,Catholic
62690E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
12448N,N ,Y ,N ,No subjects through Irish,Catholic
70010V,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
62640M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
63090I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17705J,N ,N ,N ,No subjects through Irish,Catholic
15955W,Y ,Y ,Y ,All subjects through Irish,Catholic
16802C,N ,N ,N ,No subjects through Irish,Catholic
60791A,N ,N ,N ,No subjects taught through Irish,CATHOLIC
14211P,N ,N ,N ,No subjects through Irish,Catholic
70140L,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
16508C,N ,N ,N ,No subjects through Irish,Catholic
18702I,N ,N ,N ,No subjects through Irish,Catholic
60870T,N ,N ,N ,No subjects taught through Irish,CATHOLIC
01687U,N ,N ,N ,No subjects through Irish,Catholic
62180E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19738L,N ,N ,N ,No subjects through Irish,Catholic
20494Q,N ,N ,N ,No subjects through Irish,Multi Denominational
62830R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
76092K,N ,N ,N ,No subjects taught through Irish,CATHOLIC
76061W,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18922W,N ,N ,N ,No subjects through Irish,Catholic
10523O,N ,N ,N ,No subjects through Irish,Church Of Ireland
16924Q,N ,N ,N ,No subjects through Irish,Catholic
19342J,N ,N ,N ,No subjects through Irish,Catholic
16654N,N ,N ,N ,No subjects through Irish,Catholic
18335H,N ,N ,N ,No subjects through Irish,Catholic
17969U,N ,Y ,N ,No subjects through Irish,Catholic
05636A,N ,N ,N ,No subjects through Irish,Church Of Ireland
17328F,Y ,Y ,N ,Some subjects through Irish,Catholic
17779P,N ,N ,N ,No subjects through Irish,Catholic
18324C,N ,N ,N ,No subjects through Irish,Catholic
19830W,N ,Y ,N ,No subjects through Irish,Catholic
17221K,Y ,Y ,N ,No subjects through Irish,Catholic
19769W,N ,N ,N ,No subjects through Irish,Catholic
16780S,N ,N ,N ,No subjects through Irish,Catholic
72300R,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
60853T,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
19518U,N ,Y ,N ,No subjects through Irish,Catholic
07117J,N ,N ,N ,No subjects through Irish,Catholic
19416M,N ,N ,N ,No subjects through Irish,Church Of Ireland
17471K,N ,N ,N ,No subjects through Irish,Catholic
00883P,N ,N ,N ,No subjects through Irish,Catholic
62020F,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19658N,N ,N ,N ,No subjects through Irish,Catholic
16923O,N ,N ,N ,No subjects through Irish,Catholic
16927W,N ,N ,N ,No subjects through Irish,Catholic
18874O,N ,Y ,N ,No subjects through Irish,Church Of Ireland
19661C,N ,Y ,N ,No subjects through Irish,Catholic
16166A,N ,N ,N ,No subjects through Irish,Catholic
91431Q,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
81008W,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
09191I,N ,N ,N ,No subjects through Irish,Catholic
14625T,N ,N ,N ,No subjects through Irish,Catholic
60390F,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
16562I,N ,N ,N ,No subjects through Irish,Catholic
04062S,N ,N ,N ,No subjects through Irish,Catholic
12767G,N ,Y ,N ,No subjects through Irish,Catholic
19808G,N ,N ,N ,No subjects through Irish,Catholic
61220I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16634H,N ,N ,N ,No subjects through Irish,Catholic
13908D,N ,N ,N ,No subjects through Irish,Catholic
13165G,N ,Y ,N ,No subjects through Irish,Catholic
17299B,N ,N ,N ,No subjects through Irish,Catholic
19908K,N ,Y ,N ,All subjects through Irish,Catholic
70730J,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17849K,N ,N ,N ,No subjects through Irish,Catholic
19611K,N ,N ,N ,No subjects through Irish,Catholic
15781P,N ,N ,N ,No subjects through Irish,Catholic
61060M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
15981A,N ,N ,N ,No subjects through Irish,Catholic
16764U,N ,N ,N ,No subjects through Irish,Catholic
16932P,N ,N ,N ,No subjects through Irish,Catholic
16093W,N ,N ,N ,No subjects through Irish,Catholic
07464H,N ,N ,N ,No subjects through Irish,Presbyterian
12294M,N ,N ,N ,No subjects through Irish,Catholic
20313J,N ,Y ,N ,No subjects through Irish,Multi Denominational
19378H,N ,N ,N ,No subjects through Irish,Catholic
18070U,N ,N ,N ,No subjects through Irish,Catholic
16596C,N ,N ,N ,No subjects through Irish,Catholic
05565D,N ,N ,N ,No subjects through Irish,Catholic
17528N,N ,N ,N ,No subjects through Irish,Catholic
00788V,N ,N ,N ,No subjects through Irish,Catholic
16034G,N ,N ,N ,No subjects through Irish,Catholic
65490L,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18429Q,N ,Y ,N ,No subjects through Irish,Catholic
17323S,N ,N ,N ,No subjects through Irish,Catholic
06936R,N ,Y ,N ,No subjects through Irish,Catholic
13402R,N ,N ,N ,No subjects through Irish,Catholic
70410O,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20082Q,N ,N ,N ,All subjects through Irish,Inter Denominational
17503U,Y ,Y ,N ,All subjects through Irish,Catholic
09190G,N ,N ,N ,No subjects through Irish,Catholic
18000W,N ,N ,N ,No subjects through Irish,Catholic
60120W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16344V,N ,N ,N ,No subjects through Irish,Catholic
60732H,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
20011Q,N ,Y ,N ,No subjects through Irish,Catholic
04953H,N ,N ,N ,No subjects through Irish,Catholic
65620V,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17459U,N ,Y ,N ,No subjects through Irish,Catholic
18388F,N ,N ,N ,No subjects through Irish,Church Of Ireland
17826V,N ,N ,N ,No subjects through Irish,Catholic
17704H,Y ,Y ,N ,All subjects through Irish,Catholic
19626A,N ,N ,N ,No subjects through Irish,Catholic
19761G,N ,N ,N ,No subjects through Irish,Catholic
15456E,N ,N ,N ,No subjects through Irish,Catholic
17329H,N ,N ,N ,No subjects through Irish,Church Of Ireland
76414G,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
18428O,N ,N ,N ,No subjects through Irish,Catholic
91301D,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
19178W,N ,N ,N ,No subjects through Irish,Catholic
14813U,N ,N ,N ,No subjects through Irish,Catholic
19535U,N ,N ,N ,No subjects through Irish,Catholic
19247P,N ,Y ,N ,No subjects through Irish,Catholic
19255O,N ,N ,N ,No subjects through Irish,Catholic
19489Q,N ,Y ,N ,No subjects through Irish,Catholic
20004T,N ,Y ,N ,No subjects through Irish,Catholic
17039V,N ,N ,N ,No subjects through Irish,Catholic
13498K,N ,N ,N ,No subjects through Irish,Catholic
70400L,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
16289Q,N ,Y ,N ,No subjects through Irish,Catholic
03924S,N ,Y ,N ,No subjects through Irish,Catholic
19975C,N ,N ,N ,No subjects through Irish,Catholic
18077L,N ,Y ,N ,No subjects through Irish,Catholic
16443A,N ,N ,N ,No subjects through Irish,Catholic
70081V,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18598Q,N ,N ,N ,No subjects through Irish,Catholic
18068K,N ,N ,N ,No subjects through Irish,Catholic
61260U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19335M,N ,N ,N ,No subjects through Irish,Catholic
17794L,N ,N ,N ,No subjects through Irish,Catholic
16352U,N ,N ,N ,No subjects through Irish,Catholic
16242N,Y ,N ,N ,No subjects through Irish,Catholic
18047C,N ,N ,N ,No subjects through Irish,Catholic
17656W,N ,N ,N ,No subjects through Irish,Catholic
61770U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18426K,N ,N ,N ,No subjects through Irish,Catholic
11969N,N ,N ,N ,No subjects through Irish,Catholic
70042L,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17368R,N ,N ,N ,No subjects through Irish,Catholic
91514U,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
19702N,N ,Y ,N ,No subjects through Irish,Catholic
19442N,N ,N ,N ,No subjects through Irish,Catholic
19888H,N ,N ,N ,No subjects through Irish,Catholic
13942D,N ,N ,N ,No subjects through Irish,Catholic
61950W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20150H,N ,N ,N ,No subjects through Irish,Catholic
63270K,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20120V,N ,N ,N ,No subjects through Irish,Catholic
60440R,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
14636B,N ,N ,N ,No subjects through Irish,Catholic
19928Q,N ,N ,N ,No subjects through Irish,Multi Denominational
11986N,N ,Y ,N ,No subjects through Irish,Catholic
18644U,N ,N ,N ,No subjects through Irish,Catholic
18217B,N ,Y ,N ,No subjects through Irish,Catholic
76474B,N ,N ,N ,Some pupils taught all subjects through Irish,MULTI DENOMINATIONAL
16087E,N ,N ,N ,No subjects through Irish,Catholic
18689T,N ,Y ,N ,No subjects through Irish,Catholic
18422C,N ,N ,N ,All subjects through Irish,Catholic
81016V,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
18634R,N ,N ,N ,No subjects through Irish,Catholic
70660O,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20352T,Y ,N ,N ,No subjects through Irish,Multi Denominational
16014A,N ,N ,N ,No subjects through Irish,Catholic
18536R,N ,Y ,N ,No subjects through Irish,Catholic
19619D,N ,Y ,N ,No subjects through Irish,Catholic
19276W,N ,N ,N ,No subjects through Irish,Catholic
17513A,N ,N ,N ,No subjects through Irish,Catholic
17301I,N ,N ,N ,No subjects through Irish,Catholic
10499U,N ,N ,N ,No subjects through Irish,Church Of Ireland
17848I,N ,N ,N ,No subjects through Irish,Catholic
02237R,N ,N ,N ,No subjects through Irish,Catholic
18991S,N ,N ,N ,No subjects through Irish,Catholic
16910F,N ,Y ,N ,No subjects through Irish,Catholic
16052I,Y ,Y ,N ,All subjects through Irish,Catholic
17804L,N ,N ,N ,No subjects through Irish,Catholic
16936A,N ,N ,N ,No subjects through Irish,Catholic
17800D,N ,N ,N ,No subjects through Irish,Catholic
64420I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
03898U,N ,N ,N ,No subjects through Irish,Catholic
17374M,N ,N ,N ,No subjects through Irish,Catholic
13450F,N ,N ,N ,No subjects through Irish,Catholic
18797W,N ,Y ,N ,No subjects through Irish,Catholic
60570H,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19362P,N ,Y ,N ,No subjects through Irish,Catholic
19256Q,N ,N ,N ,No subjects through Irish,Catholic
17175G,N ,N ,N ,No subjects through Irish,Catholic
18082E,N ,Y ,N ,No subjects through Irish,Catholic
05120L,N ,Y ,N ,No subjects through Irish,Catholic
20267F,N ,N ,N ,No subjects through Irish,Catholic
17754W,N ,N ,N ,No subjects through Irish,Catholic
72020L,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
14430E,N ,N ,N ,No subjects through Irish,Catholic
70020B,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
15101N,N ,N ,N ,No subjects through Irish,Catholic
18265M,N ,Y ,N ,No subjects through Irish,Catholic
09132P,N ,N ,N ,No subjects through Irish,Catholic
20038N,N ,Y ,N ,No subjects through Irish,Catholic
20088F,N ,N ,N ,No subjects through Irish,Catholic
17660N,N ,Y ,N ,Some subjects through Irish,Catholic
17488E,N ,Y ,N ,No subjects through Irish,Catholic
18705O,N ,N ,N ,No subjects through Irish,Catholic
20242M,N ,N ,N ,No subjects through Irish,Multi Denominational
19996K,N ,N ,N ,No subjects through Irish,Catholic
13031I,N ,Y ,N ,No subjects through Irish,Catholic
11248A,Y ,N ,N ,All subjects through Irish,Catholic
18343G,N ,Y ,N ,No subjects through Irish,Catholic
12897T,N ,N ,N ,No subjects through Irish,Catholic
76083J,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
09660R,N ,N ,N ,No subjects through Irish,Catholic
04075E,N ,N ,N ,No subjects through Irish,Catholic
12598J,N ,N ,N ,No subjects through Irish,Catholic
17765E,N ,N ,N ,No subjects through Irish,Catholic
17479D,N ,Y ,N ,No subjects through Irish,Catholic
19739N,N ,Y ,N ,No subjects through Irish,Catholic
18030I,N ,N ,N ,No subjects through Irish,Catholic
76098W,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
18444M,N ,N ,N ,No subjects through Irish,Catholic
18101F,N ,N ,N ,No subjects through Irish,Catholic
76088T,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17956L,N ,Y ,N ,No subjects through Irish,Catholic
18401R,N ,N ,N ,No subjects through Irish,Catholic
20469R,N ,N ,N ,Some subjects through Irish,Catholic
18510W,N ,N ,N ,No subjects through Irish,Catholic
91530S,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20105C,N ,N ,N ,No subjects through Irish,Catholic
15483H,N ,N ,N ,No subjects through Irish,Catholic
19677R,N ,N ,N ,No subjects through Irish,Catholic
68082L,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
09390O,N ,N ,N ,No subjects through Irish,Catholic
17760R,N ,N ,N ,No subjects through Irish,Catholic
11072M,N ,N ,N ,No subjects through Irish,Church Of Ireland
16464I,N ,N ,N ,No subjects through Irish,Catholic
19872P,N ,Y ,N ,All subjects through Irish,Catholic
12820H,N ,Y ,N ,No subjects through Irish,Catholic
17236A,N ,N ,N ,No subjects through Irish,Catholic
19528A,N ,N ,N ,No subjects through Irish,Catholic
68346T,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
91316Q,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
19815D,N ,N ,N ,No subjects through Irish,Catholic
72290R,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17521W,N ,N ,N ,No subjects through Irish,Catholic
16863W,N ,N ,N ,No subjects through Irish,Church Of Ireland
16715H,N ,Y ,N ,No subjects through Irish,Catholic
76193Q,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20295K,N ,Y ,N ,No subjects through Irish,Multi Denominational
19228L,Y ,Y ,N ,All subjects through Irish,Catholic
17643N,N ,N ,N ,No subjects through Irish,Catholic
18791K,N ,N ,N ,No subjects through Irish,Catholic
16427C,N ,N ,N ,No subjects through Irish,Catholic
15537E,N ,N ,N ,No subjects through Irish,Catholic
12015F,N ,N ,N ,No subjects through Irish,Catholic
19848S,N ,N ,N ,No subjects through Irish,Catholic
62170B,N ,N ,N ,No subjects taught through Irish,CATHOLIC
70920O,Y ,N ,N ,All pupils taught all subjects through Irish,INTER DENOMINATIONAL
01782O,N ,N ,N ,No subjects through Irish,Catholic
14207B,N ,N ,N ,No subjects through Irish,Catholic
13811L,N ,N ,N ,No subjects through Irish,Catholic
19990V,N ,N ,N ,All subjects through Irish,Catholic
19454U,N ,Y ,N ,No subjects through Irish,Catholic
19360L,N ,N ,N ,No subjects through Irish,Catholic
20091R,N ,Y ,N ,No subjects through Irish,Catholic
14073G,N ,N ,N ,No subjects through Irish,Catholic
17707N,N ,Y ,N ,No subjects through Irish,Catholic
19589U,N ,N ,N ,All subjects through Irish,Catholic
19546C,N ,Y ,N ,No subjects through Irish,Catholic
17746A,N ,N ,N ,No subjects through Irish,Catholic
17099Q,N ,N ,N ,No subjects through Irish,Catholic
18795S,N ,N ,N ,No subjects through Irish,Catholic
18876S,N ,N ,N ,No subjects through Irish,Catholic
11236Q,N ,N ,N ,No subjects through Irish,Catholic
18517N,N ,Y ,N ,No subjects through Irish,Catholic
60092U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17101A,N ,N ,N ,No subjects through Irish,Catholic
19721R,N ,N ,N ,No subjects through Irish,Catholic
15410D,N ,N ,N ,No subjects through Irish,Catholic
20050D,N ,N ,N ,All subjects through Irish,Catholic
18475A,N ,N ,N ,No subjects through Irish,Catholic
18174J,Y ,N ,N ,No subjects through Irish,Catholic
16707I,N ,N ,N ,No subjects through Irish,Catholic
62310O,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18655C,N ,N ,N ,No subjects through Irish,Catholic
15221A,N ,Y ,N ,No subjects through Irish,Catholic
14586M,N ,N ,N ,No subjects through Irish,Catholic
07317R,N ,N ,N ,No subjects through Irish,Catholic
18292P,N ,Y ,N ,All subjects through Irish,Catholic
64770M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
70540E,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
10131U,N ,N ,N ,No subjects through Irish,Catholic
16989V,N ,Y ,N ,No subjects through Irish,Catholic
16982H,N ,Y ,N ,No subjects through Irish,Catholic
60720A,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
20214H,N ,N ,N ,No subjects through Irish,Multi Denominational
18729F,N ,N ,N ,No subjects through Irish,Catholic
18571T,N ,N ,N ,No subjects through Irish,Catholic
14193Q,Y ,Y ,N ,Some subjects through Irish,Catholic
04992R,N ,N ,N ,No subjects through Irish,Catholic
20282B,N ,Y ,N ,No subjects through Irish,Multi Denominational
05756K,N ,N ,N ,No subjects through Irish,Catholic
00851C,N ,Y ,N ,No subjects through Irish,Catholic
76073G,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
14909K,N ,N ,N ,No subjects through Irish,Catholic
68306H,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20525B,N ,N ,N ,No subjects through Irish,Multi Denominational
20037L,N ,Y ,N ,No subjects through Irish,Catholic
63660A,N ,N ,N ,No subjects taught through Irish,CATHOLIC
