roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
16828U,N ,N ,N ,No subjects through Irish,Catholic
15878H,N ,N ,N ,No subjects through Irish,Catholic
16286K,N ,N ,N ,No subjects through Irish,Catholic
19629G,N ,N ,N ,No subjects through Irish,Catholic
19716B,N ,N ,N ,No subjects through Irish,Catholic
16938E,N ,N ,N ,No subjects through Irish,Catholic
09708T,N ,N ,N ,No subjects through Irish,Catholic
14791N,N ,Y ,N ,No subjects through Irish,Catholic
16145P,N ,N ,N ,No subjects through Irish,Catholic
17576B,N ,N ,N ,No subjects through Irish,Catholic
10548H,N ,N ,N ,No subjects through Irish,Church Of Ireland
19831B,N ,Y ,N ,All subjects through Irish,Catholic
20103V,N ,N ,N ,No subjects through Irish,Multi Denominational
18075H,N ,N ,N ,No subjects through Irish,Church Of Ireland
64500G,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18491V,N ,N ,N ,No subjects through Irish,Catholic
17951B,N ,N ,N ,No subjects through Irish,Catholic
19470S,N ,N ,N ,No subjects through Irish,Catholic
71123Q,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
72400V,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
12106I,Y ,N ,N ,All subjects through Irish,Catholic
19925K,N ,N ,N ,No subjects through Irish,Catholic
15284B,N ,N ,N ,No subjects through Irish,Church Of Ireland
18976W,N ,N ,N ,No subjects through Irish,Catholic
16760M,N ,N ,N ,No subjects through Irish,Catholic
63841E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17537O,N ,N ,N ,No subjects through Irish,Catholic
18168O,N ,N ,N ,No subjects through Irish,Catholic
19703P,N ,N ,N ,No subjects through Irish,Presbyterian
17064U,N ,N ,N ,No subjects through Irish,Catholic
18063A,N ,N ,N ,No subjects through Irish,Catholic
12954F,N ,N ,N ,No subjects through Irish,Catholic
02813E,N ,N ,N ,No subjects through Irish,Catholic
09302O,N ,N ,N ,No subjects through Irish,Catholic
19740V,N ,N ,N ,All subjects through Irish,Catholic
17967Q,N ,N ,N ,No subjects through Irish,Catholic
16683U,N ,N ,N ,No subjects through Irish,Catholic
19796C,N ,N ,N ,No subjects through Irish,Catholic
16810B,N ,N ,N ,No subjects through Irish,Catholic
71630K,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19391W,N ,N ,N ,No subjects through Irish,Catholic
70460G,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19089A,N ,N ,N ,No subjects through Irish,Church Of Ireland
14830U,N ,N ,N ,No subjects through Irish,Catholic
18562S,N ,N ,N ,No subjects through Irish,Catholic
20191V,N ,N ,N ,No subjects through Irish,Church Of Ireland
19221U,N ,N ,N ,No subjects through Irish,Catholic
18461M,N ,N ,N ,No subjects through Irish,Catholic
64290V,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
14556D,N ,Y ,N ,No subjects through Irish,Catholic
19556F,N ,N ,N ,No subjects through Irish,Catholic
19668Q,N ,Y ,N ,No subjects through Irish,Catholic
18977B,N ,N ,N ,No subjects through Irish,Catholic
14910S,N ,Y ,N ,No subjects through Irish,Catholic
20124G,N ,Y ,N ,No subjects through Irish,Catholic
17868O,N ,N ,N ,No subjects through Irish,Catholic
20245S,N ,Y ,N ,No subjects through Irish,Catholic
15792U,N ,N ,N ,No subjects through Irish,Catholic
19754J,N ,N ,N ,No subjects through Irish,Multi Denominational
10047I,N ,N ,N ,No subjects through Irish,Catholic
16979S,N ,Y ,N ,No subjects through Irish,Catholic
19744G,N ,N ,N ,No subjects through Irish,Catholic
16789N,N ,N ,N ,No subjects through Irish,Catholic
03917V,N ,Y ,N ,No subjects through Irish,Catholic
17790D,N ,N ,N ,No subjects through Irish,Catholic
18766L,Y ,Y ,N ,All subjects through Irish,Catholic
91371B,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
04152T,N ,N ,N ,No subjects through Irish,Catholic
20308Q,N ,Y ,N ,No subjects through Irish,Multi Denominational
19390U,N ,N ,N ,No subjects through Irish,Catholic
19354Q,N ,N ,N ,No subjects through Irish,Catholic
15700M,N ,N ,N ,No subjects through Irish,Catholic
19840C,N ,Y ,N ,No subjects through Irish,Catholic
15346U,Y ,N ,N ,All subjects through Irish,Catholic
19601H,N ,Y ,N ,No subjects through Irish,Catholic
13080V,N ,N ,N ,No subjects through Irish,Catholic
01840C,N ,N ,N ,No subjects through Irish,Catholic
19574H,N ,N ,N ,No subjects through Irish,Catholic
20078C,N ,Y ,N ,No subjects through Irish,Catholic
81017A,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
13105L,N ,N ,N ,No subjects through Irish,Catholic
01000E,N ,N ,N ,No subjects through Irish,Catholic
76082H,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17968S,N ,N ,N ,No subjects through Irish,Catholic
11990E,N ,N ,N ,No subjects through Irish,Catholic
16009H,N ,N ,N ,No subjects through Irish,Catholic
17640H,N ,N ,N ,No subjects through Irish,Catholic
70100W,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
91506V,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
68070E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20445D,N ,N ,N ,No subjects through Irish,Multi Denominational
71720L,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
13747F,N ,N ,N ,No subjects through Irish,Catholic
62000W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
62890M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18350D,N ,N ,N ,No subjects through Irish,Catholic
14966W,N ,N ,N ,No subjects through Irish,Catholic
71330V,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
14075K,N ,N ,N ,No subjects through Irish,Catholic
65450W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
15560W,N ,N ,N ,No subjects through Irish,Catholic
18513F,N ,N ,N ,No subjects through Irish,Catholic
17610V,N ,N ,N ,No subjects through Irish,Catholic
17996A,N ,N ,N ,No subjects through Irish,Catholic
15177A,N ,N ,N ,No subjects through Irish,Church Of Ireland
02793B,N ,N ,N ,No subjects through Irish,Catholic
64250J,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
20426W,N ,N ,N ,No subjects through Irish,Multi Denominational
17564R,Y ,Y ,N ,All subjects through Irish,Catholic
62840U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19679V,N ,N ,N ,No subjects through Irish,Catholic
06852L,N ,Y ,N ,No subjects through Irish,Catholic
70180A,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
15692Q,N ,N ,N ,No subjects through Irish,Catholic
18380M,N ,N ,N ,No subjects through Irish,Catholic
10991B,N ,N ,N ,No subjects through Irish,Catholic
61570M,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
64930I,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
18257N,N ,N ,N ,No subjects through Irish,Catholic
20139T,N ,Y ,N ,No subjects through Irish,Catholic
19565G,N ,N ,N ,No subjects through Irish,Catholic
20399W,N ,N ,N ,No subjects through Irish,Catholic
18742U,N ,N ,N ,No subjects through Irish,Catholic
