id06,county,ed_english,pop2016,hpindex2016,edhigh,hlprof,larent,unemploy
3034,Dublin,TALLAGHT-KILNAMANAGH,4386,-6.97590886,22.11339618,29.82216142,0.34668283,11.90563761
3035,Dublin,TALLAGHT-KILTIPPER,8478,-10.53674946,23.91427542,22.3519698,25.46898023,21.1231207
3036,Dublin,TALLAGHT-KINGSWOOD,3996,-5.5101041,27.44745115,28.57857858,4.58673928,12.0351726
3037,Dublin,TALLAGHT-MILLBROOK,3386,-12.6966659,17.32014606,24.246899,2.84901768,14.00030668
3038,Dublin,TALLAGHT-OLDBAWN,4579,-7.53786507,24.86937938,29.17667613,3.59418275,12.38776162
3039,Dublin,TALLAGHT-SPRINGFIELD,11012,-7.73789434,29.02855123,22.92045042,8.63246833,18.19982201
3040,Dublin,TALLAGHT-TYMON,4956,-15.22667016,16.58952236,21.67070218,23.41935586,20.68301785
3041,Dublin,TEMPLEOGUE-CYPRESS,2714,4.22689618,49.29008851,57.36919676,0.34126936,5.43235755
3042,Dublin,TEMPLEOGUE-KIMMAGE MANOR,4856,10.38029452,64.45655305,65.58896211,0.24907444,5.90750641
3043,Dublin,TEMPLEOGUE-LIMEKILN,3449,-5.98103953,27.38441316,33.77790664,2.38029899,9.59407282
3044,Dublin,TEMPLEOGUE-ORWELL,2056,1.79450085,44.13921531,55.00972763,0.00E+00,7.72309438
3045,Dublin,TEMPLEOGUE-OSPREY,2246,1.22619074,41.14228926,47.46215494,0.76286824,9.45085884
3046,Dublin,TEMPLEOGUE VILLAGE,2074,7.50684324,60.43352651,65.86306654,0.52277253,7.30279753
3047,Dublin,TERENURE-CHERRYFIELD,2151,-5.8107199,30.92168494,34.72803347,2.42925011,12.13608143
3048,Dublin,TERENURE-GREENTREES,2872,-1.79908917,37.94234787,44.49860724,0.5278305,10.75081935
3049,Dublin,TERENURE-ST. JAMES,2568,-14.87227816,16.87229141,26.28504673,0.09646701,13.82409097
4001,Dublin,AIRPORT,5018,7.19885831,57.0055419,31.36707852,13.3525062,6.98703116
4002,Dublin,BALBRIGGAN RURAL,16495,-5.13064996,34.80179888,30.53046378,13.66854537,15.24062439
4003,Dublin,BALBRIGGAN URBAN,8116,-7.87366494,27.52917938,28.36372597,8.618462,16.48440051
4004,Dublin,BALDOYLE,7524,0.12909278,39.70855072,43.14194577,7.12429726,9.36135285
4005,Dublin,BALGRIFFIN,3113,9.93371598,52.48000125,49.91969162,3.01761375,5.73404397
4006,Dublin,BALLYBOGHIL,1162,3.02100816,34.54481318,46.55765921,4.07295013,5.10052895
4007,Dublin,BALSCADDEN,707,-2.97324075,34.54886522,38.61386139,6.0024636,11.54946264
4008,Dublin,BLANCHARDSTOWN-ABBOTSTOWN,6195,2.33842926,52.81175165,41.33979015,4.812543,12.6541512
4009,Dublin,BLANCHARDSTOWN-BLAKESTOWN,38894,-0.99655369,39.97262783,35.83329048,1.9047171,10.97178506
4010,Dublin,BLANCHARDSTOWN-COOLMINE,11320,-7.43026389,32.46574927,28.66607774,21.04114037,18.75940862
4011,Dublin,BLANCHARDSTOWN-CORDUFF,3871,-15.92961465,15.56622775,18.08318264,33.31884106,24.68325111
4012,Dublin,BLANCHARDSTOWN-DELWOOD,5153,0.33816482,48.03061563,41.41276926,2.01961128,10.34157042
4013,Dublin,BLANCHARDSTOWN-MULHUDDART,4123,-8.51886044,31.94064718,22.70191608,24.05690367,19.44241033
4014,Dublin,BLANCHARDSTOWN-ROSELAWN,1688,-2.0126194,37.85206633,43.3056872,4.43649597,10.26912741
4015,Dublin,BLANCHARDSTOWN-TYRRELSTOWN,3257,-12.19458824,22.26254925,14.79889469,52.32322955,24.51115533
4016,Dublin,CASTLEKNOCK-KNOCKMAROON,19027,8.288881,60.17887774,57.39738267,1.12179619,6.82305667
4017,Dublin,CASTLEKNOCK-PARK,5329,10.22989062,65.00836647,65.09664102,1.32723379,6.56144424
4018,Dublin,CLONMETHAN,837,0.17152964,34.45999919,42.05495818,12.93022818,7.89646022
4019,Dublin,DONABATE,9399,4.84856764,47.34699324,51.66507075,4.48858622,7.82512246
4020,Dublin,DUBBER,7372,-0.16161918,39.71896395,30.52088985,6.19862445,11.35433774
4021,Dublin,GARRISTOWN,1628,-1.24124729,30.96885544,38.32923833,10.75040319,9.9829036
4022,Dublin,HOLLYWOOD,1397,1.61095874,32.27127925,44.8103078,2.54061287,7.65627969
4023,Dublin,HOLMPATRICK,3458,3.63522232,44.92186303,52.1978022,2.93234267,8.7075337
4024,Dublin,HOWTH,8294,5.64440059,54.16434813,62.75620931,1.30621298,6.32320423
4025,Dublin,KILSALLAGHAN,2263,-6.08609659,29.13346826,36.50022095,8.74532673,14.22499103
4026,Dublin,KINSALEY,9621,5.12939819,46.22680331,42.75023386,4.27151294,6.47734208
4027,Dublin,LUCAN NORTH,1436,9.66925318,60.6245261,65.04178273,0.27545652,3.7341485
4028,Dublin,LUSK,9623,0.52136895,38.50606413,41.53590356,5.39730748,8.94666503
4029,Dublin,MALAHIDE EAST,7429,9.44838223,59.61574445,63.13097321,2.63151093,5.05861642
4030,Dublin,MALAHIDE WEST,6149,7.50067622,52.83875345,61.71735242,1.54466911,5.53906622
4031,Dublin,PORTMARNOCK NORTH,4109,3.32807815,47.13746174,55.92601606,0.13695756,6.61484766
4032,Dublin,PORTMARNOCK SOUTH,3621,4.20031415,49.11918539,54.01822701,3.09978716,6.86937417
4033,Dublin,RUSH,9921,-2.04993001,32.05592749,35.90363875,6.61780073,9.77340625
4034,Dublin,SKERRIES,8501,2.38844419,46.20395849,51.52335019,8.16814182,9.88060378
4035,Dublin,SUTTON,5680,3.44445267,47.98402403,56.63732394,0.55772622,7.66122116
4036,Dublin,SWORDS-FORREST,15153,3.55096672,40.78098269,39.74790471,2.51701367,7.36619848
4037,Dublin,SWORDS-GLASMORE,7711,-4.0618596,26.84178269,29.55518091,7.99204363,11.26504304
4038,Dublin,SWORDS-LISSENHALL,10447,1.31324493,39.18914716,37.32171915,8.28818381,9.18564163
4039,Dublin,SWORDS-SEATOWN,6782,5.3617365,47.0822101,50,1.83638383,6.38394661
4040,Dublin,SWORDS VILLAGE,2674,-1.43639012,36.32495738,31.30142109,3.62157223,11.08136598
4041,Dublin,THE WARD,9602,0.92754633,44.44666848,36.46115393,5.37455534,11.50493931
4042,Dublin,TURNAPIN,1700,-2.03788925,32.64373096,33.94117647,2.65697122,9.80330384
5001,Dublin,BALLINTEER-BROADFORD,2537,0.57264487,41.27868658,47.73354356,0.51857798,8.03098727
5002,Dublin,BALLINTEER-LUDFORD,2028,-0.67390191,41.2130723,50.49309665,0.12551551,7.71390846
5003,Dublin,BALLINTEER-MARLEY,2253,5.91129255,53.56688499,59.12117177,0.35123772,7.05455181
5004,Dublin,BALLINTEER-MEADOWBROADS,1639,4.50735391,53.06440991,60.21964613,0.17272009,9.01287321
5005,Dublin,BALLINTEER-MEADOWMOUNT,1848,-4.96375325,32.8256134,40.0974026,21.53367485,17.04557724
5006,Dublin,BALLINTEER-WOODPARK,5405,8.70360717,58.0311128,60.99907493,2.50137108,5.13980549
5007,Dublin,BALLYBRACK,2962,-3.40753612,34.03995377,43.4166104,6.08112968,9.99162191
5008,Dublin,BLACKROCK-BOOTERSTOWN,3436,12.87474956,77.08876647,65.54132712,0.82864685,4.84214718
