roll_number,ed_english,ed_id,latitude,longitude
04005G,THURLES URBAN,217162,52.6801064,-7.8044421
04054T,DERRYVILLANE,47128,52.236282,-8.336495
04062S,LISTOWEL URBAN,77128,52.4486895,-9.4961491
04075E,COOLEAGH,217061,52.5277526,-7.7081838
04077I,GRANGEFORD,17021,52.837568,-6.7821554
04118T,LISGOOLD,47240,51.96986,-8.2639146
04152T,BRINNY,47058,51.8008055,-8.6848101
04186N,DRIPSEY,47135,51.9374329,-8.6974398
04210H,KILMESSAN,167053,53.5607122,-6.6626897
04230N,TEMPLEBODAN,47302,51.9892109,-8.228013
04442F,CLONPRIEST,47103,51.9531544,-7.9419843
04466T,COOLRUS,127049,52.45026,-8.74915
04469C,FEENAGH,127070,52.3901188,-8.8801067
04487E,LEITRIM,207057,54.0801158,-8.6606961
04506F,ORANMORE,67184,53.2640706,-8.9309954
04548V,KILTENANLEA,37103,52.7242526,-8.5543906
04578H,KILBERRIHERT,47182,51.9319823,-8.8591582
04620D,THOMASTOWN,217160,52.4934094,-8.0190559
04796R,KNAPPAGH,157107,53.7545927,-9.5641037
04800F,ROOSKY,197096,53.8322125,-7.927312
04809A,RUTLAND,57133,54.9973526,-8.4185728
04919H,CRATLOE,37043,52.6995085,-8.7554178
04953H,ROSKEEN,47280,52.1741854,-8.804743
04992R,BALLYGALL C,268011,53.3840933,-6.2738992
05070W,ENNISCORTHY RURAL,247045,52.5068183,-6.5819746
05115S,FOXHALL,137032,53.6212481,-7.6308386
05120L,COONARD,157059,53.6595962,-9.0749359
05144C,CASHEL URBAN,217046,52.5159097,-7.8915829
05164I,MEENACLADY,57119,55.265006,-8.2245634
05230S,CLONLEIGH SOUTH,57038,54.8329204,-7.4822384
05253H,KILLURAN,37092,52.8404847,-8.672218
05257P,BANDON,47325,51.7488353,-8.7439316
05348S,TAHILLA,77156,51.8339385,-9.8228468
05477G,KILBROGAN,47186,51.7578958,-8.7899784
05501A,KILLANNY,147027,53.9583425,-6.6496118
05513H,KINTURK,237069,53.6815554,-7.2961493
05548D,BALLYMACART,227011,52.0067506,-7.6399254
05565D,ADRIGOLE,47002,51.6872472,-9.6648601
05600C,DUN LAOGHAIRE-WEST CENTRAL,267077,53.2923398,-6.1379416
