roll_number,ed_english,ed_id,latitude,longitude
13320P,RATHCLINE,137054,53.6246602,-7.9933557
13335F,MONAMOLIN,247087,52.55335,-6.3417672
13343E,MOUNTRATH,107073,53.0002948,-7.4763032
13350B,BALLYSAX EAST,87008,53.1492284,-6.7983558
13365O,ORANMORE,67184,53.2673363,-8.9318252
13375R,BALLYMODAN,47033,51.7270742,-8.7699329
13379C,DERREEN,37047,53.10493,-9.29554
13383Q,GLENCASTLE,157081,54.1919099,-9.9054109
13389F,BRACKLOON,157038,53.897116,-8.927196
13402R,KNOCKRAHA,47229,51.9582892,-8.3396802
13404V,KNOCKGRAFFON,217116,52.4409429,-7.8837206
13415D,MOYCULLEN,67179,53.3068537,-9.1530849
13418J,KILLONE,37091,52.7839167,-9.0296878
13444K,CASTLEBAR URBAN,157049,53.8550014,-9.2879257
13447Q,LUCAN HEIGHTS,267101,53.3590634,-6.4398652
13450F,COBH URBAN,47107,51.8499374,-8.3146027
13459A,GALBALLY,127072,52.4012269,-8.2961252
13483U,BALLYNAMONA,47037,52.0688714,-8.6379625
13498K,ROOSKY,197096,53.8327737,-7.9215349
13500R,ROSLEE,157134,53.7461052,-9.1771175
13507I,TULLOW URBAN,17051,52.8008302,-6.7344061
13512B,CARRIGALINE,47072,51.819619,-8.397268
13540G,NEWTOWNSANDES,77142,52.5007826,-9.3720564
13543M,GARROWN,47155,51.7529551,-9.1765797
13555T,KILMACLASSER,157100,53.8501218,-9.4920782
13571R,DRUMRANEY,237038,53.4765767,-7.7486192
13597M,KILMACANOGE,257051,53.1896749,-6.1013355
13611D,MERCHANTS QUAY D,268101,53.3357624,-6.2754101
13612F,TERENURE B,268145,53.3103186,-6.2876602
13621G,BALLYNAKILL,67029,53.5536034,-9.9482317
13625O,KILNAMONA,37096,52.867855,-9.0785584
13635R,KILMEADAN,227059,52.2324403,-7.2689852
13643Q,EMO,107046,53.1004132,-7.2087371
13647B,IGHTERMURRAGH,47173,51.91129,-8.0516519
13648D,TIVOLI A,48064,51.903919,-8.4562779
13656C,DRUMOD,117030,53.9025064,-7.9545566
13659I,BEKAN,157033,53.7586015,-8.8497217
13661S,DUNMANWAY NORTH,47145,51.7237792,-9.1143367
13662U,DUNMANWAY NORTH,47145,51.7220296,-9.1074689
13665D,PORTUMNA,67188,53.0927811,-8.2185406
13667H,BALLINA URBAN,157016,54.1149482,-9.1550693
13670T,RAVENSDALE,147033,54.0427072,-6.331172
13678M,KILCASH,217091,52.3963302,-7.6057904
13679O,DELGANY,257027,53.1324869,-6.0854894
13684H,BANGOR,157031,54.1460424,-9.7321632
13686L,CONG,157057,53.5466127,-9.2796475
13696O,SHANDON A,48052,51.9056338,-8.4768445
13699U,LETTERMORE,67163,53.2887484,-9.6559437
13728B,CASTLEHAVEN NORTH,47082,51.530754,-9.196616
13730L,DOONBEG,37049,52.76484,-9.4716701
13738E,KILLIMER,37087,52.6286843,-9.3618093
13741Q,SALLYFORD,107088,53.094432,-7.0923216
13747F,RIVERSTOWN,47279,51.9305033,-8.3928825
13752V,MILLTOWN,137046,53.7596139,-7.5565152
13757I,CASTLEREAGH,197032,53.7708302,-8.4385414
13758K,LACKAN SOUTH,157113,54.2337136,-9.2579278
13773G,CLAREMORRIS,157051,53.7238764,-9.0017356
13779S,DROMORE,47140,52.1056038,-8.6908349
13781F,BREAGHWY,157039,53.8478372,-9.2380903
13790G,BULGADEN,127033,52.4226179,-8.5268126
13797U,WESTPORT URBAN,157153,53.8021307,-9.5143467
13804O,KILFIDDANE,37076,52.6924765,-9.2254726
13811L,RAFERAGH,177063,53.9913705,-6.8581469
13815T,CLONTARF WEST C,268048,53.3639404,-6.2244934
13819E,DONAGHCUMPER,87029,53.3367795,-6.5369796
13821O,CLEGGAN,67058,53.556598,-10.1121917
13826B,KILMIHIL,37093,52.7227439,-9.3191265
13828F,DOUGLAS,47132,51.8734671,-8.4417413
13831R,TOBERCURRY,207077,54.0273351,-8.7046969
13839K,ROCKHILL,197094,53.4826978,-8.1072178
13847J,CURRAHEEN,217064,52.63253,-8.1114699
13856K,RAHOON,68015,53.2902201,-9.0828763
13867P,ROSCREA,217152,52.9547978,-7.7958523
13870E,KILKISHEN,37078,52.8049347,-8.7427017
13872I,STRANORLAR,57137,54.8057681,-7.7629673
13876Q,MOVEEN,37122,52.6434201,-9.6842176
13882L,GLENAMOY,157080,54.2409359,-9.6760341
13889C,CARRIGALINE,47072,51.8309928,-8.3533741
13902O,CLANE,87025,53.2796731,-6.6932432
13908D,BALLAGHAMEEHAN,117008,54.3818249,-8.1093407
13910N,TEMPLEBREEDY,47303,51.8023015,-8.2984303
13914V,BARNA,67032,53.251812,-9.1474685
13927H,INISHBOFIN,67109,53.6225349,-10.2192531
13940W,KILGLASS,207047,54.2127105,-9.093793
13942D,SIXMILEBRIDGE,37143,52.7436246,-8.7776504
13952G,LETTERMORE,67163,53.2887484,-9.6559437
13976U,BALLYDEHOB,47024,51.5635755,-9.467416
13978B,BALLYFARNAN,197015,54.0680868,-8.1995193
13980L,LEHENAGH,47235,51.8742279,-8.496312
13991Q,BIRDHILL,217027,52.7674997,-8.4371207
14000C,GILLABBEY A,48028,51.8949983,-8.4802333
14002G,CLONFERT WEST,47099,52.2757707,-9.2175235
14005M,KILTEELY,127100,52.52134,-8.39866
14008S,RATHLYNIN,217147,52.5220639,-8.0720785
14014N,CASTLECOR,47081,52.2008476,-8.8105421
14022M,MAGOURNEY,47244,51.91035,-8.7927742
14031N,AUGHRIM,67014,53.3314719,-8.7889683
14049J,TERMONBARRY,197106,53.762471,-7.920863
14051T,CASTLECONOR EAST,207024,54.1777167,-9.0271201
14052V,KANTURK,47179,52.1772549,-8.9051669
14056G,LISMAHA,197085,53.5302548,-8.2821942
14064F,KILLAVALLY,157098,53.7590297,-9.3669277
14067L,FEDAMORE,127069,52.5454956,-8.6051311
14071C,ENAGH,177044,53.9518772,-6.7774505
14073G,CLONERVY,27026,54.0304494,-7.2917171
14075K,ARDAGH,127007,52.4951415,-9.0583182
14107U,CASTLETOWNROCHE,47087,52.1719763,-8.4685114
14111L,KILBALLYOWEN,37070,52.5989632,-9.7753535
14116V,KILBRITTAIN,47185,51.6731214,-8.6946363
14164J,LISMORE URBAN,227089,52.1393512,-7.9297517
14180H,SKERRIES,267123,53.5796951,-6.1075289
14181J,KILVEMNON,217114,52.5002568,-7.4359953
14188A,MUINGS,157122,54.222187,-9.8506813
14193Q,RATHHILL,157132,54.0736741,-9.9311755
14194S,TERMON,57142,55.049512,-7.832257
14205U,ROSLEE,157134,53.7775617,-9.1252149
14207B,CASTLEBELLINGHAM,147006,53.8863234,-6.38817
14211P,ENNISKEEN,27048,53.9025687,-6.8620699
14225D,BALLYDEHOB,47024,51.5604538,-9.4595665
14227H,KILCOE,47189,51.5597449,-9.3903764
14231V,GREAN,127082,52.5610125,-8.3456678
14252G,CLOGHER,147009,53.7916269,-6.2435066
14254K,BANNOW,247023,52.2385344,-6.7321656
14258S,AN GEATA MOR THUAIDH,157008,54.2063795,-10.0354122
14260F,ABBEYLEIX,107001,52.910751,-7.354767
14269A,DUNLAVIN,257033,53.0578764,-6.7016395
14278B,HEADFORD,67106,53.4694617,-9.106134
14290O,BALLYCASTLE,157022,54.2788385,-9.3717337
14294W,MOYNE,67180,53.4659021,-8.6636188
14303U,CAPE CLEAR,47068,51.4353813,-9.4983063
14305B,BALLYLANDERS,127020,52.3708888,-8.3464216
14320U,LISAGOAN,27067,53.939755,-6.8641595
14336M,SHERCOCK,27079,53.990857,-6.8899206
14339S,AGHAVAS,117004,53.9555396,-7.7177963
14348T,CARRICKLECK,167014,53.8702298,-6.7648707
14356S,DUNAMON,197055,53.6587921,-8.339078
14366V,KILMURRY,77110,52.28943,-9.3589001
14377D,KILCONNELL,67118,53.3314659,-8.4014327
14383V,CLOONKEEN,67065,53.5122875,-8.3867305
14386E,LONGFORD RURAL,137045,53.6942954,-7.8200749
14398L,WICKLOW URBAN,257078,52.983138,-6.0465791
14399N,MOYNEHALL,27072,53.9864853,-7.3051518
14409N,BALLYCUMMIN,127018,52.6309647,-8.6683006
14420B,RINVYLE,67192,53.5951968,-9.957941
14426N,OUGHTERLEAGUE,217142,52.5446132,-8.003851
14430E,BANTRY URBAN,47042,51.6819171,-9.447778
14433K,SKIBBEREEN URBAN,47294,51.5409415,-9.261122
14448A,KILLEANY,67126,53.4455916,-9.0951459
14450K,COLLINSTOWN,237031,53.64722,-7.208201
14460N,KILLEA,217101,52.8236279,-7.8768842
14463T,BALLYBOUGH A,268009,53.3587102,-6.2423326
14468G,KILLANNIV,37082,52.8203269,-9.1099755
14476F,CASTLECOMER,97022,52.8057271,-7.2060448
14492D,ARDCOLM,247004,52.3930238,-6.3921661
14497N,CASTLEBAR RURAL,157048,53.8525207,-9.357234
14534Q,HOUNDSWOOD,157086,53.5493175,-9.1538355
14556D,ROYAL EXCHANGE A,268140,53.3403906,-6.2665964
14568K,KILLEA,227054,52.1653965,-7.0055551
14571W,SCARRIFF,37142,52.8985172,-8.541013
14586M,BLACKROCK-CENTRAL,267021,53.297112,-6.183017
14590D,WORMHOLE,67217,53.390619,-9.2493966
14622N,BALLYEA,37007,52.8769834,-9.1767645
14625T,DOON SOUTH,127058,52.6043292,-8.2478393
14631O,CARTHAGE,57026,55.3306786,-7.2114791
14636B,KILMACOWEN,207050,54.2447445,-8.4749072
14642T,KILLOGILLEEN,67136,53.1692451,-8.7512415
14643V,GRANEY,87041,52.8969211,-6.7687799
14647G,DALKEY-BULLOCK,267063,53.2834255,-6.1045968
14650S,MOUNTDAVIS,137048,53.6368604,-7.894289
14668O,BALLYHUSKARD,247016,52.4813346,-6.428579
14672F,KILGLASS,137037,53.5980557,-7.6796154
14679T,KILLOTERAN,227055,52.2295939,-7.1781459
14684M,AUGHRIM WEST,197010,53.871787,-8.1224211
14704P,DUNFANAGHY,57057,55.1536474,-8.011524
14712O,CLOONBUR,67064,53.5451643,-9.3643582
14717B,RATHMINES WEST E,268136,53.3140809,-6.275432
14724V,INISHMORE,67110,53.1230091,-9.6681197
14726C,KINSALE RURAL,47221,51.7099803,-8.5144732
14732U,KILBRIDE,27052,53.8185511,-7.2532887
14767Q,DEELIS,77062,52.2366,-9.97892
14777T,NEWTOWNBARRY,247094,52.6273204,-6.6559469
14784Q,DUNMANWAY NORTH,47145,51.7220296,-9.1074689
14791N,CAPPAGH,217039,52.5822151,-8.164659
14808E,KILVINE,157106,53.6625737,-8.8902577
14813U,ROSSCARBERY,47282,51.5803726,-9.0296174
14816D,CANDROMA,47066,51.90026,-9.08222
14829M,BALLYARTHUR,257012,52.889744,-6.1452741
14830U,KILRAGHTIS,37097,52.890303,-8.944164
14837L,BALLON,17004,52.7391042,-6.7697839
14839P,CLONDROHID,47097,51.9286686,-9.021698
14863M,DOOEGA,157074,53.9288698,-9.9285862
14873P,SLIEVEMORE,157139,53.9806009,-10.0429704
14898I,NEWTOWNGORE,117068,54.0160688,-7.6595976
14900P,INCH,247058,52.3083331,-6.8597696
14903V,BALLYVALDON,247022,52.5087867,-6.2884196
14909K,TINTERN,247113,52.2803179,-6.8397818
14910S,CLONLEIGH SOUTH,57038,54.83551,-7.4829606
14917J,RATHFARNHAM,268127,53.3078865,-6.2746433
14925I,KILLUMMOD,197076,53.9165115,-8.1703062
14939T,RATHFARNHAM-BALLYROAN,267113,53.2934227,-6.3034082
14941G,KINCRAIGY,57101,54.9378818,-7.6177821
14952L,CASTLEISLAND,77044,52.2302163,-9.4610534
14966W,KILTEEVAN,197079,53.6355277,-8.1149078
14972R,CARNEW,257021,52.7097836,-6.4998843
14980Q,BOTANIC A,268027,53.372602,-6.267441
14987H,CLOGHANE,77048,52.2304787,-10.1824514
14993C,DERRYFINEEN,47127,51.9009031,-9.1611976
14998M,KILSHENANE,77113,52.3510945,-9.4850133
15004P,KNOCKAREE,207055,54.267065,-8.6018852
15008A,SHRONELL,217153,52.4703893,-8.250067
15014S,BELMULLET,157036,54.2099572,-9.9755341
15027E,BALLINASLOE URBAN,67017,53.3287621,-8.2269467
15030Q,AGHAMORE,157005,53.8260502,-8.8203663
15032U,KNOCKADAFF,157110,54.3131114,-9.8127032
15033W,KILFEIGHNY,77093,52.3505422,-9.6253164
15040T,NAAS URBAN,87071,53.2212924,-6.663386
15042A,ENNIS RURAL,37057,52.830132,-9.001301
15043C,BOYLE URBAN,197022,53.9718467,-8.2998576
15045G,STROKESTOWN,197103,53.7804071,-8.1039865
15046I,CENTRE B,228010,52.2599331,-7.1144255
15056L,BALLYBOUGH A,268009,53.3572087,-6.2465505
15071H,LOUGHREA URBAN,67170,53.1989136,-8.5660931
15101N,CASTLERING,147007,53.9730132,-6.4854126
15104T,KILBRIDE,167043,53.60307,-6.81816
15113U,SONNAGH,157140,53.9182124,-8.8670644
15116D,DRUMAHAIRE,117027,54.2197926,-8.2595437
15120R,CUTTRAGH,27034,53.9631646,-7.2577932
15122V,ABBEYLARA,137001,53.7714239,-7.4562322
15132B,DALKEY-COLIEMORE,267064,53.2783949,-6.1036855
15135H,BANTRY URBAN,47042,51.67737,-9.4401248
15140A,MACROOM URBAN,47243,51.9048039,-8.9588478
15142E,CROSSALARE,177030,54.0128702,-6.6887836
15143G,BOCKS,177010,54.0287153,-6.7522415
15154L,KILCOMMOCK,137036,53.6249201,-7.8187222
15157R,BRUIS,217034,52.45193,-8.24208
15160G,THE ROWER,97100,52.4527879,-6.9616488
15165Q,CASTLEMARTYR,47086,51.9094013,-8.0957957
15170J,CASTLEWRAY,57030,55.0004458,-7.6610273
15177A,CRANEMORE,17017,52.656986,-6.665168
15194A,FENAGH,117038,54.0266876,-7.8602786
15217J,RIVERSTOWN,207066,54.1287649,-8.3957994
15221A,KILMURRY,37095,52.8220525,-9.41445
15226K,KILMURRY,127097,52.5686741,-8.4538045
15253N,PEMBROKE EAST A,268110,53.3433566,-6.2255493
15255R,LOUGHGLINN,197088,53.862433,-8.5437711
15257V,ARDNAREE NORTH,157010,54.1316662,-9.1302466
15279I,CLOONEY,37035,52.8711731,-8.8615103
15284B,DUNDRUM-KILMACUD,267079,53.288738,-6.2381874
15291V,FAUGHALSTOWN,237042,53.6318169,-7.2907143
15299O,GAILE,217077,52.6031026,-7.8672223
15301V,KILLADYSERT,37079,52.6769373,-9.1038959
15307K,CLONFAD,237029,53.4351959,-7.3855842
15308M,ATHLEAGUE WEST,197007,53.5680369,-8.2493809
15315J,BALBRIGGAN RURAL,267002,53.6072119,-6.2039158
15318P,DUNGARVAN RURAL,227034,52.0702475,-7.6782771
15320C,GLENTWORTH A,128021,52.6589813,-8.6227167
15325M,CLONBULLOGE,187020,53.2626479,-7.0862525
15329U,CARRICKMACROSS URBAN,177017,53.977667,-6.7148328
15331H,SLIEVEANEENA,67202,53.3520418,-9.2265077
15337T,CLIFFONY NORTH,207026,54.4301796,-8.4541397
15340I,AGLISH,97002,52.2703638,-7.2155385
15342M,TOOMOUR,207080,54.0482341,-8.4482228
15346U,SLIEVEREAGH,47296,51.9375929,-9.1490655
15350L,CLENAGH,37027,52.7252027,-8.9100871
15354T,KILCOMB,247061,52.6152643,-6.4262436
15359G,SHILLELAGH,257067,52.7547231,-6.5399277
15362S,MULLINAHONE,217134,52.512722,-7.5036823
15367F,ARDAMINE,247002,52.6384674,-6.2348684
15370R,KILLALOE,37080,52.8044032,-8.4446307
15378K,COOLANEY,207031,54.1738093,-8.6008023
15380U,ROSNALEE,47281,52.1344259,-8.9504724
15382B,DRUMAHAIRE,117027,54.2255201,-8.2927581
15395K,RATHROBIN,187073,53.1933154,-7.6257294
15407O,GOREY URBAN,247053,52.6760778,-6.2951133
15410D,SHEEPSHEAD,47289,51.5809613,-9.7029974
15413J,BALLYNAMONA,197018,53.4528278,-8.0890766
15419V,BOLABOY,247026,52.5028226,-6.3899756
15420G,BALLYCANEW,247010,52.6103837,-6.3055556
15425Q,BUCKILL,197024,53.8466775,-8.4847923
15431L,KILSHALVY,207053,54.0386376,-8.5535656
15446B,MOUNTRATH,107073,52.995014,-7.4675763
15452T,CARN,27019,54.0661185,-7.5500298
15456E,BALLYSHANNON,87010,53.0874694,-6.8147291
15475I,FOXHALL,67096,53.5731309,-8.9777719
15484J,CAHERLAG,47064,51.9139625,-8.3418162
15496Q,EASKY WEST,207043,54.2564848,-9.0301057
15502I,KILLINKERE,27059,53.8861844,-7.0688276
15512L,MOATE,237075,53.3979743,-7.7236847
15516T,CLONPRIEST,47103,51.9295913,-7.922309
15523Q,KINVARRA,67154,53.140007,-8.9441598
15531P,CREAGH,197045,53.3586413,-8.2132763
15532R,GREENFORT,57085,55.2108913,-7.626658
15539I,BALLYHAUNIS,157025,53.7125006,-8.790594
15540Q,CASTLERICHARD,227021,52.1423368,-8.0511942
15543W,BUCKILL,197024,53.8859388,-8.503709
15545D,CASTLEPLUNKET,197031,53.7513523,-8.3471035
15550T,TEMPLEMICHAEL,47306,51.7927242,-8.5717234
15554E,ARDARA,57004,54.7646499,-8.3660025
15555G,ARDNAREE SOUTH RURAL,157011,54.0855226,-9.1053149
15556I,PORTARLINGTON SOUTH,107078,53.1532666,-7.1816175
15557K,KILTULLAGH,197081,53.6867556,-8.7518199
15560W,BALLYMACKEY,217020,52.8683371,-8.0946265
15562D,ABBEYLEIX,107001,52.9134712,-7.34903
15563F,AGHADOWN SOUTH,47004,51.5322978,-9.3761274
15569R,SKERRIES,267123,53.5781665,-6.1063279
15571E,KILGLASS,207047,54.2282987,-9.0291407
15584N,RUSHFIELD,197101,53.936142,-8.3151145
15592M,VENTRY,77166,52.1333113,-10.3617104
15594Q,FERMOY RURAL,47151,52.1511194,-8.3068731
15597W,MACROOM URBAN,47243,51.9027705,-8.9540219
15614T,CARROWREAGH,197030,53.3940037,-8.1720671
15618E,RATHMINES EAST B,268129,53.3219447,-6.247912
15622S,CHAPELIZOD,268037,53.3484985,-6.3433938
15625B,MERCHANTS QUAY F,268103,53.3332165,-6.2830807
15627F,FAHAN,57063,55.0655588,-7.4337064
15628H,RATHFARNHAM,268127,53.3096938,-6.2820242
15638K,EDENDERRY URBAN,187036,53.3409075,-7.0714159
15644F,KILLARNEY RURAL,77101,52.0741884,-9.443654
15646J,GLENGARRIFF,47160,51.7430132,-9.4488453
15650A,LUSK,267104,53.5167359,-6.1906836
15654I,ANKETELL GROVE,177002,54.367902,-6.9650269
15656M,SILVERBROOK,187080,53.287595,-7.562434
15664L,BALLINLOUGH,197012,53.7418858,-8.6335579
15676S,WICKLOW URBAN,257078,52.9791029,-6.0470416
15680J,ROXBOROUGH,127130,52.608145,-8.6249682
15685T,GLENAGOWER,127075,52.4607444,-9.285454
15692Q,BILBOA,127028,52.6344522,-8.2909257
15696B,KILMORE,217105,52.7918519,-8.2385927
15700M,KILMURRY,127097,52.5568918,-8.4059223
15701O,GORTROE,47168,52.0472686,-8.264921
15718I,COBH URBAN,47107,51.8543594,-8.2922231
15729N,RATHMULLAN,57129,55.0970707,-7.5363061
15763N,MOVILLE,57123,55.1890182,-7.0400533
15769C,MONASTEREVIN,87067,53.1402882,-7.0613585
15778D,NENAGH WEST URBAN,217136,52.8673887,-8.1988301
15781P,KNOCKREA A,48040,51.8930697,-8.43961
15795D,TEMPLEMORE,217156,52.7995058,-7.8298284
15796F,ANNAGHDOWN,67010,53.4104346,-8.9099312
15816I,BALLYBOUGH A,268009,53.357108,-6.247397
15835M,LOUGHREA URBAN,67170,53.1950198,-8.5608825
15847T,LETTERMACAWARD,57108,54.8475978,-8.3152964
15866A,SLIEVEMAHANAGH,157138,53.7047187,-9.5655382
15878H,BAURTREGAUM,77028,52.2394194,-9.8227867
15895H,DRUMCONDRA SOUTH A,268058,53.3692974,-6.2494655
15900U,AUGHRIM,67015,53.3037738,-8.315003
15903D,MONANIMY,47260,52.1465049,-8.5166811
15923J,HAMMERLANE,187045,53.1632,-7.2733
15933M,MARYMOUNT,107067,53.0046442,-7.5918418
15937U,MONASEED,247088,52.7153554,-6.4028275
15940J,TOMBRACK,247114,52.600363,-6.5510847
15945T,MOLAHIFFE,77138,52.170803,-9.5937842
15955W,ARAN,57003,54.9874345,-8.5350585
15957D,RATHANGAN,87079,53.2214115,-7.0023777
15958F,WOODFORD,67216,53.048244,-8.3934801
15960P,RINN,117070,53.8818034,-7.8171297
15962T,BALLINDAGGAN,247007,52.5681136,-6.6781047
15963V,GLEN,227042,52.3053613,-7.4959863
15967G,PONTOON,157130,53.9205497,-9.2570493
15970S,BALLYSHEEHAN,217025,52.585169,-7.8308807
15978L,GLANBEHY,77078,52.0572874,-9.9214112
15980V,MOORE,197090,53.3510748,-8.0611649
15981A,DRUMMAAN,37054,52.9532551,-8.3621416
15983E,BRACKNAGH,187014,53.2082262,-7.0941932
15995L,PEMBROKE EAST B,268111,53.336074,-6.2190642
15996N,BALLYNAGORAHER,157028,53.9841035,-9.3239353
15997P,EYRECOURT,67095,53.2015248,-8.1297857
16009H,BALLINLOUGH,197012,53.7485398,-8.6523689
16013V,EDENDERRY URBAN,187036,53.338417,-7.0592417
16014A,EMLAGH,77075,51.8354957,-10.171788
16021U,TOOMORE,157148,53.9807726,-9.113245
16023B,WHITEMOOR,247121,52.4281405,-6.8650871
16027J,STRATFORD,257068,52.9887547,-6.6725883
16034G,OGULLA,197093,53.7754263,-8.2429036
16044J,BALLINTOGHER WEST,207008,54.1929215,-8.4127367
16054M,CLONLEIGH SOUTH,57038,54.8424005,-7.5023677
16067V,ARDNAMULLAN,167005,53.4515329,-7.0231073
16070K,MOUNTMELLICK URBAN,107072,53.1135363,-7.3185284
16071M,ATHENRY,67013,53.3006276,-8.7470563
16072O,NEWBAWN,247092,52.3417151,-6.7945622
16077B,ARDFINNAN,217006,52.3094069,-7.8806197
16080N,TULLOW URBAN,17051,52.8032764,-6.7326985
16083T,VIRGINIA,27092,53.8354762,-7.075816
16087E,KEALKILL,47181,51.7486297,-9.37826
16092U,ATHLONE EAST RURAL,237004,53.4323017,-7.9390131
16093W,BALLYCONNELL,27006,54.1136857,-7.5819906
16108J,DUNAFF,57056,55.2679193,-7.4975613
16109L,BALLYCOTTIN,47023,51.8306849,-8.0161431
16111V,PEPPARDSTOWN,217143,52.4709774,-7.6967891
16112A,NENAGH WEST URBAN,217136,52.8659479,-8.2004099
16113C,SLIEVEMORE,157139,53.9619505,-10.015335
16118M,ROXBOROUGH,127130,52.6340842,-8.5891422
16121B,CLOONKEEN,67066,53.3227409,-8.6079972
16122D,KNOCK NORTH,157108,53.7924981,-8.9242235
16127N,ARTAGH SOUTH,197005,53.8079519,-8.6757714
16128P,MITCHELSTOWN,47258,52.2657965,-8.266128
16129R,KILMORE,177052,54.1914526,-6.9898609
16130C,KILLANUMMERY,117053,54.1942586,-8.3058646
16136O,CLIFFONY NORTH,207026,54.430589,-8.45309
16137Q,ROSNAKILL,57132,55.1813049,-7.6496754
16138S,RAPHOE,57127,54.8752469,-7.5981988
16140F,POWERSTOWN,97087,52.5908985,-6.9923585
16143L,DRUMCONDRA,167027,53.8515966,-6.6563416
16145P,GOREY URBAN,247053,52.6737562,-6.2899176
16159D,MALLOW NORTH URBAN,47324,52.1430181,-8.6429913
16160L,CAPPALOUGH,107023,53.1799128,-7.3730223
16166A,CARRIG,217043,53.0630448,-7.9715805
16170O,CARROWMORE,157047,54.0610429,-9.2115292
16173U,KILLEDAN,157099,53.898002,-8.9767661
16177F,BOTANIC C,268029,53.3649127,-6.2647431
16186G,KILCLOHER,37072,52.8230944,-9.0584502
16204F,MONEENROE,97076,52.8350506,-7.172877
16208N,TERMONFECKIN,147038,53.7581725,-6.2712171
16217O,BALLINVOHER,77012,52.1534608,-10.0486323
16230G,MUCKALEE,97079,52.7601228,-7.2409424
16237U,DROMTRASNA,127063,52.3662596,-9.249518
16239B,ABBEYFEALE,127001,52.3849983,-9.3013897
16246V,BANTRY URBAN,47042,51.67737,-9.4401248
16249E,BALLYMASCANLAN,147003,54.0162685,-6.322516
16250M,TEMPLETOUHY,217158,52.7874688,-7.7231704
16259H,BOULTEEN,47056,51.7220483,-8.8549308
16264A,ABBEYFEALE,127001,52.3861131,-9.3019287
16267G,DONABATE,267065,53.4936968,-6.1352971
16269K,CUILDOO,157067,53.9829199,-8.9580071
16271U,KNOCKRAHA,47229,52.0089791,-8.3427938
16276H,MONSEA,217129,52.8937827,-8.2518751
16279N,FANAD WEST,57065,55.1961996,-7.7272201
16281A,DUNURLIN,77074,52.16615,-10.40599
16283E,BALLINA URBAN,157016,54.1149482,-9.1550693
16286K,DURRUS WEST,47148,51.6222045,-9.5236502
16289Q,TUMGESH,157149,54.0028494,-8.9611539
16291D,KILGEFIN,197070,53.7160138,-8.1032167
16302F,BALLYSAX EAST,87008,53.122117,-6.830985
16304J,MILLTOWN,237054,53.4426539,-7.2481559
16311G,GRAIGUENAMANAGH,97048,52.5415402,-6.9555948
16316Q,ARVAGH,27002,53.9214697,-7.5798135
16332O,SKERRIES,267123,53.5783514,-6.1109148
16333Q,SKERRIES,267123,53.5783514,-6.1109148
16334S,BALLINTOBER,197013,53.7185895,-8.4094379
16335U,MOUNTRIVERS,47262,51.9805303,-8.8374256
16339F,MARDYKE,48045,51.8951579,-8.4958679
16340N,BALLYNAGORE,237014,53.4087944,-7.4605761
16344V,NENAGH WEST URBAN,217136,52.8673887,-8.1988301
16345A,NURNEY,87074,53.0949091,-6.9482711
16349I,KILLYGORDON,57098,54.7968309,-7.6835354
16352U,FOXROCK-CARRICKMINES,267088,53.2690826,-6.1692725
16353W,FOXROCK-CARRICKMINES,267088,53.2618045,-6.1623216
16357H,KILLYBEGS,57096,54.6347625,-8.4547084
16375J,EANYMORE,57061,54.669309,-8.2437191
16377N,COBH URBAN,47107,51.8545815,-8.2952252
16384K,ARAN,57003,54.9874345,-8.5350585
16390F,KILLASHANDRA,27057,54.0067667,-7.5261516
16396R,BOHERBOY,47055,52.1580452,-9.0720722
16406R,BENNETTSBRIDGE,97014,52.5921948,-7.1824403
16409A,BALLYGARRETT,247013,52.572274,-6.2270128
16410I,BALLINDERRY,67019,53.4485489,-8.8226624
16427C,CLOONOWN,197038,53.3662488,-7.9332688
16430O,PILLTOWN,97083,52.3872121,-7.3437392
16431Q,KILLANNY,147027,53.9645958,-6.5996852
16435B,BALLYCUMBER,187006,53.3251503,-7.7266902
16439J,CROOM,127054,52.5090517,-8.7474955
16443A,ABBEY D,128004,52.6641072,-8.6065096
16444C,ABBEY D,128004,52.6641072,-8.6065096
16445E,CASTLECOMER,97022,52.8050385,-7.21029
16456J,CAHERLAG,47064,51.9139625,-8.3418162
16458N,BONNYGLEN,57016,54.6529445,-8.2737608
16461C,NEWCASTLE,267107,53.3016274,-6.5270503
16464I,CASTLEBLAKENEY,67051,53.4323155,-8.4748316
16471F,ROSNAKILL,57132,55.2035141,-7.6857986
16474L,CARRIGALLEN EAST,117016,53.9772,-7.6458
16485Q,AGHAVILLER,97001,52.4700626,-7.2621364
16492N,EASKY WEST,207043,54.2753105,-9.0245613
16508C,BALLYVARRA,127027,52.6804585,-8.511954
16520P,BALLYHAISE,27007,54.0448168,-7.3191147
16549Q,PAINESTOWN,167071,53.6682138,-6.4994287
16562I,BALLINA RURAL,157015,54.1327434,-9.1950958
16566Q,CELBRIDGE,87023,53.3396477,-6.5399469
16573N,GREYSTONES,257039,53.1473522,-6.0635014
16577V,BOTANIC A,268027,53.3769985,-6.2753977
16596C,LOUGHREA URBAN,67170,53.2001482,-8.5709996
16603T,INVER,57091,54.6523501,-8.2893395
16608G,KILLYBEGS,57096,54.6362801,-8.4448404
16611S,GLENTOGHER,57079,55.2110806,-7.2606587
16617H,BALLYADAMS,107008,52.967437,-7.0792616
16618J,KILMEENA,157102,53.8421489,-9.5731232
