S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
03275H,Newtown,Meath,53.82030160000001,-6.6079867
03294L,Gort a Choirce,Donegal,55.1200955,-8.1332033
03359N,Ballyroan Road,Dublin,53.286341799999995,-6.2944062999999995
03607G,Leitrim,Galway,53.1399803,-8.4664135
03633H,Hospital Hill,Wexford,52.65508570000001,-6.652193
03704E,Main Street,Cork,52.2187977,-8.4759914
03787L,Walshestown,Louth,53.806039899999995,-6.307699700000001
03898U,Fountain,Clare,52.89031850000001,-9.034743800000001
03917V,Cambridge Road,Dublin,53.34339179999999,-6.2253548
03924S,Owenbeg,Sligo,54.286325,-8.9623692
03928D,Mullagh,Clare,52.7996527,-9.4200258
03936C,Coole,Westmeath,53.699260100000004,-7.3666546
04005G,Pouldine,Tipperary,52.6801064,-7.8044421
04054T,Ballindangan,Cork,52.236282,-8.336495
04062S,Ballybunion Road,Kerry,52.4486895,-9.4961491
04067F,Church Road,Tipperary,51.5897815,-2.9762642999999995
04075E,Moyglass,Tipperary,52.52775260000001,-7.7081838000000005
04077I,Grange,Carlow,52.837568000000005,-6.782155400000001
04118T,Leamlara,Cork,51.96986,-8.2639146
04152T,Knockavilla,Cork,51.8008055,-8.6848101
04186N,Berrings,Cork,51.9374329,-8.6974398
04210H,Kilmessan,Meath,53.5607122,-6.6626897
04230N,Ballincurrig,Cork,51.989210899999996,-8.228013
04442F,Kyle,Cork,51.9531544,-7.9419843
04466T,Manister,Limerick,52.45026,-8.74915
04469C,Feenagh,Limerick,52.390118799999996,-8.880106699999999
04487E,Achonry,Sligo,54.080115799999994,-8.6606961
04506F,Maree Road,Galway,53.264070600000004,-8.9309954
04515G,St Francis Street,Galway,53.275753,-9.053799699999999
04548V,Clonlara,Clare,52.72425260000001,-8.5543906
04578H,Ballyvongane,Cork,51.931982299999994,-8.8591582
04620D,Ardobireen,Tipperary,52.493409400000004,-8.019055900000001
04796R,Brackloon,Mayo,53.7545927,-9.5641037
04800F,Rooskey,Roscommon,53.8322125,-7.927312
