P-ID,S-ID,Closest School (km),Num Sec Schools < 5km
4418269,60010P,6.189344005975549,0.0
4448428,60010P,0.4688088392130125,4.0
4466084,60010P,0.43031185479617856,4.0
4454496,60010P,0.2466360245294189,4.0
4441619,60010P,6.292501140019742,0.0
4466796,60010P,0.6074531958304036,4.0
4465495,60010P,0.789266317050106,4.0
4436731,60010P,1.0845741415222463,4.0
4457528,60021U,1.4623479853314958,13.0
4468290,60021U,0.7464498771761796,11.0
4455810,60030V,0.35357183730675434,27.0
4448747,60041D,0.34078738457718977,33.0
4362906,60041D,0.17871041253640962,32.0
4445227,60042F,0.2633397973982963,36.0
4414362,60050E,0.27278758019499216,32.0
4455824,60050E,0.8548551489397809,26.0
4455036,60050E,0.8839838824913805,28.0
4460199,60050E,0.26061728423340397,30.0
4460161,60050E,0.3499137412533088,29.0
4465007,60050E,0.4140537088365626,28.0
4465715,60050E,0.4140537088365626,28.0
4450248,60070K,0.8118644779194912,25.0
4409386,60070K,0.5033062713004814,30.0
4457065,60070K,0.7645783300323644,25.0
4468354,60070K,0.5846054431476803,27.0
4444385,60070K,0.5033062713004814,30.0
4467495,60081P,1.3227485590922947,24.0
4420231,60081P,0.5568167954225092,25.0
4449602,60081P,1.1479059774538003,21.0
4415033,60081P,1.0909551733879321,21.0
4466971,60081P,0.9742064918572768,21.0
4452684,60081P,0.8439349675301372,20.0
4464470,60090Q,0.9551951797856648,17.0
4450020,60090Q,0.7571807323445325,9.0
4435022,60092U,0.9686072570063556,13.0
4419994,60092U,0.5259992698833594,21.0
4436042,60092U,1.0914187598283345,19.0
4462155,60092U,0.831027244168823,14.0
4434533,60092U,1.3830136328006055,14.0
4461220,60092U,0.6090315719546872,14.0
4459974,60092U,0.6185767870469768,16.0
4419839,60092U,0.920178642778868,14.0
4438594,60100Q,1.1830036316875667,11.0
4466093,60100Q,1.4924392774769812,18.0
4461713,60100Q,0.6848625067603709,13.0
4450595,60100Q,0.7189911646521772,12.0
4459989,60100Q,1.6739150658905235,11.0
4466780,60100Q,1.0294686234069583,11.0
4449001,60121B,5.264874504778921,0.0
4461818,60121B,6.9974588387424435,0.0
4428058,60121B,6.722167416187607,0.0
4444245,60121B,1.4584937910609783,5.0
4457691,60121B,5.803784818936063,0.0
4409284,60121B,4.115624073443079,2.0
4433775,60121B,0.8109870797744599,11.0
4463938,60121B,4.8174806426763945,2.0
4258602,60121B,4.944170294197215,1.0
