id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
23142,BALLYPHILIP,448,-12.57468417,20.90191597,3.48147655,22.54464286
23143,BUOLICK,621,-14.51413986,16.79276288,15.54242785,25.44283414
23144,CROHANE,254,-4.74054956,9.5890411,0.00E+00,37.79527559
23145,FARRANRORY,482,-16.35839555,25.756546,15.18369647,30.91286307
23146,FENNOR,511,-7.50274651,9.05035457,1.05768335,36.00782779
23147,KILCOOLY,312,-5.69382032,10,1.9047619,40.06410256
23148,KILVEMNON,429,-4.98404742,12.19512195,1.42857143,36.13053613
23149,MODESHIL,346,-8.17721882,13.54166667,2.63157895,37.28323699
23150,MULLINAHONE,859,-14.33882489,23.72063398,16.18046284,23.28288708
23151,NEW BIRMINGHAM,432,-14.91518033,25.55304173,19.51154053,20.83333333
23152,POYNTSTOWN,176,-12.85511033,23.80952381,11.26760563,27.27272727
23153,BALLYCARRON,337,-5.10926827,8.10810811,0.00E+00,39.46587537
23154,BALLYGRIFFIN,258,-6.18679346,11.76470588,2.29885057,35.65891473
23155,BALLYKISTEEN,761,-7.46170821,15.03700365,6.00381779,32.32588699
23156,BANSHA,845,-9.7537425,14.65640237,9.44931853,32.78106509
23157,BRUIS,329,-4.16154872,9.1954023,0.91743119,39.81762918
23158,CAPPAGH,875,-8.2095189,13.33358946,10.2367207,32
23159,CLONBEG,734,-3.43279244,11.55294184,4.57610458,41.28065395
23160,CULLEN,289,-8.44844775,14.1025641,4.95049505,31.48788927
23161,CURRAHEEN,288,-5.66470073,7.95454545,1.88679245,37.5
23162,DONOHILL,636,-6.63101229,10.52452211,3.23184677,33.80503145
23163,DRUMWOOD,578,-2.71700159,8.91247968,1.06382979,35.98615917
23164,EMLY,664,-9.94717016,16.98640015,12.0587196,33.13253012
23165,GLENGAR,258,-7.70356876,16.04938272,2.29885057,34.49612403
