p_id,sale_price,property_type,beds,baths,area_sqm,routing_key,ber_rating,ber_energy,sec_school_distance,no_of_sec_schools_5k,pri_scholl_distance,no_of_pri_schools_5k,garda_distance,no_of_garda_5k,ann_mean_crime_0,total_crime_0,ann_mean_crime_1,total_crime_1,ann_mean_crime_2,total_crime_2,ann_mean_crime_3,total_crime_3,ann_mean_crime_4,total_crime_4,ann_mean_crime_5,total_crime_5,ann_mean_crime_6,total_crime_6,ann_mean_crime_7,total_crime_7,ann_mean_crime_8,total_crime_8,ann_mean_crime_9,total_crime_9,ann_mean_crime_10,total_crime_10,ann_mean_crime_11,total_crime_11,ed_english,pop_2016,hpindex_2016,ed_high,hl_prof,larent,unemployment,county,schoolrank,houses_sold,max_sale_price,min_sale_price,mean_sale_price,median_sale_price
4362906,875000.0,,3.0,2.0,208.0,,Ex,,0.17871043775244289,32.0,0.2961177891463855,63.0,1.6873508793402068,6.0,60.92,731.0,279.67,3356.0,75.33,904.0,195.75,2349.0,49.67,596.0,49.42,593.0,0.25,3.0,14.58,175.0,242.42,2909.0,17.33,208.0,560.33,6724.0,11.5,138.0,BLACKROCK-BOOTERSTOWN,3436.0,12.87474956,77.08876647,65.54132712,0.82864685,4.84214718,Dublin,16.0,29.0,1150000.0,100000.0,539325.2793103448,440000.0
4452916,375000.0,Apartment ,2.0,1.0,62.0,D04,D2,292.11,0.8023159915242835,43.0,0.3640477770522577,95.0,0.3468837746065306,11.0,36.0,432.0,248.83,2986.0,50.75,609.0,206.83,2482.0,32.0,384.0,29.17,350.0,1.42,17.0,14.67,176.0,175.0,2100.0,15.42,185.0,576.17,6914.0,11.25,135.0,PEMBROKE EAST A,5078.0,-2.49667919,41.10521515,34.52146514,25.12099034,14.45859376,Dublin,491.0,56.0,1275000.0,150445.0,410816.23214285716,376000.0
4443054,385000.0,End of Terrace House ,7.0,5.0,305.0,R95,Ex,,0.15520748833764414,5.0,0.07404273835334323,11.0,0.2921781778010944,1.0,198.5,2382.0,249.58,2995.0,205.0,2460.0,250.5,3006.0,140.58,1687.0,46.25,555.0,0.58,7.0,63.58,763.0,805.33,9664.0,8.25,99.0,688.58,8263.0,19.58,235.0,,,,,,,,Kilkenny,198.0,12.0,220000.0,72000.0,135291.66666666666,128750.0
4448470,425000.0,Apartment ,3.0,2.0,95.0,D16,B2,,1.085145722587763,24.0,0.2918567198922273,50.0,2.0364353559583708,3.0,91.5,1098.0,477.25,5727.0,198.42,2381.0,422.08,5065.0,83.58,1003.0,75.58,907.0,0.75,9.0,30.33,364.0,304.5,3654.0,29.25,351.0,1195.75,14349.0,17.67,212.0,BALLINTEER-BROADFORD,2537.0,0.57264487,41.27868658,47.73354356,0.51857798,8.03098727,Dublin,61.0,21.0,752000.0,270000.0,460300.95238095237,440000.0
4436719,365000.0,Semi-Detached House ,3.0,2.0,,D09,,,0.7522022514475352,25.0,0.6165869137291131,104.0,0.3937747921319696,12.0,117.92,1415.0,309.25,3711.0,93.92,1127.0,386.25,4635.0,124.83,1498.0,51.17,614.0,0.92,11.0,24.58,295.0,307.58,3691.0,57.83,694.0,933.17,11198.0,21.25,255.0,BALLYGALL C,3521.0,-2.92823418,32.74957596,42.26072139,3.41802461,8.54647564,Dublin,269.0,14.0,537000.0,100000.0,363321.4285714286,365000.0
4432167,140000.0,Terraced House ,3.0,1.0,93.0,R32,D1,227.55,0.4921036281271063,1.0,1.497841306454584,4.0,1.5542807140233483,1.0,38.5,462.0,74.17,890.0,32.17,386.0,72.25,867.0,30.17,362.0,8.58,103.0,0.33,4.0,8.42,101.0,66.75,801.0,3.42,41.0,136.92,1643.0,6.83,82.0,PORTARLINGTON SOUTH,7138.0,-7.43921246,29.22448068,29.81227235,11.65845262,16.83321989,Laois,371.0,34.0,251000.0,35242.0,134327.21588235293,134296.67
4463026,299000.0,Detached House ,4.0,3.0,113.0,Y14,C1,,1.4520515117660615,2.0,0.7663453343200843,6.0,1.7571308132986705,1.0,76.25,915.0,100.67,1208.0,97.33,1168.0,130.17,1562.0,48.17,578.0,16.25,195.0,0.5,6.0,61.33,736.0,186.08,2233.0,6.0,72.0,240.25,2883.0,13.67,164.0,,,,,,,,Wicklow,438.0,15.0,230000.0,160500.0,192882.33333333334,189935.0
4450643,175000.0,Apartment ,3.0,1.0,72.0,D09,C3,,1.3042914219275623,24.0,0.17057488444787436,98.0,0.058630041084556765,10.0,165.17,1982.0,160.0,1920.0,214.17,2570.0,432.75,5193.0,84.25,1011.0,25.5,306.0,1.25,15.0,33.92,407.0,313.67,3764.0,44.92,539.0,567.92,6815.0,48.58,583.0,BALLYMUN D,2458.0,-21.03420056,13.82605959,11.18795769,59.30750168,36.13518206,Dublin,269.0,13.0,240000.0,65000.0,168933.76923076922,164435.0
4457488,185000.0,Apartment ,3.0,2.0,85.0,R95,C1,197.19,0.7265268465319703,5.0,0.26624306181964946,11.0,0.9703560344897116,1.0,198.5,2382.0,249.58,2995.0,205.0,2460.0,250.5,3006.0,140.58,1687.0,46.25,555.0,0.58,7.0,63.58,763.0,805.33,9664.0,8.25,99.0,688.58,8263.0,19.58,235.0,,,,,,,,Donegal,198.0,19.0,700000.0,51169.0,221706.57894736843,170000.0
4451990,175000.0,Apartment ,2.0,2.0,78.0,R95,C3,204.09,0.8364193242140987,5.0,0.1490435051682996,11.0,1.085511770276016,1.0,198.5,2382.0,249.58,2995.0,205.0,2460.0,250.5,3006.0,140.58,1687.0,46.25,555.0,0.58,7.0,63.58,763.0,805.33,9664.0,8.25,99.0,688.58,8263.0,19.58,235.0,,,,,,,,Donegal,198.0,19.0,700000.0,51169.0,221706.57894736843,170000.0
4465874,495000.0,Semi-Detached House ,5.0,2.0,171.0,D11,G,511.11,0.7018173119104836,20.0,0.8785680584763598,76.0,1.3511618672860446,7.0,165.17,1982.0,160.0,1920.0,214.17,2570.0,432.75,5193.0,84.25,1011.0,25.5,306.0,1.25,15.0,33.92,407.0,313.67,3764.0,44.92,539.0,567.92,6815.0,48.58,583.0,BALLYGALL B,1887.0,-8.45210886,23.37540582,28.77583466,10.29858822,11.97396265,Dublin,,25.0,460000.0,225000.0,332925.5768,350000.0
4454631,295000.0,Bungalow ,3.0,1.0,91.0,R14,E1,335.63,9.68218637989937,0.0,3.861352158273294,2.0,4.6096283117146974,1.0,9.58,115.0,37.0,444.0,3.33,40.0,20.67,248.0,9.08,109.0,1.08,13.0,0.08,1.0,1.08,13.0,4.92,59.0,2.17,26.0,41.58,499.0,0.92,11.0,MOONE,487.0,-1.79235117,31.41025641,41.27310062,0.62893082,9.28571429,Kildare,327.0,5.0,650000.0,30000.0,335990.0,349950.0
4460922,139000.0,Detached House ,3.0,1.0,110.0,N41,C3,,32.873301563694376,0.0,5.9216370459266745,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavan,90.0,10.0,275000.0,27500.0,123755.0,119750.0
4420206,250000.0,Bungalow ,3.0,1.0,162.0,E41,D1,,3.5097646894157415,1.0,2.4989837055222988,6.0,3.2634920711858033,1.0,19.92,239.0,19.33,232.0,8.67,104.0,29.58,355.0,13.83,166.0,3.33,40.0,0.0,0.0,6.5,78.0,63.75,765.0,0.67,8.0,44.25,531.0,2.75,33.0,,,,,,,,Tipperary,391.0,,,,,
4445981,450000.0,Detached House ,4.0,4.0,187.0,P72,A2,,3.9558414044724284,3.0,1.7828294187231453,7.0,4.3509119416963635,1.0,44.83,538.0,28.17,338.0,58.67,704.0,52.33,628.0,45.25,543.0,14.42,173.0,0.25,3.0,26.75,321.0,175.0,2100.0,1.17,14.0,98.75,1185.0,5.92,71.0,KILBROGAN,2385.0,3.13929043,39.47002964,41.50943396,7.50355089,7.19612455,Cork,,2.0,325000.0,123000.0,224000.0,224000.0
4465945,0.0,Semi-Detached House ,,,,R45,A3,,0.3800566353730563,1.0,0.4631196282094171,5.0,0.6671687577431016,1.0,38.08,457.0,63.58,763.0,22.33,268.0,65.0,780.0,22.83,274.0,6.58,79.0,0.25,3.0,7.67,92.0,60.08,721.0,2.58,31.0,93.92,1127.0,5.75,69.0,EDENDERRY URBAN,7001.0,-13.2574146,17.94655067,19.34009427,12.45103906,20.92607932,Offaly,211.0,41.0,391000.0,45000.0,155136.43902439025,145000.0
4458713,13000.0,Site ,,,,P14,,,11.97120053121616,0.0,1.6535044429388728,4.0,0.2439819947430708,1.0,10.42,125.0,10.5,126.0,7.33,88.0,9.33,112.0,8.42,101.0,1.67,20.0,0.08,1.0,0.75,9.0,6.83,82.0,0.0,0.0,23.5,282.0,0.92,11.0,MOVIDDY,1419.0,1.79492667,37.32754565,44.89076815,6.48530064,7.25566999,Cork,70.0,5.0,430000.0,96000.0,348100.0,397000.0
4465994,32000.0,Site ,,,,R95,,,3.8423864446911002,4.0,3.785403416330135,7.0,4.185524553211799,1.0,198.5,2382.0,249.58,2995.0,205.0,2460.0,250.5,3006.0,140.58,1687.0,46.25,555.0,0.58,7.0,63.58,763.0,805.33,9664.0,8.25,99.0,688.58,8263.0,19.58,235.0,,,,,,,,Kilkenny,,23.0,410000.0,60000.0,243326.08695652173,270000.0
4442344,240000.0,Detached House ,3.0,2.0,110.0,P36,F,440.15,21.400244672760774,0.0,0.09925068527803152,5.0,0.817697907953265,1.0,37.67,452.0,37.25,447.0,39.75,477.0,89.33,1072.0,27.42,329.0,10.0,120.0,0.0,0.0,9.75,117.0,98.58,1183.0,1.17,14.0,99.0,1188.0,3.92,47.0,YOUGHAL URBAN,7075.0,-12.23572486,24.3912568,25.46996466,14.65613077,24.15147375,Cork,435.0,36.0,440000.0,21000.0,173483.16666666666,150000.0
4463548,80000.0,Detached House ,2.0,1.0,,,,,40.250587824496336,0.0,3.8745937871378233,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ADRIGOLE,452.0,-7.42327021,24.09891756,27.87610619,0.0,11.30931763,Cork,294.0,3.0,190000.0,87500.0,134166.66666666666,125000.0
4421491,325000.0,Bungalow ,3.0,2.0,163.0,E91,C3,214.51,1.89298521099601,3.0,1.8129102095366687,12.0,2.413839756965922,1.0,94.92,1139.0,105.17,1262.0,148.67,1784.0,169.25,2031.0,85.08,1021.0,17.33,208.0,0.83,10.0,31.17,374.0,322.17,3866.0,8.17,98.0,292.83,3514.0,28.58,343.0,CLONMEL EAST URBAN,3963.0,-7.46417496,31.37723234,28.99318698,9.6639391,17.35199405,Tipperary,166.0,7.0,540000.0,160000.0,275428.5714285714,225000.0
4468442,350000.0,Bungalow ,3.0,2.0,120.0,R95,B3,148.25,1.2673592558169893,5.0,0.9538627509676804,11.0,2.250396042897572,1.0,198.5,2382.0,249.58,2995.0,205.0,2460.0,250.5,3006.0,140.58,1687.0,46.25,555.0,0.58,7.0,63.58,763.0,805.33,9664.0,8.25,99.0,688.58,8263.0,19.58,235.0,KILKENNY RURAL,17876.0,-1.70035477,40.90410013,38.91810248,11.09163188,14.02889381,Kilkenny,66.0,52.0,390000.0,83681.0,190493.57692307694,186000.0
