G-ID,Station,Division
20675,Cavan, Cavan/Monaghan Division
20142,Celbridge, Kildare Division
20582,Charlestown, Mayo Division
20322,Charleville, Cork North Division
20506,Cill Ronain, Galway Division
20143,Clane, Kildare Division
20135,Clara, Laois/Offaly Division
20572,Claremorris, Mayo Division
20483,Clifden, Galway Division
20489,Cloch na Ron, Galway Division
20127,Cloghan, Laois/Offaly Division
20263,Clogheen, Tipperary Division
20650,Clogher, Donegal Division
2049,Clogherhead, Louth Division
20352,Clonakilty, Cork West Division
20528,Clonark, Roscommon/Longford Division
20116,Clonaslee, Laois/Offaly Division
20136,Clonbologue, Laois/Offaly Division
2012,Clondalkin, D.M.R. Western Division
20663,Clones, Cavan/Monaghan Division
20631,Clonmany, Donegal Division
20251,Clonmel, Tipperary Division
20191,Clonroche, Wexford Division
2027,Clontarf, D.M.R. Northern Division
20267,Cloughjordan, Tipperary Division
20329,Cloyne, Cork North Division
20363,Coachford, Cork West Division
20306,Cobh, Cork North Division
2080,Collon, Louth Division
20593,Collooney, Sligo/Leitrim Division
20577,Cong, Mayo Division
20627,Convoy, Donegal Division
20595,Coolaney, Sligo/Leitrim Division
2023,Coolock, D.M.R. Northern Division
20688,Cootehill, Cavan/Monaghan Division
20470,Corofin, Clare Division
20549,Corofin, Galway Division
20182,Courtown Harbour, Wexford Division
20509,Craughwell, Galway Division
20519,Creggs, Galway Division
20366,Crookstown, Cork West Division
20426,Croom, Limerick Division
20296,Crosshaven, Cork City Division
20558,Crossmolina, Mayo Division
207,Crumlin, D.M.R. Southern Division
20448,Crusheen, Clare Division
20137,Daingean, Laois/Offaly Division
2088,Delvin, Westmeath Division
20381,Dingle, Kerry Division
20268,Dolla, Tipperary Division
20658,Donegal Town, Donegal Division
20323,Doneraile, Cork North Division
205,Donnybrook, D.M.R. South Central Division
20294,Douglas, Cork City Division
20617,Dowra, Cavan/Monaghan Division
20350,Drimoleague, Cork West Division
20359,Drinagh, Cork West Division
2047,Drogheda, Louth Division
2055,Drumad, Louth Division
20327,Drumcollogher, Limerick Division
2097,Drumlish, Roscommon/Longford Division
20608,Drumshambo, Sligo/Leitrim Division
2022,Dublin Airport, D.M.R. Northern Division
2081,Duleek, Meath Division
20641,Dun Fionnachaid, Donegal Division
203,Dun Laoghaire, D.M.R. Eastern Division
2065,Dunboyne, Meath Division
20195,Duncannon, Wexford Division
2052,Dundalk, Louth Division
2045,Dundrum, D.M.R. Eastern Division
20213,Dungarvan, Waterford Division
20164,Dunlavin, Wicklow Division
2050,Dunleer, Louth Division
20358,Dunmanway, Cork West Division
20207,Dunmore East, Waterford Division
20548,Dunmore, Galway Division
2067,Dunshaughlin, Meath Division
20119,Durrow, Laois/Offaly Division
20348,Durrus, Cork West Division
