P-ID,S-ID,Closest Sec School (km),Num Sec Schools < 5km,PrS-ID,Closest Pri School (km),Num Pri Schools < 5km
4453658,60010P,4.914472440797127,1.0,20307O,0.2506112438950776,12.0
4468771,60010P,0.8195049682898708,4.0,16970A,0.41279240187242094,10.0
4422056,60010P,4.488053504709978,2.0,20307O,0.1905881518075393,13.0
4421974,60010P,4.488053504709978,2.0,20307O,0.1905881518075393,13.0
4451013,60010P,4.508935822360596,2.0,20307O,0.16876807294258012,12.0
4403461,60010P,4.31966182684934,2.0,20307O,0.43154221823811423,14.0
4425166,60010P,6.413253462840885,0.0,15569R,0.08885199013869191,7.0
4430233,60010P,0.7411198612514286,4.0,16970A,0.24697798504291965,10.0
4467845,60010P,0.24678017096371402,4.0,16972E,0.31375515462004067,11.0
4467944,60010P,1.0589491509150861,4.0,20202A,0.603646863469005,10.0
4467285,60010P,0.22200557137356847,4.0,16972E,0.3141792554907974,11.0
4466084,60010P,0.4304992463635064,4.0,16970A,0.42772258794947265,11.0
4466796,60010P,0.607600087953844,4.0,16972E,0.40084055028566284,11.0
4451459,60010P,1.5123895061160613,3.0,20282B,0.1763588228843694,14.0
4465495,60010P,0.7893797301019627,4.0,16970A,0.37322346682654983,10.0
4454019,60010P,4.255424428879624,2.0,20307O,0.45183749036151816,14.0
4413019,60010P,5.893960241351753,0.0,16332O,0.3564403980992368,11.0
4464173,60010P,0.7425667235524477,4.0,16970A,0.25987572721957236,10.0
4462493,60010P,5.094487884021606,0.0,20307O,0.4453653956846287,12.0
4462067,60010P,0.6089948112443037,4.0,16970A,0.4570702433323538,10.0
4415865,60010P,6.253972913999184,0.0,14180H,0.17680654744427537,7.0
4243362,60010P,6.150245616487605,0.0,14180H,0.21824229810921658,8.0
4360756,60010P,2.1319636388026635,3.0,20252P,0.7136517283878734,16.0
4461107,60010P,0.26115538987939485,4.0,16972E,0.39078059144508226,11.0
4444084,60010P,5.198471068351419,0.0,19625V,0.37615805631533944,12.0
4459661,60010P,0.36423419054339207,4.0,16970A,0.14022378064300542,10.0
4345505,60010P,6.399303208799356,0.0,15569R,0.0911212126472528,7.0
4294758,60010P,5.237940054758594,0.0,19625V,0.34860898927658857,12.0
4354420,60010P,0.5052663925222668,4.0,16972E,0.577157296805969,11.0
4412600,60010P,6.0162824930684256,0.0,16332O,0.22817638319880484,10.0
4364028,60010P,6.325439069699312,0.0,16332O,0.30819787087315403,8.0
4441646,60010P,4.774346548855382,1.0,20307O,0.17500342735024557,12.0
4380561,60010P,6.270374308581758,0.0,16332O,0.08115661714997423,7.0
4454496,60010P,0.24656657606254861,4.0,16972E,0.33252098372764616,11.0
4418269,60010P,6.1892682980052385,0.0,14180H,0.14385873348467307,8.0
4449652,60010P,0.2662767705588615,4.0,16972E,0.28757288620265387,11.0
4448428,60010P,0.46891039996089945,4.0,16970A,0.16522608303192102,10.0
4448144,60010P,4.957203960930495,1.0,20307O,0.4685053792937788,12.0
4447947,60010P,0.24128310611579046,4.0,16972E,0.342526320330172,11.0
4447195,60010P,0.3116732470551912,4.0,16970A,0.34927506697695365,11.0
4447068,60010P,4.638827178313212,1.0,20307O,0.08434994373739364,11.0
4446444,60010P,1.0587489164082478,3.0,19515O,0.23294687462954997,12.0
4425002,60010P,1.2542459209491468,3.0,19515O,0.10129041723316308,14.0
4345871,60010P,4.31966182684934,2.0,20307O,0.43154221823811423,14.0
4441619,60010P,6.292501140019741,0.0,16332O,0.18458915608455906,8.0
4403252,60010P,4.31966182684934,2.0,20307O,0.43154221823811423,14.0
4437856,60010P,0.4866655695911227,4.0,16972E,0.3652642638663243,11.0
4437397,60010P,0.49808544198723614,4.0,16970A,0.46725523202487207,11.0
4437288,60010P,0.8326813175834591,4.0,16972E,0.3236590939842279,12.0
4436731,60010P,1.084663839745616,4.0,16970A,0.6017933650829687,10.0
4380126,60010P,0.7496920002165306,4.0,16970A,0.5866656894143999,10.0
4430886,60010P,0.9924312802531926,3.0,19515O,0.35486701951244853,12.0
4380031,60010P,0.7773693616186201,4.0,16970A,0.5686555410715418,10.0
4426670,60010P,6.2720918999073065,0.0,14180H,0.11428030279009865,7.0
4422533,60010P,0.18212511601341824,4.0,16970A,0.333853015905644,11.0
4417642,60010P,0.7938629971346264,4.0,20202A,0.5745790897543699,10.0
4456604,60021U,1.266980521849634,11.0,16759E,0.8596663682935942,44.0
4460768,60021U,0.9515998198520159,11.0,20437E,0.6514381280752368,42.0
4466365,60021U,2.829997756370912,6.0,10296G,0.08887247684401518,33.0
4467745,60021U,0.3361537523046536,10.0,20437E,0.23620436372422338,41.0
4468372,60021U,0.2284932206107487,9.0,20437E,0.2084358061639739,38.0
4467926,60021U,1.0121776220173626,11.0,20437E,0.6497966131551938,43.0
4467527,60021U,1.5319493089021388,13.0,19393D,0.03276339007577266,52.0
4467479,60021U,1.2133096388632914,11.0,20437E,0.8737491685925731,43.0
4466848,60021U,1.1332105274605868,11.0,20437E,0.839003094367472,43.0
4419604,60021U,1.3481660306624146,13.0,19393D,0.24268907857247898,48.0
4466598,60021U,1.0990687888301793,11.0,20437E,0.8137551736807248,43.0
4466095,60021U,1.0232964112498382,11.0,20437E,0.7556124692546393,42.0
4465082,60021U,0.7370122039434698,11.0,20437E,0.38487008123580196,43.0
4462691,60021U,1.3575691760693809,11.0,16759E,0.7997233306210965,48.0
4462942,60021U,0.24958548804547234,9.0,20437E,0.31694326764052516,39.0
4434680,60021U,0.9178772794390196,11.0,20437E,0.5256012391303281,45.0
