G-ID,Crime,Total (2004 to 2015)
20184,Controlled drug offences,51
20184,Damage to property and to the environment,160
20184,Dangerous or negligent acts,58
20184,"Fraud, deception and related offences",16
20184,Kidnapping and related offences,1
20184,"Offences against government, justice procedures and organisation of crime",4
20184,Public order and other social code offences,88
20184,"Robbery, extortion and hijacking offences",7
20184,Theft and related offences,290
20184,Weapons and Explosives Offences,15
20185,"Attempts or threats to murder, assaults, harassments and related offences",881
20185,Burglary and related offences,1281
20185,Controlled drug offences,726
20185,Damage to property and to the environment,1820
20185,Dangerous or negligent acts,803
20185,"Fraud, deception and related offences",279
20185,Kidnapping and related offences,1
20185,"Offences against government, justice procedures and organisation of crime",236
20185,Public order and other social code offences,2508
20185,"Robbery, extortion and hijacking offences",39
20185,Theft and related offences,2746
20185,Weapons and Explosives Offences,90
20186,"Attempts or threats to murder, assaults, harassments and related offences",68
20186,Burglary and related offences,279
20186,Controlled drug offences,80
20186,Damage to property and to the environment,214
20186,Dangerous or negligent acts,89
20186,"Fraud, deception and related offences",27
20186,Kidnapping and related offences,2
20186,"Offences against government, justice procedures and organisation of crime",10
20186,Public order and other social code offences,97
20186,"Robbery, extortion and hijacking offences",5
20186,Theft and related offences,467
20186,Weapons and Explosives Offences,15
20187,"Attempts or threats to murder, assaults, harassments and related offences",90
20187,Burglary and related offences,285
20187,Controlled drug offences,36
20187,Damage to property and to the environment,212
20187,Dangerous or negligent acts,81
20187,"Fraud, deception and related offences",24
20187,Kidnapping and related offences,3
20187,"Offences against government, justice procedures and organisation of crime",15
20187,Public order and other social code offences,172
20187,"Robbery, extortion and hijacking offences",3
20187,Theft and related offences,436
20187,Weapons and Explosives Offences,7
20189,"Attempts or threats to murder, assaults, harassments and related offences",52
20189,Burglary and related offences,171
20189,Controlled drug offences,37
20189,Damage to property and to the environment,101
20189,Dangerous or negligent acts,95
20189,"Fraud, deception and related offences",5
20189,Kidnapping and related offences,0
20189,"Offences against government, justice procedures and organisation of crime",4
20189,Public order and other social code offences,79
20189,"Robbery, extortion and hijacking offences",1
20189,Theft and related offences,190
20189,Weapons and Explosives Offences,8
20190,"Attempts or threats to murder, assaults, harassments and related offences",83
20190,Burglary and related offences,181
20190,Controlled drug offences,25
20190,Damage to property and to the environment,132
20190,Dangerous or negligent acts,63
20190,"Fraud, deception and related offences",16
20190,Kidnapping and related offences,0
20190,"Offences against government, justice procedures and organisation of crime",5
20190,Public order and other social code offences,58
20190,"Robbery, extortion and hijacking offences",3
20190,Theft and related offences,245
20190,Weapons and Explosives Offences,8
20191,"Attempts or threats to murder, assaults, harassments and related offences",77
20191,Burglary and related offences,211
20191,Controlled drug offences,47
20191,Damage to property and to the environment,163
20191,Dangerous or negligent acts,58
20191,"Fraud, deception and related offences",29
20191,Kidnapping and related offences,1
20191,"Offences against government, justice procedures and organisation of crime",12
20191,Public order and other social code offences,69
20191,"Robbery, extortion and hijacking offences",1
20191,Theft and related offences,312
20191,Weapons and Explosives Offences,9
20192,"Attempts or threats to murder, assaults, harassments and related offences",698
20192,Burglary and related offences,986
20192,Controlled drug offences,511
20192,Damage to property and to the environment,1215
20192,Dangerous or negligent acts,563
20192,"Fraud, deception and related offences",157
20192,Kidnapping and related offences,3
20192,"Offences against government, justice procedures and organisation of crime",134
20192,Public order and other social code offences,1747
20192,"Robbery, extortion and hijacking offences",26
20192,Theft and related offences,1748
20192,Weapons and Explosives Offences,82
20193,"Attempts or threats to murder, assaults, harassments and related offences",50
20193,Burglary and related offences,122
20193,Controlled drug offences,63
20193,Damage to property and to the environment,122
20193,Dangerous or negligent acts,48
20193,"Fraud, deception and related offences",6
20193,Kidnapping and related offences,0
20193,"Offences against government, justice procedures and organisation of crime",7
20193,Public order and other social code offences,44
20193,"Robbery, extortion and hijacking offences",0
20193,Theft and related offences,158
20193,Weapons and Explosives Offences,13
20194,"Attempts or threats to murder, assaults, harassments and related offences",112
20194,Burglary and related offences,183
20194,Controlled drug offences,65
20194,Damage to property and to the environment,140
20194,Dangerous or negligent acts,109
20194,"Fraud, deception and related offences",12
20194,Kidnapping and related offences,0
20194,"Offences against government, justice procedures and organisation of crime",7
20194,Public order and other social code offences,94
20194,"Robbery, extortion and hijacking offences",2
20194,Theft and related offences,235
20194,Weapons and Explosives Offences,30
20195,"Attempts or threats to murder, assaults, harassments and related offences",117
20195,Burglary and related offences,281
20195,Controlled drug offences,82
20195,Damage to property and to the environment,182
20195,Dangerous or negligent acts,71
20195,"Fraud, deception and related offences",18
20195,Kidnapping and related offences,0
20195,"Offences against government, justice procedures and organisation of crime",17
20195,Public order and other social code offences,91
20195,"Robbery, extortion and hijacking offences",4
20195,Theft and related offences,390
20195,Weapons and Explosives Offences,8
20197,"Attempts or threats to murder, assaults, harassments and related offences",82
20197,Burglary and related offences,234
20197,Controlled drug offences,54
20197,Damage to property and to the environment,142
20197,Dangerous or negligent acts,117
20197,"Fraud, deception and related offences",13
20197,Kidnapping and related offences,0
20197,"Offences against government, justice procedures and organisation of crime",5
20197,Public order and other social code offences,97
20197,"Robbery, extortion and hijacking offences",1
20197,Theft and related offences,327
20197,Weapons and Explosives Offences,11
20198,"Attempts or threats to murder, assaults, harassments and related offences",60
20198,Burglary and related offences,91
20198,Controlled drug offences,40
20198,Damage to property and to the environment,81
20198,Dangerous or negligent acts,44
20198,"Fraud, deception and related offences",7
20198,Kidnapping and related offences,0
20198,"Offences against government, justice procedures and organisation of crime",4
20198,Public order and other social code offences,59
20198,"Robbery, extortion and hijacking offences",1
20198,Theft and related offences,132
20198,Weapons and Explosives Offences,6
20199,"Attempts or threats to murder, assaults, harassments and related offences",841
20199,Burglary and related offences,1137
20199,Controlled drug offences,881
20199,Damage to property and to the environment,1404
20199,Dangerous or negligent acts,664
20199,"Fraud, deception and related offences",284
20199,Kidnapping and related offences,4
20199,"Offences against government, justice procedures and organisation of crime",287
20199,Public order and other social code offences,2442
20199,"Robbery, extortion and hijacking offences",38
20199,Theft and related offences,2667
20199,Weapons and Explosives Offences,176
20200,"Attempts or threats to murder, assaults, harassments and related offences",185
20200,Burglary and related offences,398
20200,Controlled drug offences,429
20200,Damage to property and to the environment,313
20200,Dangerous or negligent acts,284
20200,"Fraud, deception and related offences",49
20200,Kidnapping and related offences,1
20200,"Offences against government, justice procedures and organisation of crime",22
20200,Public order and other social code offences,260
20200,"Robbery, extortion and hijacking offences",8
20200,Theft and related offences,804
20200,Weapons and Explosives Offences,61
20201,"Attempts or threats to murder, assaults, harassments and related offences",155
20201,Burglary and related offences,405
20201,Controlled drug offences,156
20201,Damage to property and to the environment,424
20201,Dangerous or negligent acts,134
20201,"Fraud, deception and related offences",29
20201,Kidnapping and related offences,0
20201,"Offences against government, justice procedures and organisation of crime",14
20201,Public order and other social code offences,222
20201,"Robbery, extortion and hijacking offences",21
20201,Theft and related offences,942
20201,Weapons and Explosives Offences,39
20202,"Attempts or threats to murder, assaults, harassments and related offences",186
20202,Burglary and related offences,612
20202,Controlled drug offences,180
20202,Damage to property and to the environment,398
20202,Dangerous or negligent acts,134
20202,"Fraud, deception and related offences",39
20202,Kidnapping and related offences,0
20202,"Offences against government, justice procedures and organisation of crime",28
20202,Public order and other social code offences,240
20202,"Robbery, extortion and hijacking offences",14
20202,Theft and related offences,665
20202,Weapons and Explosives Offences,45
20203,"Attempts or threats to murder, assaults, harassments and related offences",59
20203,Burglary and related offences,160
20203,Controlled drug offences,53
20203,Damage to property and to the environment,107
20203,Dangerous or negligent acts,60
20203,"Fraud, deception and related offences",5
20203,Kidnapping and related offences,0
20203,"Offences against government, justice procedures and organisation of crime",8
20203,Public order and other social code offences,64
20203,"Robbery, extortion and hijacking offences",2
20203,Theft and related offences,217
20203,Weapons and Explosives Offences,7
20204,"Attempts or threats to murder, assaults, harassments and related offences",90
20204,Burglary and related offences,222
20204,Controlled drug offences,254
20204,Damage to property and to the environment,302
20204,Dangerous or negligent acts,63
20204,"Fraud, deception and related offences",17
20204,Kidnapping and related offences,0
20204,"Offences against government, justice procedures and organisation of crime",5
20204,Public order and other social code offences,62
20204,"Robbery, extortion and hijacking offences",6
20204,Theft and related offences,897
20204,Weapons and Explosives Offences,21
20205,"Attempts or threats to murder, assaults, harassments and related offences",70
20205,Burglary and related offences,205
20205,Controlled drug offences,57
20205,Damage to property and to the environment,101
20205,Dangerous or negligent acts,31
20205,"Fraud, deception and related offences",8
20205,Kidnapping and related offences,0
20205,"Offences against government, justice procedures and organisation of crime",5
20205,Public order and other social code offences,40
20205,"Robbery, extortion and hijacking offences",5
20205,Theft and related offences,221
20205,Weapons and Explosives Offences,13
20206,"Attempts or threats to murder, assaults, harassments and related offences",3956
20206,Burglary and related offences,5359
20206,Controlled drug offences,5614
20206,Damage to property and to the environment,8147
20206,Dangerous or negligent acts,2166
20206,"Fraud, deception and related offences",859
20206,Kidnapping and related offences,16
20206,"Offences against government, justice procedures and organisation of crime",3125
20206,Public order and other social code offences,14258
20206,"Robbery, extortion and hijacking offences",552
20206,Theft and related offences,16529
20206,Weapons and Explosives Offences,811
20207,"Attempts or threats to murder, assaults, harassments and related offences",91
20207,Burglary and related offences,191
20207,Controlled drug offences,68
20207,Damage to property and to the environment,227
20207,Dangerous or negligent acts,96
20207,"Fraud, deception and related offences",5
20207,Kidnapping and related offences,0
20207,"Offences against government, justice procedures and organisation of crime",7
20207,Public order and other social code offences,230
20207,"Robbery, extortion and hijacking offences",4
20207,Theft and related offences,346
20207,Weapons and Explosives Offences,4
20208,"Attempts or threats to murder, assaults, harassments and related offences",282
20208,Burglary and related offences,463
20208,Controlled drug offences,229
20208,Damage to property and to the environment,483
20208,Dangerous or negligent acts,268
20208,"Fraud, deception and related offences",45
20208,Kidnapping and related offences,4
20208,"Offences against government, justice procedures and organisation of crime",80
20208,Public order and other social code offences,405
20208,"Robbery, extortion and hijacking offences",21
20208,Theft and related offences,726
20208,Weapons and Explosives Offences,37
20209,"Attempts or threats to murder, assaults, harassments and related offences",23
20209,Burglary and related offences,87
20209,Controlled drug offences,41
20209,Damage to property and to the environment,77
20209,Dangerous or negligent acts,37
20209,"Fraud, deception and related offences",3
20209,Kidnapping and related offences,1
20209,"Offences against government, justice procedures and organisation of crime",0
20209,Public order and other social code offences,42
20209,"Robbery, extortion and hijacking offences",3
20209,Theft and related offences,191
20209,Weapons and Explosives Offences,6
20210,"Attempts or threats to murder, assaults, harassments and related offences",61
20210,Burglary and related offences,124
20210,Controlled drug offences,36
20210,Damage to property and to the environment,126
20210,Dangerous or negligent acts,63
20210,"Fraud, deception and related offences",8
20210,Kidnapping and related offences,0
20210,"Offences against government, justice procedures and organisation of crime",13
20210,Public order and other social code offences,113
20210,"Robbery, extortion and hijacking offences",3
20210,Theft and related offences,195
20210,Weapons and Explosives Offences,8
20211,"Attempts or threats to murder, assaults, harassments and related offences",25
20211,Burglary and related offences,136
20211,Controlled drug offences,27
20211,Damage to property and to the environment,71
20211,Dangerous or negligent acts,40
20211,"Fraud, deception and related offences",4
20211,Kidnapping and related offences,0
20211,"Offences against government, justice procedures and organisation of crime",2
20211,Public order and other social code offences,34
20211,"Robbery, extortion and hijacking offences",1
20211,Theft and related offences,158
20211,Weapons and Explosives Offences,7
20212,"Attempts or threats to murder, assaults, harassments and related offences",36
20212,Burglary and related offences,98
20212,Controlled drug offences,33
20212,Damage to property and to the environment,54
20212,Dangerous or negligent acts,58
20212,"Fraud, deception and related offences",7
20212,Kidnapping and related offences,0
20212,"Offences against government, justice procedures and organisation of crime",4
20212,Public order and other social code offences,59
20212,"Robbery, extortion and hijacking offences",1
20212,Theft and related offences,119
20212,Weapons and Explosives Offences,5
20213,"Attempts or threats to murder, assaults, harassments and related offences",990
20213,Burglary and related offences,900
20213,Controlled drug offences,918
20213,Damage to property and to the environment,1711
20213,Dangerous or negligent acts,736
20213,"Fraud, deception and related offences",169
20213,Kidnapping and related offences,9
20213,"Offences against government, justice procedures and organisation of crime",214
20213,Public order and other social code offences,3064
20213,"Robbery, extortion and hijacking offences",39
20213,Theft and related offences,2609
20213,Weapons and Explosives Offences,170
20214,"Attempts or threats to murder, assaults, harassments and related offences",85
20214,Burglary and related offences,161
20214,Controlled drug offences,36
20214,Damage to property and to the environment,168
20214,Dangerous or negligent acts,58
20214,"Fraud, deception and related offences",7
20214,Kidnapping and related offences,2
20214,"Offences against government, justice procedures and organisation of crime",11
20214,Public order and other social code offences,119
20214,"Robbery, extortion and hijacking offences",5
20214,Theft and related offences,205
20214,Weapons and Explosives Offences,9
20215,"Attempts or threats to murder, assaults, harassments and related offences",46
20215,Burglary and related offences,95
20215,Controlled drug offences,28
20215,Damage to property and to the environment,67
20215,Dangerous or negligent acts,50
20215,"Fraud, deception and related offences",4
20215,Kidnapping and related offences,0
20215,"Offences against government, justice procedures and organisation of crime",17
20215,Public order and other social code offences,71
20215,"Robbery, extortion and hijacking offences",0
20215,Theft and related offences,112
20215,Weapons and Explosives Offences,6
20216,"Attempts or threats to murder, assaults, harassments and related offences",37
20216,Burglary and related offences,104
20216,Controlled drug offences,10
20216,Damage to property and to the environment,64
20216,Dangerous or negligent acts,31
20216,"Fraud, deception and related offences",4
20216,Kidnapping and related offences,0
20216,"Offences against government, justice procedures and organisation of crime",3
20216,Public order and other social code offences,48
20216,"Robbery, extortion and hijacking offences",0
20216,Theft and related offences,162
20216,Weapons and Explosives Offences,5
20217,"Attempts or threats to murder, assaults, harassments and related offences",29
20217,Burglary and related offences,54
20217,Controlled drug offences,16
20217,Damage to property and to the environment,59
20217,Dangerous or negligent acts,23
20217,"Fraud, deception and related offences",3
20217,Kidnapping and related offences,1
20217,"Offences against government, justice procedures and organisation of crime",1
20217,Public order and other social code offences,31
20217,"Robbery, extortion and hijacking offences",2
20217,Theft and related offences,74
20217,Weapons and Explosives Offences,2
20218,"Attempts or threats to murder, assaults, harassments and related offences",15
20218,Burglary and related offences,49
20218,Controlled drug offences,18
20218,Damage to property and to the environment,56
20218,Dangerous or negligent acts,38
20218,"Fraud, deception and related offences",3
20218,Kidnapping and related offences,1
20218,"Offences against government, justice procedures and organisation of crime",4
20218,Public order and other social code offences,41
20218,"Robbery, extortion and hijacking offences",1
20218,Theft and related offences,83
20218,Weapons and Explosives Offences,6
20219,"Attempts or threats to murder, assaults, harassments and related offences",95
20219,Burglary and related offences,163
20219,Controlled drug offences,37
20219,Damage to property and to the environment,152
20219,Dangerous or negligent acts,62
20219,"Fraud, deception and related offences",21
20219,Kidnapping and related offences,0
20219,"Offences against government, justice procedures and organisation of crime",20
20219,Public order and other social code offences,179
20219,"Robbery, extortion and hijacking offences",1
20219,Theft and related offences,202
20219,Weapons and Explosives Offences,14
20220,"Attempts or threats to murder, assaults, harassments and related offences",701
20220,Burglary and related offences,618
20220,Controlled drug offences,781
20220,Damage to property and to the environment,1272
20220,Dangerous or negligent acts,527
20220,"Fraud, deception and related offences",78
20220,Kidnapping and related offences,3
20220,"Offences against government, justice procedures and organisation of crime",100
20220,Public order and other social code offences,2273
20220,"Robbery, extortion and hijacking offences",31
20220,Theft and related offences,1523
20220,Weapons and Explosives Offences,95
20221,"Attempts or threats to murder, assaults, harassments and related offences",62
20221,Burglary and related offences,92
20221,Controlled drug offences,36
20221,Damage to property and to the environment,110
20221,Dangerous or negligent acts,30
20221,"Fraud, deception and related offences",4
20221,Kidnapping and related offences,0
20221,"Offences against government, justice procedures and organisation of crime",3
20221,Public order and other social code offences,74
20221,"Robbery, extortion and hijacking offences",1
20221,Theft and related offences,188
20221,Weapons and Explosives Offences,3
20222,"Attempts or threats to murder, assaults, harassments and related offences",89
20222,Burglary and related offences,152
20222,Controlled drug offences,64
20222,Damage to property and to the environment,170
20222,Dangerous or negligent acts,83
20222,"Fraud, deception and related offences",6
20222,Kidnapping and related offences,1
20222,"Offences against government, justice procedures and organisation of crime",11
20222,Public order and other social code offences,198
20222,"Robbery, extortion and hijacking offences",3
20222,Theft and related offences,261
20222,Weapons and Explosives Offences,24
20223,"Attempts or threats to murder, assaults, harassments and related offences",24
20223,Burglary and related offences,138
20223,Controlled drug offences,48
20223,Damage to property and to the environment,80
20223,Dangerous or negligent acts,85
20223,"Fraud, deception and related offences",13
20223,Kidnapping and related offences,0
20223,"Offences against government, justice procedures and organisation of crime",7
20223,Public order and other social code offences,62
20223,"Robbery, extortion and hijacking offences",7
20223,Theft and related offences,219
20223,Weapons and Explosives Offences,12
20224,"Attempts or threats to murder, assaults, harassments and related offences",109
20224,Burglary and related offences,98
20224,Controlled drug offences,92
20224,Damage to property and to the environment,185
20224,Dangerous or negligent acts,65
20224,"Fraud, deception and related offences",5
20224,Kidnapping and related offences,0
20224,"Offences against government, justice procedures and organisation of crime",9
20224,Public order and other social code offences,160
20224,"Robbery, extortion and hijacking offences",5
20224,Theft and related offences,201
20224,Weapons and Explosives Offences,12
20225,"Attempts or threats to murder, assaults, harassments and related offences",33
20225,Burglary and related offences,60
20225,Controlled drug offences,8
20225,Damage to property and to the environment,68
20225,Dangerous or negligent acts,20
20225,"Fraud, deception and related offences",4
20225,Kidnapping and related offences,0
20225,"Offences against government, justice procedures and organisation of crime",2
20225,Public order and other social code offences,18
20225,"Robbery, extortion and hijacking offences",0
20225,Theft and related offences,124
20225,Weapons and Explosives Offences,2
20226,"Attempts or threats to murder, assaults, harassments and related offences",53
20226,Burglary and related offences,147
20226,Controlled drug offences,30
20226,Damage to property and to the environment,109
20226,Dangerous or negligent acts,54
20226,"Fraud, deception and related offences",6
20226,Kidnapping and related offences,0
20226,"Offences against government, justice procedures and organisation of crime",6
20226,Public order and other social code offences,61
20226,"Robbery, extortion and hijacking offences",3
20226,Theft and related offences,262
20226,Weapons and Explosives Offences,10
20228,"Attempts or threats to murder, assaults, harassments and related offences",2382
20228,Burglary and related offences,2995
20228,Controlled drug offences,2460
20228,Damage to property and to the environment,3006
20228,Dangerous or negligent acts,1687
20228,"Fraud, deception and related offences",555
20228,Kidnapping and related offences,7
20228,"Offences against government, justice procedures and organisation of crime",763
20228,Public order and other social code offences,9664
20228,"Robbery, extortion and hijacking offences",99
20228,Theft and related offences,8263
20228,Weapons and Explosives Offences,235
20229,"Attempts or threats to murder, assaults, harassments and related offences",37
20229,Burglary and related offences,110
20229,Controlled drug offences,15
20229,Damage to property and to the environment,30
20229,Dangerous or negligent acts,33
20229,"Fraud, deception and related offences",5
20229,Kidnapping and related offences,0
20229,"Offences against government, justice procedures and organisation of crime",2
20229,Public order and other social code offences,41
20229,"Robbery, extortion and hijacking offences",1
20229,Theft and related offences,110
20229,Weapons and Explosives Offences,4
20230,"Attempts or threats to murder, assaults, harassments and related offences",188
20230,Burglary and related offences,291
20230,Controlled drug offences,60
20230,Damage to property and to the environment,309
20230,Dangerous or negligent acts,86
20230,"Fraud, deception and related offences",39
20230,Kidnapping and related offences,0
20230,"Offences against government, justice procedures and organisation of crime",17
20230,Public order and other social code offences,304
20230,"Robbery, extortion and hijacking offences",8
20230,Theft and related offences,464
20230,Weapons and Explosives Offences,12
20231,"Attempts or threats to murder, assaults, harassments and related offences",257
20231,Burglary and related offences,545
20231,Controlled drug offences,163
20231,Damage to property and to the environment,383
20231,Dangerous or negligent acts,165
20231,"Fraud, deception and related offences",39
20231,Kidnapping and related offences,0
20231,"Offences against government, justice procedures and organisation of crime",45
20231,Public order and other social code offences,474
20231,"Robbery, extortion and hijacking offences",17
20231,Theft and related offences,719
20231,Weapons and Explosives Offences,23
20232,"Attempts or threats to murder, assaults, harassments and related offences",36
20232,Burglary and related offences,228
20232,Controlled drug offences,77
20232,Damage to property and to the environment,163
20232,Dangerous or negligent acts,69
20232,"Fraud, deception and related offences",11
20232,Kidnapping and related offences,0
20232,"Offences against government, justice procedures and organisation of crime",7
20232,Public order and other social code offences,97
20232,"Robbery, extortion and hijacking offences",7
20232,Theft and related offences,346
20232,Weapons and Explosives Offences,6
20234,"Attempts or threats to murder, assaults, harassments and related offences",147
20234,Burglary and related offences,156
20234,Controlled drug offences,150
20234,Damage to property and to the environment,250
20234,Dangerous or negligent acts,142
20234,"Fraud, deception and related offences",87
20234,Kidnapping and related offences,1
20234,"Offences against government, justice procedures and organisation of crime",23
20234,Public order and other social code offences,379
20234,"Robbery, extortion and hijacking offences",2
20234,Theft and related offences,448
20234,Weapons and Explosives Offences,30
20235,"Attempts or threats to murder, assaults, harassments and related offences",25
20235,Burglary and related offences,144
20235,Controlled drug offences,29
20235,Damage to property and to the environment,77
20235,Dangerous or negligent acts,65
20235,"Fraud, deception and related offences",10
20235,Kidnapping and related offences,0
20235,"Offences against government, justice procedures and organisation of crime",3
20235,Public order and other social code offences,59
20235,"Robbery, extortion and hijacking offences",2
20235,Theft and related offences,180
20235,Weapons and Explosives Offences,3
20236,"Attempts or threats to murder, assaults, harassments and related offences",81
20236,Burglary and related offences,228
20236,Controlled drug offences,56
20236,Damage to property and to the environment,188
20236,Dangerous or negligent acts,107
20236,"Fraud, deception and related offences",16
20236,Kidnapping and related offences,0
20236,"Offences against government, justice procedures and organisation of crime",9
20236,Public order and other social code offences,233
20236,"Robbery, extortion and hijacking offences",6
20236,Theft and related offences,327
20236,Weapons and Explosives Offences,10
20237,"Attempts or threats to murder, assaults, harassments and related offences",20
20237,Burglary and related offences,74
20237,Controlled drug offences,12
20237,Damage to property and to the environment,60
20237,Dangerous or negligent acts,39
20237,"Fraud, deception and related offences",33
20237,Kidnapping and related offences,0
20237,"Offences against government, justice procedures and organisation of crime",3
20237,Public order and other social code offences,35
20237,"Robbery, extortion and hijacking offences",1
20237,Theft and related offences,123
20237,Weapons and Explosives Offences,2
20238,"Attempts or threats to murder, assaults, harassments and related offences",26
20238,Burglary and related offences,104
20238,Controlled drug offences,26
20238,Damage to property and to the environment,72
20238,Dangerous or negligent acts,50
20238,"Fraud, deception and related offences",6
20238,Kidnapping and related offences,1
20238,"Offences against government, justice procedures and organisation of crime",4
20238,Public order and other social code offences,41
20238,"Robbery, extortion and hijacking offences",0
20238,Theft and related offences,192
20238,Weapons and Explosives Offences,5
20240,"Attempts or threats to murder, assaults, harassments and related offences",20
20240,Burglary and related offences,86
20240,Controlled drug offences,9
20240,Damage to property and to the environment,51
20240,Dangerous or negligent acts,12
20240,"Fraud, deception and related offences",1
20240,Kidnapping and related offences,0
20240,"Offences against government, justice procedures and organisation of crime",5
20240,Public order and other social code offences,15
20240,"Robbery, extortion and hijacking offences",1
20240,Theft and related offences,76
20240,Weapons and Explosives Offences,6
20241,"Attempts or threats to murder, assaults, harassments and related offences",31
20241,Burglary and related offences,88
20241,Controlled drug offences,34
20241,Damage to property and to the environment,63
20241,Dangerous or negligent acts,46
20241,"Fraud, deception and related offences",7
20241,Kidnapping and related offences,0
20241,"Offences against government, justice procedures and organisation of crime",24
20241,Public order and other social code offences,38
20241,"Robbery, extortion and hijacking offences",2
20241,Theft and related offences,170
20241,Weapons and Explosives Offences,6
20242,"Attempts or threats to murder, assaults, harassments and related offences",62
20242,Burglary and related offences,209
20242,Controlled drug offences,45
20242,Damage to property and to the environment,115
20242,Dangerous or negligent acts,49
20242,"Fraud, deception and related offences",19
20242,Kidnapping and related offences,1
20242,"Offences against government, justice procedures and organisation of crime",5
20242,Public order and other social code offences,84
20242,"Robbery, extortion and hijacking offences",2
20242,Theft and related offences,229
20242,Weapons and Explosives Offences,5
20243,"Attempts or threats to murder, assaults, harassments and related offences",746
20243,Burglary and related offences,754
20243,Controlled drug offences,673
20243,Damage to property and to the environment,1182
20243,Dangerous or negligent acts,813
20243,"Fraud, deception and related offences",175
20243,Kidnapping and related offences,2
20243,"Offences against government, justice procedures and organisation of crime",355
20243,Public order and other social code offences,4467
20243,"Robbery, extortion and hijacking offences",13
20243,Theft and related offences,2078
20243,Weapons and Explosives Offences,116
20244,"Attempts or threats to murder, assaults, harassments and related offences",49
20244,Burglary and related offences,90
20244,Controlled drug offences,22
20244,Damage to property and to the environment,86
20244,Dangerous or negligent acts,36
20244,"Fraud, deception and related offences",5
20244,Kidnapping and related offences,0
20244,"Offences against government, justice procedures and organisation of crime",4
20244,Public order and other social code offences,118
20244,"Robbery, extortion and hijacking offences",0
20244,Theft and related offences,132
20244,Weapons and Explosives Offences,1
20245,"Attempts or threats to murder, assaults, harassments and related offences",30
20245,Burglary and related offences,119
20245,Controlled drug offences,38
20245,Damage to property and to the environment,65
20245,Dangerous or negligent acts,64
20245,"Fraud, deception and related offences",6
20245,Kidnapping and related offences,0
20245,"Offences against government, justice procedures and organisation of crime",16
20245,Public order and other social code offences,119
20245,"Robbery, extortion and hijacking offences",2
20245,Theft and related offences,114
20245,Weapons and Explosives Offences,5
20246,"Attempts or threats to murder, assaults, harassments and related offences",93
20246,Burglary and related offences,236
20246,Controlled drug offences,85
20246,Damage to property and to the environment,177
20246,Dangerous or negligent acts,87
20246,"Fraud, deception and related offences",9
20246,Kidnapping and related offences,0
20246,"Offences against government, justice procedures and organisation of crime",17
20246,Public order and other social code offences,234
20246,"Robbery, extortion and hijacking offences",3
20246,Theft and related offences,361
20246,Weapons and Explosives Offences,22
20249,"Attempts or threats to murder, assaults, harassments and related offences",123
20249,Burglary and related offences,278
20249,Controlled drug offences,73
20249,Damage to property and to the environment,190
20249,Dangerous or negligent acts,96
20249,"Fraud, deception and related offences",25
20249,Kidnapping and related offences,1
20249,"Offences against government, justice procedures and organisation of crime",5
20249,Public order and other social code offences,295
20249,"Robbery, extortion and hijacking offences",6
20249,Theft and related offences,478
20249,Weapons and Explosives Offences,14
20250,"Attempts or threats to murder, assaults, harassments and related offences",45
20250,Burglary and related offences,117
20250,Controlled drug offences,51
20250,Damage to property and to the environment,142
20250,Dangerous or negligent acts,58
20250,"Fraud, deception and related offences",9
20250,Kidnapping and related offences,0
20250,"Offences against government, justice procedures and organisation of crime",17
20250,Public order and other social code offences,114
20250,"Robbery, extortion and hijacking offences",2
20250,Theft and related offences,248
20250,Weapons and Explosives Offences,16
20251,"Attempts or threats to murder, assaults, harassments and related offences",1139
20251,Burglary and related offences,1262
20251,Controlled drug offences,1784
20251,Damage to property and to the environment,2031
20251,Dangerous or negligent acts,1021
20251,"Fraud, deception and related offences",208
20251,Kidnapping and related offences,10
20251,"Offences against government, justice procedures and organisation of crime",374
20251,Public order and other social code offences,3866
20251,"Robbery, extortion and hijacking offences",98
20251,Theft and related offences,3514
20251,Weapons and Explosives Offences,343
20252,"Attempts or threats to murder, assaults, harassments and related offences",26
20252,Burglary and related offences,78
20252,Controlled drug offences,31
20252,Damage to property and to the environment,32
20252,Dangerous or negligent acts,35
20252,"Fraud, deception and related offences",5
20252,Kidnapping and related offences,0
20252,"Offences against government, justice procedures and organisation of crime",5
20252,Public order and other social code offences,70
20252,"Robbery, extortion and hijacking offences",0
20252,Theft and related offences,89
20252,Weapons and Explosives Offences,2
20253,"Attempts or threats to murder, assaults, harassments and related offences",36
20253,Burglary and related offences,108
20253,Controlled drug offences,38
20253,Damage to property and to the environment,51
20253,Dangerous or negligent acts,26
20253,"Fraud, deception and related offences",7
20253,Kidnapping and related offences,0
20253,"Offences against government, justice procedures and organisation of crime",2
20253,Public order and other social code offences,112
20253,"Robbery, extortion and hijacking offences",3
20253,Theft and related offences,99
20253,Weapons and Explosives Offences,6
20255,"Attempts or threats to murder, assaults, harassments and related offences",146
20255,Burglary and related offences,272
20255,Controlled drug offences,102
20255,Damage to property and to the environment,280
20255,Dangerous or negligent acts,116
20255,"Fraud, deception and related offences",17
20255,Kidnapping and related offences,2
20255,"Offences against government, justice procedures and organisation of crime",15
20255,Public order and other social code offences,228
20255,"Robbery, extortion and hijacking offences",5
20255,Theft and related offences,281
20255,Weapons and Explosives Offences,32
20256,"Attempts or threats to murder, assaults, harassments and related offences",447
20256,Burglary and related offences,496
20256,Controlled drug offences,585
20256,Damage to property and to the environment,739
20256,Dangerous or negligent acts,294
