P-ID,G-ID,Closest Garda Station (km),Num Garda Stations < 5km
4440775,2031,1.9242976092204795,4
4463521,2031,2.6089311832477367,6
4465140,2031,1.51171665929156,4
4464849,2031,0.8500588911920065,2
4449504,2031,3.669754041419132,3
4446473,2031,1.772310443008544,1
4468957,2031,2.2967823999588064,2
4461166,2031,2.4660147878324468,2
4463794,2031,1.4565465612803612,4
4468193,2031,2.331700879852866,4
4467932,2031,1.8890101541957478,5
4465928,2031,1.9565122855464483,5
4462542,2031,1.7252277102691111,5
4449183,2031,1.9087276251779943,4
4462545,2031,2.456251682361732,4
4466053,2031,0.2026359323962824,1
4465130,2031,2.4925996091940252,4
4468881,2031,1.5605495440185746,1
4468852,2031,3.2466749647127777,3
4449632,2031,2.9862283092946957,3
4417742,2031,2.333078132544889,4
4394739,2031,1.0618639257547058,4
4385514,2031,2.372755531619834,4
4373122,2031,1.3345475703131053,3
4446048,2031,1.656953099196636,2
4464278,2031,1.1338439230150936,3
4465005,2031,0.656897153157716,1
4457863,2031,3.2466749647127777,3
4468651,2031,1.882246170135407,2
4452495,2031,2.6769456086661614,5
4468591,2031,1.6452223549184286,4
4468580,2031,1.918040885690634,1
4468518,2031,2.177764513805203,1
4460178,2031,1.6277791772629007,4
4463947,2031,4.702251253508515,1
4468393,2031,0.8331908151887811,2
4443846,2031,2.274088069287404,4
4468379,2031,1.650273078381026,1
4468242,2031,0.5124995841500104,2
4461357,2031,1.0755629100576494,3
4468000,2031,3.433255529718282,3
4467948,2031,3.804301567317872,4
4467919,2031,2.18706316051289,1
4467918,2031,1.2620062098397493,3
4467899,2031,3.5089033312977995,3
4467833,2031,2.478097397109679,4
4467660,2031,1.0640461174563354,4
4467623,2031,3.8274158141724084,4
4332775,2031,1.8702720608509833,4
4467526,2031,3.4294083338127743,3
4467513,2031,2.3357853844621257,4
4337860,2031,1.8702720608509833,4
4442394,2031,1.1750828086992031,4
4467112,2031,0.7972795721950545,1
4467100,2031,0.8769667821640877,1
4462548,2031,0.6532797965646582,3
4457077,2031,2.226444443438811,4
4457533,2031,1.6618336911540388,4
4461738,2031,2.1487005437970392,5
4466942,2031,2.320023729861834,4
4466839,2031,0.8369607401063235,1
4466857,2031,1.5140879055494285,4
4466780,2031,2.2816159845671624,4
4454756,2031,0.8889739749982186,4
4418711,2031,0.46953970867934014,2
4466633,2031,2.4326710444533033,4
4437750,2031,1.9011186925499015,5
4419574,2031,3.5492320181518213,3
4466428,2031,3.4717364657422145,1
4466403,2031,0.7157333037101613,3
4466058,2031,0.7129700043610674,2
4466301,2031,3.4535103387696235,3
4466221,2031,3.0617829238026255,3
4466204,2031,3.169936235089174,3
4466066,2031,3.175808221608997,2
4437559,2031,3.175808221608997,2
4465889,2031,3.6274315051613817,3
4465720,2031,3.782325225362221,4
4465685,2031,3.644396006436889,4
4465617,2031,3.8274158141724084,4
4464252,2031,2.996416489252007,1
4465387,2031,3.6149962224462358,1
4443330,2031,4.9345186108652905,1
4455368,2031,1.5674406429382457,3
4456913,2031,2.207445864154021,5
4462414,2031,2.2775864217282376,4
4464980,2031,2.0184223433973942,2
4464960,2031,1.5240164534458704,1
4464902,2031,2.098084927017006,5
