P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4452934,,E2,
4467018,,B2,
4444730,106574510.0,C2,198.57
4441781,,Ex,
4461700,102987443.0,F,422.25
4247599,111246450.0,B3,130.22
4294453,111561817.0,E2,367.44
4459438,113447759.0,C2,199.62
4444003,103938478.0,D1,226.29
4454496,,C3,
4444871,,D2,
4428058,,B1,
4452888,113257554.0,C2,192.83
4420331,100493501.0,B3,
4462431,111965737.0,D2,269.06
4466619,110726197.0,D2,266.42
4451413,,G,
4454844,113269955.0,C1,153.7
4467959,,C3,
4454005,113266613.0,C3,216.85
4452190,,D2,
4362272,,A2,
4462655,113015382.0,C2,183.1
4465697,113257174.0,F,
4465927,,A2,
4451395,,Ex,
4438796,,Ex,
4467133,113522775.0,C1,169.95
4450067,113222376.0,G,495.08
4414362,,A3,
4467070,100529064.0,C3,
4419739,113261648.0,B3,126.14
4301569,,A2,
4458197,101894285.0,C3,216.97
4468601,104615943.0,C2,175.98
4462232,,G,
4466101,112579230.0,C3,218.38
4459125,112324140.0,C1,151.89
4464161,113483663.0,C2,
4380284,112697487.0,C3,208.13
4359003,110755139.0,C2,185.09
4467850,,D1,
4435022,,D2,
4433746,,D1,
4457003,113032510.0,B3,
4443561,,D1,
4455722,112851035.0,B3,137.36
4422832,,C1,
4417181,,A3,
4422252,112986377.0,C3,
4453948,108361684.0,E1,315.43
4465943,,C3,
4461778,113449268.0,C2,184.66
4411913,,C2,
4458495,113424733.0,G,
4448659,113216683.0,C1,155.86
4450124,104851092.0,B2,102.02
4449700,104851092.0,B2,102.02
4468462,100737824.0,E1,
4423918,102552775.0,C2,192.25
4428019,101696896.0,B3,125.46
4328131,110774270.0,E1,325.36
4444676,113155303.0,D2,299.19
4444750,109836379.0,C3,204.2
4379951,112635073.0,C2,177.8
4454964,113290944.0,D1,232.23
4462010,104855358.0,C2,178.1
4464682,113483473.0,D1,243.46
4454771,,D1,
4443095,,D1,
4462723,113503320.0,D1,257.1
4442939,113147268.0,C3,208.65
4363396,800708698.0,G,
4420089,,A3,0000|
4427513,,C3,
4457117,,Ex,
4468026,,Ex,
4460094,,Ex,
4430387,112545611.0,E2,356.37
4468552,,Ex,
4463189,101771137.0,E1,304.84
4346063,,A3,
4452334,,A2,
4467495,113518179.0,D2,287.83
4466280,110724843.0,B2,112.09
4466870,107261992.0,B2,113.72
4465136,107279275.0,B3,136.38
4419387,,D1,
4460986,,E1,
4462926,,G,
4414931,112901624.0,D2,298.09
4348433,112398599.0,D1,232.64
4451353,113215693.0,C3,271.10
4465379,113496384.0,C1,173.14
4462128,113472872.0,C3,
4447033,113222392.0,C3,221.82
4457640,102024445.0,D1,
4443572,103455820.0,D1,244.1
4456169,105531156.0,C3,208.21
4467255,,B3,
4467155,105113351.0,B3,149.79
4413788,101902195.0,B1,99.88
4063385,113083471.0,C2,176.23
4441680,104831524.0,B3,148.45
4456692,112901194.0,C3,207.78
4458198,106178684.0,D2,286.03
4455824,113299820.0,C2,196.74
4459847,100453679.0,B2,122.2
4467517,,E1,
4462056,113445944.0,B3,132.11
4459298,112887120.0,C1,172.95
4466262,113299416.0,C3,214.85
4453170,113265672.0,B3,132.83
4429783,106091539.0,D1,240.93
4437069,,C1,
4419994,,D2,
4452753,,D1,
4414162,105260715.0,C1,174.94
4417206,110255262.0,C3,223.04
4466574,104505722.0,E2,370.37
4460728,,C1,
4401118,,C1,
4444834,113146203.0,C1,156.24
4412849,104872825.0,C2,189.94
4468299,,C2,
4467929,113537740.0,C3,205.46
4440318,,E1,
4461666,103461711.0,B3,146.89
4465775,106559230.0,C2,183.01
4445744,113230700.0,D1,253.44
4456388,,D1,
4461502,105546600.0,C1,153.21
4432706,113079958.0,D1,234.9
4464711,,A3,
4467438,107749095.0,C2,195.57
4461177,107429128.0,C2,181.21
4455599,,F,
4449022,113245260.0,C1,174.66
4461614,,G,
4456381,,C3,
4464854,,D2,
4449398,111269304.0,D2,2646.81
4450373,113263396.0,C3,202.88
4462138,106528912.0,B2,121.75
4414663,,F,
4456826,109947903.0,C1,167.29
4460033,112498480.0,C2,197.96
4446778,113179527.0,D1,245.16
4462005,113156285.0,C2,
4461896,,A3,
4455259,,E1,
4395919,111897765.0,C1,158.26
4467231,107030785.0,D1,238.6
4466420,113512529.0,B3,128.17
4442021,108024159.0,A3,65.73
4447225,105375430.0,E1,315.57
4468957,103219531.0,C2,198.39
4370610,108566217.0,,
4467109,,E2,
4463977,113484141.0,F,391.96
4355068,100777283.0,C3,201.53
4466314,,B3,
4462063,113451504.0,E2,
4428316,,E2,
4464393,112704119.0,C3,213.88
4452713,113431621.0,,
4462070,,C3,
4466620,104224274.0,C3,214.4
4450835,,D1,
