G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
2040,129.92,1559,295.58,3547,203.0,2436,404.5,4854,88.83,1066,42.25,507,0.33,4,116.75,1401,513.0,6156,26.08,313,686.33,8236,37.33,448
2041,5.58,67,29.42,353,8.0,96,37.92,455,4.17,50,1.17,14,0.0,0,1.0,12,8.92,107,1.42,17,75.92,911,1.25,15
2042,78.83,946,165.0,1980,80.75,969,266.92,3203,39.0,468,14.5,174,0.75,9,16.5,198,189.0,2268,17.33,208,341.83,4102,14.75,177
2043,47.5,570,162.5,1950,33.08,397,159.75,1917,29.83,358,16.08,193,0.33,4,8.42,101,126.58,1519,7.08,85,301.33,3616,8.25,99
2044,60.92,731,279.67,3356,75.33,904,195.75,2349,49.67,596,49.42,593,0.25,3,14.58,175,242.42,2909,17.33,208,560.33,6724,11.5,138
2045,91.5,1098,477.25,5727,198.42,2381,422.08,5065,83.58,1003,75.58,907,0.75,9,30.33,364,304.5,3654,29.25,351,1195.75,14349,17.67,212
2047,167.0,2004,367.75,4413,163.5,1962,428.42,5141,151.58,1819,53.92,647,1.42,17,76.58,919,533.67,6404,24.0,288,727.25,8727,31.92,383
2048,10.33,124,42.58,511,3.08,37,36.33,436,10.67,128,2.33,28,0.33,4,0.92,11,10.75,129,0.92,11,81.0,972,1.75,21
2049,8.58,103,22.17,266,5.0,60,24.5,294,3.33,40,0.33,4,0.33,4,1.75,21,7.25,87,0.5,6,48.0,576,1.0,12
2050,16.08,193,25.75,309,4.33,52,30.75,369,10.58,127,4.08,49,0.17,2,2.0,24,20.25,243,0.75,9,49.0,588,1.5,18
2051,42.33,508,114.33,1372,31.0,372,122.42,1469,39.67,476,10.25,123,0.33,4,2.5,30,65.0,780,6.58,79,274.25,3291,5.25,63
2052,203.33,2440,327.25,3927,116.17,1394,606.67,7280,177.08,2125,77.83,934,1.33,16,73.75,885,558.83,6706,34.17,410,864.17,10370,42.25,507
2053,13.17,158,22.17,266,1.83,22,43.83,526,6.33,76,2.33,28,0.0,0,1.92,23,22.33,268,0.92,11,55.0,660,1.25,15
2054,1.75,21,12.83,154,0.75,9,10.67,128,5.42,65,1.0,12,0.0,0,2.17,26,4.33,52,0.75,9,20.92,251,0.42,5
2055,9.17,110,20.25,243,2.33,28,29.83,358,6.5,78,3.5,42,0.0,0,1.42,17,12.67,152,1.25,15,53.75,645,4.33,52
2056,3.17,38,11.42,137,1.17,14,19.67,236,2.75,33,1.0,12,0.0,0,0.83,10,9.33,112,0.58,7,26.58,319,0.5,6
