P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4462553,53.3326922,-6.229456799999999," 56 ballsbridge wood, ballsbridge, dublin 4",,D04
4466095,53.40173859999999,-6.143350799999999," 56 beech house, red arches drive, baldoyle, dublin 13",D13DK8V,D13
4422536,53.265766000000006,-8.9268754," 56 cloonarkin drive, oranmore, galway",H91P6FH,H91
4438549,52.65583880000001,-8.5703807," 56 caislean na habhann, castletroy, limerick",V94XCK4,V94
4414555,53.3648658,-6.204600599999999," 56 castle avenue, clontarf, dublin 3 do3 aw29",DO3 AW29,DO3
4462418,51.9032253,-8.354182999999999," 56 castlewood, little island, cork",,T45
4436174,53.3580505,-6.2437403," 56 charleville avenue, dublin 3, dublin",D03VX56,D03
4376393,53.36319049999999,-6.276031," 56 connaught street, phibsboro,   dublin 7",D07 H227,D07
4423210,52.8614726,-8.2015447," 56 connolly street, nenagh, tipperary",E45R298,E45
4463269,51.92141210000001,-8.405291199999999," 56 crawford woods, church hill, glanmire, co cork, glanmire, cork",T45HY27,T45
4467222,53.32988029999999,-6.254792999999999," 56 dartmouth square, ranelagh, dublin 6, d06 rh94",D06 RH94,D06
4446614,53.3820849,-6.2296792000000005," 56 elm mount avenue, beaumont,   dublin 9",D09V2C6,D09
4462362,53.3893406,-6.1005292," 56 glencarraig, sutton,   dublin 13",D13H4F4,D13
4436754,53.2785231,-6.1763768999999975," 56 granville park, blackrock, co. dublin",,A94
4421023,53.3507827,-6.2643217," 56 greeg court, parnell street, dublin 1, dublin",D01FP97,D01
4468594,52.3519406,-7.711635100000001," 56 irishtown, clonmel, tipperary",E91 Y478,E91
4468001,53.2686765,-6.2198093," 56 leopardstown road, sandyford, dublin 18",D18 W8H2,D18
4443288,53.4012317,-6.141399400000001," 56 red arches avenue, baldoyle, dublin 13",,D13
