G-ID,Lat (WGS84 GPS),Long (WGS84 GPS),X (TM65 IE Grid),Y (TM65 IE Grid)
20441,52.3873013582901,-9.290020847864904,112219.0,126928.0
20117,52.912732928545466,-7.343783523053731,244196.0,184819.0
20424,52.56390329138765,-8.792062355964722,146337.0,146092.0
20217,52.0715882449584,-7.822050666710436,212252.0,91029.0
20522,53.39567459330229,-8.330633255636883,178054.0,238416.0
20700,54.98492092997603,-8.438645045972754,171966.0,415356.0
20649,55.065562773043425,-8.289459009170677,181554.0,424284.0
20653,54.65787579797861,-8.633091766709533,159189.0,379044.0
20500,53.26451052786653,-9.600485420053145,93255.0,224962.0
20652,54.95156211881422,-8.361276015161613,176900.0,411614.0
20393,51.83109038134758,-10.174172312126043,50174.0,66489.0
20642,55.125283638764344,-7.912551358185865,205627.0,430898.0
20643,55.13697693180667,-8.102026221975526,193541.0,432201.01
20488,53.51072859848197,-9.56493053482317,96228.0,252310.0
20218,52.04838105303443,-7.593052813451124,227969.0,88510.0
20503,53.24543219220744,-9.305625733112556,112890.0,222439.0
20288,51.89581891439854,-8.464993744273308,168040.0,71558.0
20383,52.152419927571856,-10.052541767024444,59567.0,101995.0
20476,53.27207603753367,-8.93189336462273,137877.0,225014.0
20648,54.764531353751934,-8.409493280112391,173689.0,390810.0
2079,53.85491462839025,-6.541144051785832,296047.0,290467.0
20378,52.323488752582186,-9.778893949144917,78762.0,120534.0
20259,52.311830977195214,-7.8783136866183385,208349.0,117754.0
20334,51.95101839792226,-7.728223818152784,218736.0,77633.0
20414,52.70769227667266,-8.61314353811537,158606.0,161975.0
20508,53.15664649635941,-8.806452293827853,146101.0,212066.0
20183,52.796281485424636,-6.154621812337727,324524.0,173255.0
20122,52.89097565494816,-7.018914481825755,266084.0,182647.0
20677,53.92537824487628,-7.583755601119815,227394.0,297403.0
2077,53.511373123791806,-6.39699718145525,306394.0,252439.0
20200,53.013937170084546,-6.107257359909776,327080.0,197557.01
20423,52.600633805544526,-8.971209153403912,134243.7,150327.68
20444,52.45992584496528,-9.287478260656396,112536.0,135006.0
20480,53.299749985500505,-8.749689110100304,150065.0,227951.0
20515,53.56869721606737,-8.252361662815376,183329.0,257652.0
2089,53.42325270434138,-7.944737175980633,203723.0,241436.0
20160,52.99020210439446,-6.988238376641441,267993.0,193718.0
20205,52.85602776912899,-6.326835352681524,312754.0,179619.0
20203,52.858788295741675,-6.212891209266205,320421.0,180111.0
2060,53.62363547027933,-6.9158638452681425,271783.0,264284.0
20384,52.16593110662076,-10.406208306073426,35414.0,104242.0
20365,51.945774101723224,-9.16920162737274,119653.0,77660.0
20682,53.91520866506998,-6.969623829215438,267755.0,296683.0
2072,53.61433456287878,-6.191175749225228,319756.0,264224.0
20554,53.80186739269683,-9.1298725343769,125604.0,284167.0
20538,53.89991931885415,-8.584586744693093,161621.0,294647.0
20562,54.112857198265154,-9.160436953820255,124157.0,318813.0
20676,53.93110766626121,-7.409626745030061,238828.0,298122.0
20695,54.05459793808792,-7.796963450876149,213346.0,311725.0
20521,53.32842738266902,-8.223628221174778,185149.0,230904.0
20304,51.888238344732024,-8.590317436526401,159406.0,70777.0
20574,53.66964476421277,-8.957721947974402,136748.0,269284.0
20338,51.73591813372444,-8.948872579935227,134499.0,54090.0
20442,52.47213282957723,-8.862846107040431,141415.0,135935.0
20266,53.01835367905519,-8.030461467189161,198005.0,196372.0
20244,52.58595849729061,-7.540963778586709,231163.0,148351.0
20337,51.80408804851253,-8.570546062916462,160694.0,61403.0
20539,53.740778281014464,-8.635814743451938,158095.0,276963.0
20576,53.624607620993515,-9.226218123128573,118916.0,264544.0
20656,54.57779825049869,-8.12541830838209,191938.0,369953.0
2061,53.53270211642696,-6.967158019882983,268536.0,254113.0
20157,52.743227320316066,-6.7721703583846065,282972.0,166461.0
20670,54.128941531404365,-6.9048042571642805,271646.0,320536.0
20626,54.7996428870565,-7.78104970750429,214130.0,394664.0
20407,52.51125734134547,-9.670244699928123,86652.0,141250.0
20690,54.118998962159345,-7.580195145238634,227500.0,318956.0
20333,51.830328442634496,-8.013098611987209,199147.0,64169.0
20570,54.02576517368276,-9.825852030176963,80393.0,310039.0
20193,52.27886582658564,-6.839204482368271,279276.0,114714.0
20349,51.55911238537736,-9.460780534877488,98743.0,35003.0
20370,52.178234233330755,-9.230970131544,115844.0,103595.0
20408,52.45585251849741,-9.663101445993703,86995.0,135074.0
209,53.344756346445315,-6.3579832485786305,309409.0,233956.0
20520,53.52186419347112,-8.328387423169989,178268.0,252460.0
20238,52.468328689684576,-7.201520291243413,254315.0,135462.0
20584,53.763970334761225,-8.76740657858304,149440.0,279630.0
