S-ID,Name,Type,Ranking,Num Pupils
05164I,SCOIL NAOMH CHOLMCILLE,primary,,15
05220P,S N MICHIL NAOFA,primary,,25
05230S,COMHSCOIL CHONMHA S N,primary,,90
05253H,O CALLAGHANS MILLS N S,primary,,61
05257P,PRESENTATION CONVENT,primary,,227
05348S,Tahilla Community National School,primary,,15
05477G,LARAGH N S,primary,,176
05501A,SCOIL NAOIMH EANNA,primary,,216
05508O,ST COLUMBAS N.S,primary,,401
05513H,CASTLEPOLLARD MIXED N S,primary,,141
05548D,SN BAILE MHIC AIRT,primary,,60
05565D,TRAFRASK MIXED N S,primary,,37
05600C,CLOCHAR SAN DOMINIC,primary,,222
05627W,BAILIEBORO MODEL N S,primary,,106
05630L,SCOIL MHICHIL NA BUACHAILLI,primary,,315
05636A,DUNMANWAY MODEL N S,primary,,100
05656G,S N AN GHOILIN,primary,,28
05754G,S N CREACHMHAOIL,primary,,335
05756K,BURRISCARRA N S,primary,,17
05916G,St. Anne's National School,primary,,149
05927L,CHURCH HILL MIXED N S,primary,,169
05933G,PRESENTATION PRIMARY SCHOOL,primary,,128
05940D,SCOIL URSULA,primary,,145
05970M,SCOIL BARR DUBH,primary,,84
06028F,ROCKCORRY N S,primary,,28
06044D,S N CILL CUILE,primary,,102
06100K,S N CILL RONAIN,primary,,22
06117E,DOOHAMLET N S,primary,,128
06176U,BLESSINGTON 1 N S,primary,,215
06200O,BOOTERSTOWN BOYS,primary,,307
06209J,ATHY MODEL SCHOOL,primary,,97
06227L,SN MHAOLCHEADAIR,primary,,31
06295F,FREEMOUNT MIXED N S,primary,,87
06342L,VICARSTOWN MIXED N S,primary,,127
06489S,S N AN TSAILEAIN,primary,,90
06516S,KILDIMO NATIONAL SCHOOL,primary,,189
06539H,KNOCKEA NATIONAL SCHOOL,primary,,207
06576N,DROMIN N S,primary,,99
06621P,Ringville National School,primary,,51
06658P,KILADANGAN N S,primary,,126
06789H,LISRONAGH N S,primary,,102
06852L,GARRACLOON N S,primary,,18
06936R,ST JOHNS CONVENT,primary,,274
06959G,CLONROCHE N S,primary,,94
06998Q,St Patrick's NS,primary,,46
07006A,BALLYCLOUGH MIXED N S,primary,,129
07054L,CULLENS N S,primary,,244
07075T,S N NAOMH FEICHIN,primary,,70
07117J,S N LOCH GUIR,primary,,31
07120V,KILLYON N S,primary,,91
07143K,MONREAGH N S,primary,,47
07183W,ST JOSEPHS GIRLS N.S.,primary,,240
07191V,S N SEOSAMH,primary,,74
07222G,BANOGUE NATIONAL SCHOOL,primary,,74
07242M,CLOGHROE MIXED N S,primary,,525
07245S,CULLEN N S,primary,,14
07246U,Ravenswell Primary School,primary,,402
07315N,HOLY FAMILY SNR,primary,,323
07317R,GLENGURT N S,primary,,106
07358I,S N SCEICHIN A RINCE,primary,,39
07374G,BALLINTUBBER N S,primary,,92
07441S,BALLYCURRANE N S,primary,,45
07442U,St Josephs National School,primary,,106
07455G,SCOIL MHUIRE GAN SMAL,primary,,85
07464H,BROWNEKNOWE N S,primary,,67
07481H,KILMOGANNY MIXED N S,primary,,21
07518E,S N CNOC AN MHARCAIGH,primary,,282
07546J,GOLDENBRIDGE CONVENT,primary,,235
07551C,BALLINDERREEN MXD N S,primary,,201
07626H,S N AN IORBALL RIABAIGH,primary,,48
07636K,ST FINTANS N S,primary,,91
07651G,ST JOSEPH'S GIRLS NATIONAL SCHOOL,primary,,220
07722D,ST PETERS N S SNR,primary,,147
07737Q,VILLIERSTOWN N S,primary,,33
07751K,MONAGHAN MODEL SCHOOL,primary,,158
07790U,CHURCHTOWN N S,primary,,88
07841L,KILGOBNET N S,primary,,82
07857D,S N AILBHE,primary,,206
07900B,BALLYSTEEN N S,primary,,37
07949I,S N OSMANN,primary,,83
07990F,SCOIL NAOMH CARTHACH,primary,,26
08037Q,TANG N S,primary,,124
08099P,ST LAURENCES NATIONAL SCHOOL,primary,,688
08100U,S N PHADRAIG,primary,,92
08143P,S N MHUIRE,primary,,49
08147A,Scoil an Ghleanna Pobal Scoil Náisi,primary,,16
08221J,ST SENANS NATIONAL SCH,primary,,459
08251S,SCOIL NAOMH MICHEAL,primary,,67
08302J,HOLY TRINITY NATIONAL SCHOOL,primary,,61
08342V,BOHERMORE N S,primary,,30
08379V,GORTANUMERA N S,primary,,52
08390J,MASTERSONS N S,primary,,22
08393P,S N RATH DUBH,primary,,269
08419H,ARDPATRICK N S,primary,,64
08430S,SCOIL NAOMH SEOSAMH,primary,,199
08446K,SN TULLACH UI CHADHAIN,primary,,69
08453H,S N CRUABANAI,primary,,215
08490N,ST CLARES PRIMARY SCHOOL,primary,,534
08512U,IOMAIR N S,primary,,113
08530W,LAURAGH NATIONAL SCHOOL,primary,,11
08572P,BRUREE NATIONAL SCHOOL,primary,,181
08673V,THE HUNT N S,primary,,33
08687J,S N MUIRE GAN SMAL,primary,,20
08791E,LISSIVIGEEN MXD N S,primary,,289
08828B,KILCORNEY MIXED N S,primary,,44
08926B,ST NICHOLAS CHURCH OF IRELAND SCHOO,primary,,69
08948L,MILLTOWN N S,primary,,132
08972I,CASTLEALACK N S,primary,,58
09009Q,ROCKFIELD N S,primary,,43
09040K,NEWTOWNWHITE Educate Together NS,primary,,55
09069L,S N AN BHAIN MHOIR,primary,,160
09132P,CARNANE MXD N S,primary,,49
09161W,OUR LADY OF MERCY N S,primary,,238
09184L,SHIELBEGGAN CONVENT,primary,,42
09186P,SCOIL MHUIRE,primary,,108
09190G,BOHER N S,primary,,121
09191I,GEASHILL 1 N S,primary,,128
09209B,CASTLEDRUM N S,primary,,103
09238I,BALLINLOUGH N S,primary,,77
09260B,S N LIOS TEILIC,primary,,220
09296W,OUR LADYS ABBEY,primary,,147
09302O,GLENFLESK N S,primary,,34
09304S,RAHEEN NATIONAL SCHOOL,primary,,36
09306W,CROOM NATIONAL SCHOOL,primary,,172
09320Q,SCOIL NAIS MHUIRE,primary,,73
09353I,NEWTOWNGORE N S 1,primary,,26
09390O,ROCKMOUNT MIXED N S,primary,,29
09401Q,MONOGAY NATIONAL SCHOOL,primary,,220
09414C,ST LAURENCES N S,primary,,292
09425H,RINEEN N S,primary,,43
09432E,ST JOSEPHS PRIMARY SCHOOL,primary,,151
09492W,BALSCADDEN N S,primary,,220
09537S,BALLINADEE N S,primary,,142
09642P,BURROW N S,primary,,215
09660R,ST FRANCIS NS,primary,,156
09691F,KILLEENDUFF N S,primary,,25
09702H,ST JAMES N S,primary,,147
09708T,KNOCKNAGOSHEL NATIONAL SCHOOL,primary,,57
09748I,GLENMAQUIN NO 2 N S,primary,,23
09750S,ST JOSEPHS BOYS N S,primary,,445
09760V,POWERSCOURT N S,primary,,92
09782I,BALLYMACELLIGOTT 1 N S,primary,,26
09815U,TULLASLEASE MIXED N S,primary,,21
09833W,S N LEITIRGEIS,primary,,29
09837H,The Black Valley National School,primary,,9
09841V,S N BHAILE AN CHROSAIGH,primary,,39
09872J,CLOGHOOLA MIXED N S,primary,,19
09878V,AGHATUBRID N S,primary,,75
09915B,MARTINSTOWN N S,primary,,86
09927I,GRANAGH NATIONAL SCHOOL,primary,,61
09932B,STANHOPE ST CONVENT,primary,,337
09938N,CURRANES N S,primary,,84
09967U,UPPER NEWTOWN N S,primary,,55
10014Q,COOLICK NATIONAL SCHOOL,primary,,86
10047I,MACROOM CONVENT N S,primary,,311
10049M,LOUGHGUITANE N S,primary,,101
10050U,Scoil Bhríde,primary,,114
10062E,CREESLOUGH N S,primary,,28
10095T,S N NAOMH TREASA,primary,,26
10111O,LACKEN MXD N S,primary,,104
10120P,S N MHUIRE NA TROCAIRE,primary,,265
10131U,MOIN AN BHEALAIGH N S,primary,,108
10146K,CORLISS N S,primary,,34
10223C,TASHINNY N S,primary,,20
10239R,CROCHAN NAOFA N S,primary,,43
10243I,S N ACHADH EOCHAILLE,primary,,76
10282S,DRUMACRUTTIN N S,primary,,31
10296G,SCOIL NAOMH MEARNOG,primary,,630
10326M,SCOIL NUACHABHAIL,primary,,143
10353P,CHARLEVILLE N S,primary,,90
10394G,SCOIL MHUIRE B&C,primary,,100
10429W,SCOIL MHUIRE,primary,,80
10494K,ALL SAINTS N S,primary,,55
10499U,KILGARIFFE N S,primary,,57
10501E,SCOIL EASA DHUIBHE,primary,,56
10523O,FERMOY ADAIR N S,primary,,34
10533R,BALLYDREHID N S,primary,,45
10544W,COSBY N S,primary,,30
10548H,ST BRENDANS NATIONAL SCHOOL,primary,,12
10591I,S N AN ARD MHOIR,primary,,22
10595Q,KILBARRON N S,primary,,38
10653E,CHAPELIZOD N S,primary,,27
10675O,BALLYMANA N S,primary,,144
10683N,KILBRIDE N S,primary,,99
10724B,SOUTH ABBEY NS,primary,,130
10739O,BALLINCARRIGA MXD N S,primary,,85
10751E,CLONTIBRET N S,primary,,39
10755M,SCOIL AN FHIRTEARAIGH,primary,,69
10763L,BOSTON N S,primary,,34
10771K,COBH N S,primary,,21
10775S,Scoil Chorp Chríost,primary,,85
10780L,BALLYOUGHTER N S,primary,,43
10801Q,DRUMBARRAGH N S,primary,,95
10835K,PRESENTATION CONVENT NATIONAL SCHOOL,primary,,113
10857U,CASTLEPOLLARD PAROC.N S,primary,,21
10863P,S N NA COILLE GLAISE,primary,,98
10886E,TUBBER N S,primary,,24
10929T,RATHKEALE N S 2,primary,,26
10957B,S N MHUIRE DE LOURDES,primary,,54
10967E,THREEN N S,primary,,38
10991B,GARRYDOOLIS N S,primary,,35
11039O,KILBEG N S,primary,,86
11067T,S N NAOMH BRID,primary,,200
11072M,S N NAOMH PEADAR,primary,,94
11135K,ST MARYS N S,primary,,106
11201U,S N NAOMH PADRAIG,primary,,30
11203B,SEIR KIERANS N S,primary,,59
11205F,KILLESHANDRA National School ( C of I),primary,,68
11234M,CLOHANBEG N S,primary,,16
11236Q,NEWMARKET B N S,primary,,103
11242L,CLOONBONNIF N S,primary,,26
11245R,SN CILL MHIC ABHAIDH,primary,,41
11248A,SN AN GHLEANNA,primary,,19
11249C,BURNFORT N S,primary,,118
11261P,SCOIL MHUIRE,primary,,79
11262R,DRUIMNE N S,primary,,68
11280T,CARRICKERRY N S,primary,,62
11290W,S N MUIRE GAN SMAL,primary,,21
11307N,BALLYGUILTENANE N S,primary,,27
11337W,KILMAGNER N S,primary,,82
11361T,FAYTHE CONVENT,primary,,289
11363A,SCOIL ATHA NA MBLATH,primary,,62
11367I,PORTROE N S,primary,,137
11372B,BRITTAS BAY MXD N S,primary,,142
11373D,S N MHUIRE,primary,,30
11380A,"Sacred Heart National School, Caim",primary,,130
11384I,GURTAGARRY N S,primary,,52
11405N,FAHA NATIONAL SCHOOL,primary,,213
11409V,BALLYCONELL CENTRAL N S,primary,,25
11419B,SCOIL BHREANAINN,primary,,60
11422N,MAHOONAGH N S,primary,,223
11453B,LISNAMROCK N S,primary,,66
11466K,LISMOIL N S,primary,,17
11470B,SLIEVEARDAGH N S,primary,,30
11496T,Shandrum National School,primary,,143
11517B,CAVAN 1 N S,primary,,71
11525A,ST PATRICKS N SCHOOL,primary,,495
11541V,DROMAILI S N,primary,,226
11578V,CITY QUAY NS,primary,,155
11583O,ST ANDREWS N S,primary,,223
11605V,ROSEGREEN N S,primary,,145
11638N,WHITECHURCH NAT SCHOOL,primary,,213
11649S,NUNS CROSS N S,primary,,158
11669B,S N NAOMH BRID,primary,,44
11714D,BANSHA N S,primary,,32
11725I,BEHEYMORE N S,primary,,227
11746Q,CASTLEGREGORY MXD N S,primary,,138
11765U,DOONBEG N S,primary,,56
11809O,S N CNOCH A DEAGA,primary,,28
11834N,CLOONDAFF N S,primary,,23
11843O,S N NEILL MOR,primary,,196
11872V,CLOCHAR NA TOIRBHIRTE,primary,,304
11873A,RATHMICHAEL N S,primary,,218
11893G,ST DAVIDS NS,primary,,93
11894I,SCOIL MHUIRE,primary,,278
11931L,S N IOSEPH,primary,,8
11943S,BALLINLOUGH N S,primary,,16
11955C,COOLCAPPA N S,primary,,41
11969N,CARRICKBEG N S,primary,,113
11976K,SCOIL CHÓCA NAOFA,primary,,395
11978O,SCOIL MHUIRE NS,primary,,79
11986N,CONVENT OF MERCY,primary,,438
11990E,BODYKE N S,primary,,31
11992I,WHITEGATE MIXED N S,primary,,75
12003V,S N RONAIN,primary,,37
12007G,OUR LADY OF GOOD COUNSEL GNS,primary,,209
12012W,ST LUKES N S DOUGLAS,primary,,227
12014D,ST ANDREWS N S,primary,,423
12015F,LISCARROL N S,primary,,186
12041G,ST JOHN THE BAPTIST N S,primary,,215
12068D,OUR LADY OF MERCY NS,primary,,323
12077E,SCOIL NAOMH FIACHRA,primary,,552
12095G,S N NAOMH ANTOINE,primary,,24
12099O,BILLIS N S,primary,,86
12106I,S N NAOMH PADRAIG,primary,,21
12124K,REAR N S,primary,,58
12136R,SCOIL BHRÍDE,primary,,28
12138V,S N CEATHRU NA LAITHIGH,primary,,53
12140I,St Joseph's National School,primary,,8
12147W,S N AN AIRD,primary,,80
12169J,TEMPLEBRADY N S,primary,,57
12171T,CORBALLA N S,primary,,112
12173A,MEELICKMORE N S,primary,,65
12180U,PRESENTATION PRIMARY SCHOOL,primary,,265
12182B,St. John's National School,primary,,44
12203G,S N NAOMH ANTAINE,primary,,741
12206M,S N NAOMH PADRAIG,primary,,156
12231L,RUSH HALL MIXED N S,primary,,41
12259K,S N OIR CHEANN,primary,,25
12263B,GOGGINSHILL N S,primary,,224
12281D,WALTERSTOWN N S,primary,,213
12292I,CANOVEE MIXED N S,primary,,168
12294M,ST CRONANS MIXED N S,primary,,64
12312L,DARLEY N S,primary,,110
12339I,S N INIS MEADHOIN,primary,,14
12343W,SHINRONE MIXED N S,primary,,120
12349L,S N MUIRE NA NAINGEAL,primary,,406
12350T,S N NA HAILLE,primary,,128
12354E,CLOGHER MXD N S,primary,,35
12358M,SWORDS BOROUGH N S,primary,,106
12368P,S N NAOMH PADRAIG,primary,,40
12370C,ST BRENDANS MONASTERY,primary,,193
12373I,S N EACHLEIME,primary,,44
12382J,CURRIGLASS NS,primary,,57
12383L,UNION HALL MIXED N S,primary,,81
12395S,RUSHEEN NS,primary,,84
12413R,DONAGHMORE N S,primary,,36
12446J,S N GLEANN NA HULADH,primary,,89
12447L,BALTYDANIEL N S,primary,,215
12448N,GARDINER STREET CONVENT,primary,,407
