S-ID,Name,Type,Ranking,Num Pupils
13804O,S N NA CRANNAIGHE,primary,,16
13811L,CORCREAGH N S,primary,,38
13815T,HOWTH RD MXD N S,primary,,98
13819E,PRIMROSE HILL NS,primary,,114
13821O,S N NA NAOMH UILE,primary,,17
13826B,KILMIHIL N.S.,primary,,96
13828F,DOUGLAS B N S,primary,,387
13831R,MOYLOUGH N S,primary,,122
13839K,CARRICK N S,primary,,68
13847J,HOLLYFORD N S,primary,,41
13856K,BUSHY PARK N S,primary,,365
13867P,ROSCREA N S NO 2,primary,,29
13870E,KILKISHEN N S,primary,,132
13872I,ROBERTSON N S,primary,,54
13876Q,MOVEEN N S,primary,,57
13879W,SLATTA N S,primary,,26
13882L,S N GLEANN NA MUAIDHE,primary,,12
13889C,SHANBALLY N S,primary,,213
13902O,HEWETSONS N S,primary,,87
13908D,BALLAGHAMEEHAN N S,primary,,28
13910N,S N BUN AN TSABHAIRNE,primary,,219
13914V,SCOIL NAOMH IOSEF,primary,,250
13927H,INISHBOFIN N S,primary,,13
13940W,ENNISCRONE N S,primary,,126
13942D,S N CILL MUIRE,primary,,96
13952G,S N BHRIDE,primary,,15
13976U,ST MATTHIAS N S,primary,,27
13978B,S N NAOMH PADRAIG,primary,,36
13980L,S N B TOGHER CORK,primary,,271
13991Q,BIRDHILL N S,primary,,140
13999J,KILNAMANAGH Community National School,primary,,15
14000C,SCOIL NAOMH MHUIRE,primary,,310
14002G,KNOCKACLARIG MXD N S,primary,,47
14005M,KILTEELY N S,primary,,21
14008S,S N BHRIDE,primary,,84
14014N,S N BAILE DEASMUMHAN,primary,,95
14022M,COACHFORD N S,primary,,109
14031N,CARNAIN N.S.,primary,,108
14045B,CARYSFORT MXD N S,primary,,212
14049J,WHITEHALL N S,primary,,120
14051T,STOKANE NS,primary,,40
14052V,KANTURK B N S,primary,,104
14056G,MOUNT TALBOT N S,primary,,16
14064F,S N COILL AN BHAILE,primary,,22
14067L,FEDAMORE N S,primary,,20
14069P,DUN DEALGAN N S,primary,,86
14071C,DRUMGOSSETT N S,primary,,92
14073G,CASTLETARA N S,primary,,190
14075K,S N MOLUA B,primary,,83
14107U,CASTLETOWNROCHE N S,primary,,85
14111L,CROSS N S,primary,,3
14116V,KILBRITTAIN MIXED N S,primary,,203
14164J,S N LIOS MOR MOCHUDA,primary,,23
14180H,HOLMPATRICK N S,primary,,80
14181J,POULACAPPLE N S,primary,,55
14188A,BARNATRA N S,primary,,22
14193Q,S N Dhumha Thuama,primary,,27
14194S,SCOIL CHOLMCILLE,primary,,126
14205U,S N MAINISTIR MUIGHEO,primary,,87
14207B,SN CHILL SARAIN,primary,,189
14211P,S N LATHRACH 2,primary,,143
14225D,SCOIL BHRIDE,primary,,78
14227H,KILCOE NS,primary,,37
14231V,NICKER N S,primary,,137
14252G,CALLYSTOWN MIXED N S,primary,,319
14254K,S N MHUIRE,primary,,167
14258S,CILL MHOR IORRAIS,primary,,46
14260F,ABBEYLEIX STH N S,primary,,106
14269A,JONATHAN SWIFT NS,primary,,42
14273O,S N PADRAIG NAOFA,primary,,35
14278B,SCOIL NAOMH PADRAIG,primary,,62
14290O,SCOIL NAOMH BRID,primary,,69
14294W,BRIERFIELD N SCHOOL,primary,,82
14300O,KILLASONNA MIXED N S,primary,,50
14303U,S N CLEIRE,primary,,7
14305B,BALLYLANDERS N S,primary,,135
14320U,CORLEA N S,primary,,30
14336M,SEARCOG I N S,primary,,199
14339S,AUGHAVAS NS,primary,,34
14348T,CARRICKLECK N S,primary,,35
14356S,LISANISKEY N S,primary,,97
14366V,LOUGHFOUDER N S,primary,,31
14377D,S N CILL CONAILL,primary,,62
14383V,S N PADRAIG NAOFA,primary,,125
14386E,STONEPARK N S,primary,,230
14394D,S N CILL FHEICIN,primary,,65
14398L,GLEBE NS,primary,,203
14399N,KILLYGARRY N S,primary,,215
14409N,SCOIL NEASSAIN,primary,,708
14420B,S N NAOMH PADRAIG,primary,,26
14421D,S N ARD,primary,,33
14426N,KNOCKAVILLA N S,primary,,113
14430E,DERRYCREHA N S,primary,,34
14433K,ABBEYSTREWRY N S,primary,,113
14448A,CLOUGHANOWER N S,primary,,87
14450K,ST FEIGHANS MXD N S,primary,,107
14460N,KILLEA N S,primary,,32
14463T,ST COLUMBAS N S MXD,primary,,124
14468G,KILMALEY N S,primary,,107
14476F,WANDESFORDE MIXED N S,primary,,58
14492D,CURRACLOE N S,primary,,94
14497N,S N B CURNANOOL,primary,,54
14502D,SCOIL MHUIRE B&C,primary,,115
14534Q,GORTJORDAN N S,primary,,21
14556D,ST ENDAS PRIMARY SCHOOL,primary,,124
14568K,KILLEA BOYS N S,primary,,98
14571W,TOMGRANEY N S,primary,,64
14578N,SCOIL NAOMH FAINCHE,primary,,221
14586M,CARYSFORT NS,primary,,596
14590D,AINBHTHIN NAOFA,primary,,227
14622N,EIDHNEACH N S,primary,,151
14625T,DOON CONVENT N S,primary,,120
14631O,SCOIL CHOLMCHILLE,primary,,86
14636B,CARRAROE N S,primary,,374
14642T,S N MHUIRE,primary,,78
14643V,S N NA CLOICHE MOIRE,primary,,21
14647G,DALKEY N S (2),primary,,99
14650S,CLOONTAGH MIXED N S,primary,,19
14651U,CASTLETOWN RD CONVENT,primary,,192
14668O,BALLAGHKEENE N S,primary,,128
14672F,COLEHILL MIXED N S,primary,,119
14679T,S N BAILE BUILEARAIGH,primary,,250
14684M,AUGHRIM N S,primary,,41
14704P,MURROE NATIONAL SCHOOL,primary,,27
14712O,SN AN FHAIRCHE,primary,,49
14717B,RATHGAR N S,primary,,91
14724V,SCOIL RONAIN,primary,,30
14726C,KINSALE N S,primary,,108
14732U,SCOIL BHRIDE,primary,,94
14767Q,AGHACASLA N S,primary,,98
14777T,KILMYSHALL N S,primary,,143
14784Q,DUNMANWAY BOYS SENIOR NATIONAL SCHOOL,primary,,85
14791N,CAPPAWHITE N S,primary,,130
14808E,IRISHTOWN N S,primary,,61
14813U,ROSCARBERY CON N S,primary,,114
14816D,SCOIL LACHTAIN NAOFA,primary,,89
14829M,Scoil San Eoin,primary,,33
14830U,BAREFIELD MIXED N S,primary,,386
14837L,S N PEADAR AGUS POL,primary,,280
14838N,MARYBORO N S,primary,,91
14839P,CLONDROHID N S,primary,,222
14863M,ACHILL SOUND CONVENT NS,primary,,17
14873P,DOOKINELLA N.S.,primary,,25
14898I,DRUMEELA N S,primary,,22
14900P,GUSSERANE N S,primary,,94
14903V,ST JOSEPHS N S,primary,,200
14909K,ST LEONARDS N S,primary,,121
14910S,St Mary's National School,primary,,124
14917J,ZION PARISH PRIMARY SCHOOL,primary,,93
14925I,S N NAOMH EOIN,primary,,30
14939T,RATHFARNHAM PARISH N S,primary,,227
14941G,RAY N S,primary,,64
14952L,MUIRE GAN SMAL,primary,,113
14966W,KILTEEVAN N S,primary,,32
14972R,ALL SAINTS NATIONAL SCHOOL,primary,,21
14980Q,GLASNEVIN N S,primary,,84
14987H,S N AN CHLOCHAN,primary,,35
14989L,PASSAGE EAST N S,primary,,76
14993C,S N RAE NA NDOIRI,primary,,26
14998M,LYRE A CROMPANE N S,primary,,17
15004P,SCOIL ASICUS,primary,,256
15008A,SHRONELL N S,primary,,61
15014S,CORCLOUGH NS,primary,,82
15027E,S N NA HEAGLAISE,primary,,38
15030Q,ST MARYS N S,primary,,97
15032U,S N MUIRE GAN SMAL,primary,,23
15033W,S N TREASA NAOFA MXD,primary,,145
15040T,MERCY CONVENT PRIMARY SCHOOL,primary,,559
15042A,ENNIS N S,primary,,640
15043C,Scoil Na nAingeal Naofa,primary,,270
15045G,S N NAOMH PADRAIG,primary,,49
15046I,ST STEPHENS N S,primary,,410
15056L,S N SAN VINSEANN CAILIN,primary,,244
15071H,S N CILLINI DIOMA,primary,,86
15101N,KNOCKBRIDGE MIXED N S,primary,,301
15104T,SCOIL BHRÍDE,primary,,402
15113U,S N SHEAMAIS,primary,,19
15116D,ARDVARNEY MXD N S,primary,,33
15120R,KILLYCONNAN N S,primary,,84
15122V,ST BERNARDS MIXED N S,primary,,30
15132B,HAROLD BOYS N S,primary,,132
15135H,BANTRY BOYS SENIOR NATIONAL SCHOOL,primary,,122
15140A,BALLINGREE MXD N S,primary,,49
15142E,NAOMH MICHEAL,primary,,76
15143G,LISDOONAN N S,primary,,145
15154L,NAOMH DOMINIC N S,primary,,167
15157R,MOUNT BRUIS N S,primary,,70
15160G,THE ROWER MIXED N S,primary,,171
15165Q,BALLINTOTAS N S,primary,,122
15170J,CASHELSHANAGHAN N S,primary,,27
15177A,CARRIGDUFF NAT SCHOOL,primary,,86
15194A,NAOMH CAILLIN,primary,,89
15208I,Scoil an tStratha Mhóir,primary,,85
15217J,ARDKEERIN N S,primary,,122
15221A,ANNAGH N S,primary,,93
15226K,CAHERLINE N S,primary,,182
15253N,ST PATRICKS GIRLS NS,primary,,162
15255R,DON N S,primary,,57
15257V,QUIGNAMANGER N S,primary,,321
15259C,S N N MAOLMHAODHAGH C,primary,,276
15260K,S N N MAOLMHAODHAGH N,primary,,259
15279I,CLOONEY N S,primary,,81
15284B,TANEY N S,primary,,434
15285D,SC NA GCREAGACHA DUBHA,primary,,444
15291V,STREAMSTOWN MIXED N S,primary,,112
15299O,GAILE N S,primary,,33
15301V,KILDYSART N S,primary,,134
15307K,DALYSTOWN N S,primary,,96
15308M,ATHLEAGUE N S,primary,,75
15315J,ST GEORGES N S,primary,,391
15318P,GLENBEG N S,primary,,147
15320C,ST MICHAELS NS,primary,,121
15325M,CLONBULLOGUE N S,primary,,92
15329U,BUN SCOIL LOUIS NAOFA,primary,,277
15331H,S N BAILE NUA,primary,,84
15337T,S N MHUIRE,primary,,42
15340I,CARIGEEN N S,primary,,159
15342M,S N NAOMH MHUIRE,primary,,47
15346U,Scoil Abán Naofa,primary,,155
15350L,STONEHALL N S,primary,,113
15354T,CAMOLIN N S,primary,,106
15359G,SHILLELAGH NO 1 N S,primary,,30
15362S,S N MICHIL NAOFA,primary,,129
15367F,RIVERCHAPEL N S,primary,,360
15370R,KILLALOE BOYS N S,primary,,132
15378K,ROCKFIELD N S,primary,,216
15380U,DROMAGH MIXED N S,primary,,42
15382B,DRUMLEASE N S,primary,,142
15395K,MOUNT BOLUS N S,primary,,35
15407O,SN BAILE THOMAIS,primary,,80
15408Q,CONNOLLY N S,primary,,42
15410D,KILCROHANE N S,primary,,37
15413J,BRIDESWELL N S,primary,,58
15419V,OULART N S,primary,,175
15420G,BALLYCANEW N S,primary,,211
15425Q,FAIRYMOUNT N S,primary,,29
15431L,KILLAVILLE N S,primary,,24
15446B,TRUMMERA N S,primary,,36
15452T,KILDALLON N S,primary,,43
15456E,BALLYSHANNON N S,primary,,128
15475I,KILCONLY N S,primary,,129
15483H,ST LOUIS N S,primary,,42
15484J,GLOUNTHAUNE MIXED N.S.,primary,,447
15496Q,LEAFFONEY N S,primary,,8
15502I,KILLINKERE N S,primary,,156
15512L,ST BRIGID'S PRIMARY SCHOOL,primary,,231
15516T,CLONPRIEST N S,primary,,126
15523Q,S N NAOMH IOSEF,primary,,356
15531P,"SCOIL MHUIRE,",primary,,92
15532R,CROAGHROSS N S,primary,,9
15537E,S N BAILE FINN,primary,,233
15539I,ST JOHNS NS,primary,,35
15540Q,BALLYDUFF B 2 N S,primary,,124
15543W,TIBOHINE N S,primary,,51
15545D,CASTLEPLUNKETT N S,primary,,54
15550T,BALLYHEEDA N S,primary,,163
15554E,GORTNACART N S,primary,,16
15555G,SCOIL CHOLMCILLE,primary,,243
15556I,PRESENTATION PRIMARY SCHOOL,primary,,709
15557K,CLOONFAD N S,primary,,161
15560W,BISHOP HARTY NS,primary,,75
15562D,CLOCH AN TSIONNAIGH N S,primary,,82
15563F,LISHEEN MIXED N S,primary,,58
15569R,SCOIL MOIBHI,primary,,82
15571E,KILGLASS N S,primary,,124
15584N,GRANGE N S,primary,,29
15592M,SN CEANN TRA MEASCAITHE,primary,,60
15594Q,GRANGE FERMOY N S,primary,,148
15597W,MACROOM BOYS SENIOR NATIONAL SCHOOL,primary,,206
15614T,TAUGHMACONNELL N S,primary,,103
15618E,SANDFORD PARISH NATIONAL SCHOOL,primary,,231
15622S,ST PATRICKS NS,primary,,212
15625B,ST CATHERINES WEST N S,primary,,206
15627F,ST MURAS N S,primary,,214
15628H,ST JOSEPHS B N S,primary,,102
15638K,EDENDERRY 2 N S,primary,,66
15644F,TIERNABOUL N S,primary,,53
15646J,COOMHOLA N S,primary,,101
15650A,CORDUFF N S,primary,,97
15654I,KNOCKCONNON N S,primary,,119
15656M,BALLYKILMURRY N S,primary,,211
15664L,GRANLAHAN G N S,primary,,39
15676S,PADRAIG NAOFA N S,primary,,302
15680J,SCOIL AN SPIORAID NAOMH,primary,,291
15685T,ATHEA N SCHOOL,primary,,148
15692Q,BILBOA N SCHOOL,primary,,116
15696B,SILVERMINES N S,primary,,73
15700M,CLOVERFIELD N S,primary,,64
15701O,BARTLEMY N S,primary,,111
15718I,S N SEOSAMH COBH,primary,,361
15729N,RATHMULLEN N S,primary,,96
15763N,MOVILLE N S,primary,,54
15769C,MONASTEREVAN CONVENT,primary,,358
15770K,S N NAOMH NAILLE,primary,,99
15778D,ST MARYS N S,primary,,60
15781P,BALLINTEMPLE N S,primary,,226
15792U,UPPER GLANMIRE N S,primary,,321
15795D,ST MARYS N S,primary,,18
15796F,S N COR AN DROMA,primary,,87
15816I,ST VINCENTS INF BOYS,primary,,107
15835M,ST BRENDANS N S,primary,,218
15847T,S N LEITIR MHIC AN BHAIRD,primary,,31
15866A,CARRAKENNEDY N S,primary,,41
15870O,SCOIL CHONNLA PHADRAIG,primary,,343
15878H,DERRYQUAY MXD N S,primary,,39
15895H,DRUMCONDRA N S,primary,,58
15900U,THE GLEBE N.S.,primary,,19
15903D,KILLAVULLEN N S,primary,,139
15923J,CLONEYHURKE N S,primary,,30
15933M,CAMROSS N S,primary,,126
15937U,MONASEED N S,primary,,85
15940J,TOMBRACK N S,primary,,50
15945T,FIRIES MXD N S,primary,,273
15955W,SN ARAINN MHOR I,primary,,15
15957D,RATHANGAN B N S,primary,,288
15958F,ST. JOSEPHS N.S.,primary,,70
15960P,GORTLETTERAGH CENTRAL,primary,,66
15962T,BALLINDAGGIN N S,primary,,170
15963V,RATHGORMACK B N S,primary,,156
15967G,CRIMLIN N S,primary,,23
15970S,BALLYTARSNA N S,primary,,93
15978L,CURRAHEEN MXD N S,primary,,37
15980V,CAMCLOON N S,primary,,65
15981A,LAKYLE N S,primary,,80
15983E,S N NAOMH BROGAIN,primary,,84
15995L,Star of the Sea,primary,,325
15996N,RATHBANE N S,primary,,58
15997P,ST BRENDAN'S N.S.,primary,,56
16009H,CARRICK MIXED N S,primary,,82
16013V,EDENDERRY CONVENT N S,primary,,384
16014A,ST FINIANS,primary,,100
16021U,LISANISKA N S,primary,,77
16023B,RATHGAROGUE N S,primary,,195
16027J,S N MUIRE,primary,,73
16034G,TULSK N S,primary,,86
16044J,KILROSS N S,primary,,20
16052I,S N NAOMH PADRAIG SAILE,primary,,47
16054M,ST PATRICKS N S,primary,,172
16057S,CONVENT OF MERCY N S,primary,,165
16067V,SCOIL NAIS FININ NAOFA,primary,,64
16070K,MOUNTMELLICK BOYS N S,primary,,246
16071M,SCOIL CHROI NAOFA,primary,,353
16072O,NEWBAWN N S,primary,,131
16077B,ARDFINNAN N S,primary,,231
16080N,S N PHADRAIG NAOFA,primary,,249
16083T,VIRGINIA MXD N S,primary,,437
16087E,KEALKIL N S,primary,,176
16092U,ATHLONE N S,primary,,64
16093W,BALLYCONNELL MXD N S,primary,,172
16100Q,MERCY CONVENT N S,primary,,440
16108J,SCOIL NAOMH TREASA C,primary,,57
16109L,SCOIL REALT NA MARA,primary,,82
16111V,KILLUSTY N S,primary,,32
16112A,ST MARYS CONVENT,primary,,374
16113C,SN TOIN NA GAOITHE,primary,,57
16116I,S N NAOMH COLMAIN,primary,,215
16118M,DONOUGHMORE N S,primary,,203
16121B,ATTYMON N S,primary,,25
16122D,KNOCK N S,primary,,146
16127N,GORTHAGANNY N S,primary,,82
16128P,Bunscoil na Toirbhirte,primary,,335
16129R,CORCAGHAN N S,primary,,65
16130C,ST JOSEPHS N S,primary,,52
16136O,CLIFFONEY N S,primary,,67
16137Q,DRUMFAD N S,primary,,34
16138S,RAPHOE CENTRAL N S,primary,,197
16140F,SKEAGHVASTHEEN N S,primary,,98
16143L,S N PHEADAIR AGUS PHOIL,primary,,135
16145P,BUNSCOIL LORETO,primary,,699
16159D,Convent Girls Senior National School,primary,,272
16160L,CLONAGHADOO N S,primary,,106
16166A,CARRIG N S,primary,,66
16170O,CLOGHANS N S,primary,,28
16173U,KINAFFE N S,primary,,9
16177F,LINDSAY ROAD N S,primary,,91
16186G,INCH N S,primary,,92
16202B,Castleblayney Convent National School,primary,,140
16204F,S N AN MOININ RUA,primary,,124
16208N,Scoil Náisíunta Naomh Feichín,primary,,292
16211C,TWO MILE BORRIS N S,primary,,115
16217O,AN BHREAC CHLUAIN B,primary,,103
16230G,S N LISNAFUNCHIN,primary,,47
16237U,DROMTRASNA N S,primary,,168
16239B,MEENKILLY N S,primary,,84
16242N,S N DUMHACH BEAG,primary,,9
16246V,DRUMCLUGH N S,primary,,8
16249E,BELLURGAN N S,primary,,128
16250M,TEMPLETUOHY N S,primary,,60
16259H,KILCOLMAN N S,primary,,41
16264A,ABBEYFEALE B N S 1,primary,,128
16267G,ST PATRICKS BOYS NATIONAL SCHOOL,primary,,394
16269K,KILLASSER NS,primary,,28
16271U,WATERGRASSHILL N S,primary,,381
16276H,CARRIG N S,primary,,227
16279N,SCOIL CHOLUIM,primary,,19
16281A,SN NAOMH GOBNAIT,primary,,34
16283E,S N POL A TSOMAIS,primary,,24
16286K,CARRIGBOY N S,primary,,70
16289Q,ST JOHNS N S,primary,,57
16291D,CLOONCAGH N S,primary,,27
16293H,S N CILL RICHILL,primary,,56
16302F,ST BRIGIDS N S,primary,,176
16304J,MILLTOWNPASS N S,primary,,70
16311G,GRAIG NA MANACH BUAC,primary,,75
16316Q,ST MARYS N S,primary,,124
16319W,Castleblayney Convent Infants National School,primary,,181
16332O,ST PATRICKS SNR MIXED,primary,,350
16333Q,ST PATRICKS JNR MIXED,primary,,348
16334S,St. Bride's N.S.,primary,,87
16335U,RYLANE N S,primary,,82
16339F,S N IOSEF NAOFA,primary,,216
16340N,BALLINAGORE MIXED N S,primary,,102
16344V,ST MARYS JNR B N S,primary,,146
16345A,SCOIL BHRÍDE,primary,,216
16349I,S N AN DROIM MOR,primary,,231
16352U,ST BRIGIDS BOYS N S,primary,,484
16353W,ST BRIGIDS GIRLS N S,primary,,536
16357H,S N FHIONNTRA,primary,,43
16375J,FROSSES N S,primary,,87
16377N,St Marys National School,primary,,327
16379R,VALLEY N S,primary,,23
16384K,SN ARAINN MHOR II,primary,,19
16390F,SCOIL BHRIDE,primary,,84
16396R,BOHERBUE N S,primary,,186
16406R,BENNETTSBRIDGE NATIONAL SCHOOL,primary,,192
16409A,ST MARYS N S,primary,,212
16410I,BALLINDERRY N S,primary,,208
16427C,CLONOWN N S,primary,,29
16430O,Owning National School,primary,,100
16431Q,S N OILIBEAR BEANNAITHE,primary,,28
16435B,ST CIARANS MIXED N S,primary,,125
16439J,SCOIL NA MBEARNAN,primary,,33
16443A,SCOIL PADRAIG NAOFA B,primary,,210
16444C,SCOIL PADRAIG NAOFA C,primary,,222
16445E,ST PATRICKS NS,primary,,76
16456J,SCOIL NAISIUNTA EIRC,primary,,54
16458N,INVER N S,primary,,26
16461C,CAISLEAIN NUA LIAMHNA,primary,,582
16464I,CASTLEBLAKENEY N S,primary,,54
16469S,ST NICHOLAS MONASTERY NS,primary,,169
16471F,ST DAVADOGS N S,primary,,32
16474L,CARRIGALLEN N S,primary,,135
16485Q,ST BRENDANS MIXED N S,primary,,60
16492N,RATHLEE N S,primary,,61
16508C,SCOIL ATHAIN,primary,,174
16520P,ST MARY'S N.S.,primary,,61
16549Q,SCOIL NAOIMH PIO,primary,,68
16562I,KNOCKANILLO N S,primary,,37
16566Q,SCOIL NAOMH BRID,primary,,410
16573N,ST BRIGIDS SCHOOL,primary,,493
16577V,ST BRIGIDS CONVENT,primary,,469
16596C,ST FEICHINS N SCHOOL,primary,,43
16603T,S N AN CHILLIN,primary,,18
16605A,KILRANE N S,primary,,329
16608G,KILLYBEGS COMMON N S,primary,,70
16611S,GLENTOGHER CON N S,primary,,19
16617H,BALLYADAMS N S,primary,,111
16618J,MYNA N S,primary,,98
16620T,DAINGEAN N S,primary,,250
16629O,KILTERNAN CHURCH OF IRELAND NS,primary,,211
16634H,ST LAURENCE O'TOOLE'S NS,primary,,311
16635J,Scoil Náisiúnta Naomh Pádraig,primary,,68
16636L,CURRAGH CAMP G N S,primary,,75
16639R,SN DEAGHAN O CEALLAIGH,primary,,107
16642G,St Francis' National School,primary,,119
16646O,ST MARYS CONVENT N S,primary,,580
16648S,ATH TREASNA G N S,primary,,120
16651H,ST CLARES CONVENT N S,primary,,282
16654N,S N BRIGHDE,primary,,213
16655P,ST. NICHOLAS PRIMARY SCHOOL,primary,,392
16659A,ST COLUMBAS CON G & I,primary,,392
16664Q,BRUCKLESS N S,primary,,17
16665S,ST MARYS MIXED N S,primary,,230
16667W,TOBAR AN LEINN,primary,,108
16671N,S N CNOC NA NAOMH,primary,,90
16672P,ST PATRICKS N S,primary,,454
16673R,S N BAILE CUISIN,primary,,211
16675V,SCOIL NAOMH LUCAIS,primary,,600
16677C,BUNSCOIL NA MBRAITHRE,primary,,670
16680O,SCOIL COLMCILLE,primary,,217
16681Q,SCOIL NA MBRAITHRE BOYS SNR SCH,primary,,203
16683U,BISHOP MURPHY MEMORIAL BOYS SENIOR NATIONAL SCHOOL,primary,,126
16684W,SCOIL NA MBRAITHRE BOYS SENIOR SCHOOL,primary,,302
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,primary,,150
16703A,SCOIL NA MBRAITHRE,primary,,41
16705E,SCOIL PHADRAIG NAOFA,primary,,621
16706G,ST JOSEPHS NS,primary,,401
16707I,SCOIL NAISIUNTA NAOMH PHEADAR,primary,,240
16712B,SCOIL NAOMH IOSAF,primary,,154
16713D,SCOIL NA MBRAITHRE,primary,,56
16715H,ST JOHN THE BAPTIST BOYS N S,primary,,32
16722E,SCOIL CHOLMCILLE,primary,,372
16725K,S N MHUIRE NA MBRAITHRE,primary,,155
16727O,SCOIL NA MBRAITHRE,primary,,259
16728Q,ST MARYS N S,primary,,213
16729S,ST PETER AND PAUL,primary,,353
16732H,SCOIL NAOMH SEOSAMH,primary,,132
16744O,BOHESHILL MXD,primary,,31
16746S,BALLYGARVAN N S,primary,,390
16748W,S N NA CILLE,primary,,147
16749B,SCOIL MHUIRE GAN SMÁL,primary,,209
16750J,PAROCHIAL N S,primary,,86
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,primary,,333
16754R,ST VINCENTS CONVENT INF N S,primary,,396
16756V,S N BRIGHDE,primary,,114
16759E,S N MHUIRE NA MBRATHAR,primary,,357
16760M,DROMISKIN MIXED N S,primary,,237
16762Q,S N IDE NAOFA,primary,,345
16763S,S N GLASAIN,primary,,27
16764U,KILMEEDY N S,primary,,21
16767D,CORONEA N S,primary,,22
16769H,LATNAMARD N S,primary,,93
16774A,SCOIL EOIN BÁISTE,primary,,102
16777G,S N NMH MHUIRE,primary,,94
16779K,SCOIL CAITLIN NAOFA,primary,,20
16780S,CULMORE N S,primary,,46
16781U,COOLBOCK N S,primary,,12
16786H,ST BRIGIDS PRIMARY SCHOOL,primary,,263
16789N,ST ORANS N S,primary,,212
16790V,S N NAOMH SEOSAMH,primary,,85
16792C,ST BRIGIDS CONVENT N S,primary,,422
16794G,ST BRIGIDS N S,primary,,101
16802C,CEANN EITIGH N S,primary,,115
16804G,SN CHLAIR NA GAILLIMHE,primary,,315
16810B,EOCHAILLE ARA N S,primary,,112
16811D,KILLALA N S,primary,,98
16815L,S N NAOMH CEITHEACH,primary,,29
16817P,BRANNOXTOWN COMMUNITY N S,primary,,21
16818R,SN NA LEANAI,primary,,73
16819T,S N GORT AN CHOIRCE,primary,,40
16820E,Scoil Cholmcille,primary,,229
16821G,CLOCHAR PADRAIG NAOFA,primary,,134
16823K,MIN A GHABHANN N S,primary,,30
16825O,KILBRIDE NATIONAL SCHOOL,primary,,333
16827S,SCOIL SAN LIONARD,primary,,135
16828U,S N BEARNA NA H-AILLE,primary,,168
16829W,S N LOCH AN IUBHAIR,primary,,37
16832L,MUIRISC NS,primary,,24
16833N,KILTEALY N S,primary,,93
16836T,NAOMH BRIDHID,primary,,104
16837V,S N DUCHORAIDH,primary,,15
16838A,ST. COLMCILLE'S N.S.,primary,,240
16841M,S N NMH BRIGHDE,primary,,206
16842O,Annyalla National School,primary,,205
16844S,SCOIL N. BREANDAN,primary,,205
16845U,RATHCOFFEY N S,primary,,223
16850N,ST GARVANS N.S.,primary,,32
16854V,BUNCRANA N S,primary,,26
16857E,S N NAOMH UINSEANN,primary,,94
16860Q,CORPUS CHRISTI N S,primary,,439
16863W,DESERTSERGES N S,primary,,5
16865D,CLONTUBRID MIXED N S,primary,,58
16868J,BAILE NA GCEALLACH N S,primary,,139
16869L,S N AN BHREACAIGH,primary,,35
16871V,S N AN CHROI NAOFA,primary,,272
16872A,CRONAN NAOFA N S,primary,,513
16875G,S N NAOMH PADRAIGH,primary,,197
16876I,S N CAIPIN,primary,,109
16879O,S N CLOCHAR MHUIRE,primary,,204
16880W,SCOIL NAOMH COLMCHILLE,primary,,167
16885J,ADRIGOLE N S,primary,,22
16893I,S N NAOMH LORCAN,primary,,447
16896O,SCOIL NAOMH IDE,primary,,23
16898S,S N BREANDAN NAOFA,primary,,202
16903I,S N FOTHAR,primary,,39
16904K,S N LAINN CILLE,primary,,64
16908S,SIXMILEBRIDGE N S,primary,,534
16910F,SCOIL IOSAGAIN,primary,,195
16911H,S N LEATH ARDAN,primary,,65
16913L,SCOIL NA NAOINEAN,primary,,70
16914N,BAILE COIREIL N S,primary,,102
16917T,NAOMH PADRAIG MEASC,primary,,197
16921K,S N BEAL ATHA NA NEACH,primary,,217
16923O,URBLESHANNY N S,primary,,291
16924Q,CAOIMHIN NAOFA N S,primary,,130
16927W,S N NAOMH SHEOSAIMH,primary,,25
16928B,S N NAOMH PHILOMENA,primary,,177
16930L,SCOIL AN SRAITH S N,primary,,20
16932P,AUGHAWILLAN NS,primary,,32
16933R,LOCH MOR MAIGH N S,primary,,89
16936A,S N NAOMH PADRAIG,primary,,228
16937C,S N FHURSA,primary,,260
16938E,FR CULLEN MEMORIAL N S,primary,,191
16940O,DUNDAR MHUIGHE N S,primary,,230
16943U,NIOCHLAS N S,primary,,288
16945B,LISGRIFFIN N S,primary,,23
16946D,SN AN PHAIRTIN MIXED,primary,,326
16950R,S N AN CARRAIG LIATH,primary,,92
16954C,SCOIL MHICHIL,primary,,31
16955E,S N NA MONA FLICHE,primary,,54
16959M,S N CORRABHA,primary,,16
16961W,KILCUMERAGH N S,primary,,81
16964F,SCOIL MHUIRE OGH 1,primary,,236
16966J,SCOIL NAISIUNTA STRATFORD,primary,,93
16968N,S N BLAITHIN IOSA,primary,,41
16970A,ST MOLAGA SENIOR NS,primary,,468
16972E,S N PEADAR AGUS POL N,primary,,440
16976M,S N DEAGLAN,primary,,427
16979S,ST COLMCILLES PRIMARY SCHOOL,primary,,108
16982H,S N ATH EASCRACH CHUAIN,primary,,3
16983J,S N NAOMH CILLIN,primary,,38
16984L,S N NAOMH SHEOSAMH,primary,,114
16988T,CHRIST THE KING B N S,primary,,108
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,primary,,99
16990G,S N NAOMH CALLIN,primary,,76
