P-ID,P-Lat,P-Long,G-ID,G-Lat,G-Long,Closest Garda Station (km),# Garda Stations < 5km
4432540,52.447353899999996,-6.346930299999999,20186,52.445403743924864,-6.348827335442853,0.251863552433378,1.0
4454727,52.59939749999999,-8.806099099999997,20424,52.56390329138765,-8.792062355964722,4.054352153155855,1.0
4432817,51.59762,-9.568404,20348,51.62054463412344,-9.52396124087452,3.9874443782809808,1.0
4448747,53.3054493,-6.2031515,2044,53.299755743243644,-6.177501074750233,1.817957934113747,6.0
4440864,51.821931,-8.403391300000001,20295,51.81483163716114,-8.391541786483225,1.1335603801256493,1.0
4416307,52.80825180000001,-6.1386046,20183,52.796281485424636,-6.154621812337727,1.71076147151945,1.0
4452303,53.6108671,-6.2106118,2072,53.61433456287878,-6.191175749225228,1.3386986407767487,1.0
4459106,53.34119889999999,-6.3067438,204,53.341866088698616,-6.304265488048896,0.18044691818599068,13.0
4454626,53.04156769999999,-7.2949182,20111,53.03165190702914,-7.303075277516881,1.2289000883501116,1.0
4451959,53.4039338,-6.2087414,2023,53.39033617695974,-6.2010965283261825,1.592967111062615,6.0
4362906,53.302971299999996,-6.2023183,2044,53.299755743243644,-6.177501074750233,1.687350879340207,6.0
4452916,53.34146260000001,-6.2282810999999985,206,53.33824379520832,-6.2233342013018405,0.48544937144146955,11.0
4443054,52.6516712,-7.2555838,20228,52.652442997986824,-7.259726713038376,0.29231705250541334,1.0
4448470,53.2728517,-6.255246400000001,2045,53.28954478038918,-6.242572650503322,2.0364353559583708,3.0
4436719,53.390475300000006,-6.257431400000001,2019,53.38973030936633,-6.2516299625101635,0.39350585234001517,12.0
4432167,53.160723100000006,-7.210959600000002,20114,53.1591630733976,-7.187796239442557,1.5540061492597037,1.0
4463026,52.78520049999999,-6.173267999999998,20183,52.796281485424636,-6.154621812337727,1.7568492701196405,1.0
4450643,53.39427930000001,-6.262922499999998,2021,53.39453438574936,-6.263700506565392,0.05885367817675924,10.0
4457488,52.65622239999999,-7.2467553,20228,52.652442997986824,-7.259726713038376,0.9704318826340615,1.0
4451990,52.67472799999999,-7.2553937999999984,20228,52.652442997986824,-7.259726713038376,2.4920987049496057,1.0
4465874,53.3955103,-6.2840083999999985,2021,53.39453438574936,-6.263700506565392,1.3508706797051273,7.0
4454631,52.9502365,-6.8597114,20161,52.90922129309997,-6.8491727247856815,4.609545045666816,1.0
4460922,54.10075819999999,-7.853509499999999,20695,54.05459793808792,-7.796963450876149,6.316031549552997,0.0
4420206,52.7514416,-7.8165569,20272,52.796629103701676,-7.835080794476258,5.1708119713639205,0.0
4445981,51.744201200000006,-8.7374755,20335,51.74508552912841,-8.739865287047339,0.19161283487803207,1.0
4465945,53.333749100000006,-7.069731699999998,20138,53.336833484932576,-7.060814757366147,0.6840237235625,1.0
4458713,51.868405100000004,-8.7999722,20366,51.85865435874869,-8.801265502565755,1.0864757926497086,2.0
4465994,52.654145400000004,-7.2447879,20228,52.652442997986824,-7.259726713038376,1.0252804174392662,1.0
4442344,51.954948200000004,-7.849220499999999,20332,51.9480639626009,-7.842756327526685,0.8835919527242359,1.0
4463548,51.7010826,-9.613254300000001,20347,51.7505606510226,-9.550705866748158,6.982173683732869,0.0
4421491,52.3449916,-7.6747331999999995,20251,52.3540903187082,-7.6999390807841275,1.9880009602698367,1.0
4468442,52.650158999999995,-7.252908000000001,20228,52.652442997986824,-7.259726713038376,0.5252803553414886,1.0
4466520,52.67451429999999,-8.5025285,20416,52.71340537913159,-8.498474928493083,4.327769218948909,1.0
4409316,51.865083,-8.075021000000001,20329,51.862762729259615,-8.123500723217845,3.3388873511248853,1.0
4468649,53.464116000000004,-6.2050595,2025,53.45601931354164,-6.221114487383202,1.3922559506056211,3.0
4330367,52.6226681,-8.642603999999999,20419,52.65078254067142,-8.614977723066566,3.6365035953057663,2.0
4453915,52.30305560000001,-8.538611099999999,20315,52.24543957997241,-8.429619762632889,9.794491243210167,0.0
4444017,53.42723,-6.58392,20145,53.380814790291566,-6.5926923088028095,5.187651158742613,0.0
4380594,52.2717468,-6.4712273,20178,52.26964937312631,-6.384843635870392,5.882484649030274,0.0
4447943,53.7082542,-6.342331,2047,53.71506055975043,-6.35664699113855,1.2079247112914384,1.0
4435632,53.4886674,-7.362329300000001,2083,53.52569844621908,-7.345952275009768,4.252962022699359,1.0
4276863,53.7297731,-6.6546164,2082,53.709683172021705,-6.547507903106839,7.392310899217648,0.0
4444497,52.097928100000004,-9.912240800000001,20390,52.05712150596323,-9.937064000613656,4.8388262689262795,1.0
4452936,52.3387021,-6.5333583,20172,52.335541940950115,-6.461992167659045,4.861426446363881,1.0
4464993,52.2215024,-6.3674124,20179,52.24874896037622,-6.334103759309023,3.78163893713208,1.0
4438125,52.055668,-9.4779536,20396,52.062401785506964,-9.512385205267984,2.469951811306001,1.0
4458104,52.2364067,-6.3216668,20179,52.24874896037622,-6.334103759309023,1.6111418277114338,1.0
4359058,52.66466379999999,-8.6535041,20418,52.673736457750906,-8.64482219040204,1.1653098288378396,3.0
4445010,53.0644309,-6.738808300000001,20164,53.05877818064921,-6.7010606533519015,2.5993733946329756,1.0
4445285,53.1302865,-6.7452790999999985,20148,53.12914139049575,-6.746567647749939,0.15350684468931325,1.0
