P-ID,P-Lat,P-Long,S-ID,S-Lat,S-Long,Closest School (km),# Sec Schools < 5km
4418269,53.58008620000001,-6.1096043,60010P,53.61257850000001,-6.185803400000001,6.189344005975549,0.0
4448428,53.6143851,-6.1922266,60010P,53.61257850000001,-6.185803400000001,0.4688088392130125,4.0
4466084,53.61194449999999,-6.1922387,60010P,53.61257850000001,-6.185803400000001,0.43031185479617856,4.0
4454496,53.61128660000001,-6.1827624000000005,60010P,53.61257850000001,-6.185803400000001,0.2466360245294189,4.0
4441619,53.576791899999996,-6.1118815999999985,60010P,53.61257850000001,-6.185803400000001,6.292501140019742,0.0
4466796,53.60724989999999,-6.1878796,60010P,53.61257850000001,-6.185803400000001,0.6074531958304036,4.0
4465495,53.6153281,-6.1968366999999995,60010P,53.61257850000001,-6.185803400000001,0.789266317050106,4.0
4436731,53.6178839,-6.1996077000000005,60010P,53.61257850000001,-6.185803400000001,1.0845741415222463,4.0
4457528,53.38810079999999,-6.1431208,60021U,53.3969916,-6.126854,1.4623479853314958,13.0
4468290,53.3907688,-6.131107599999999,60021U,53.3969916,-6.126854,0.7464498771761796,11.0
4455810,53.3049456,-6.1866866,60030V,53.3032244,-6.1911629999999995,0.35357183730675434,27.0
4448747,53.3054493,-6.2031515,60041D,53.3025696,-6.2049226,0.34078738457718977,33.0
4362906,53.302971299999996,-6.2023183,60041D,53.3025696,-6.2049226,0.17871041253640962,32.0
4445227,53.302758999999995,-6.210112400000001,60042F,53.302099399999996,-6.2063058,0.2633397973982963,36.0
4414362,53.2931252,-6.2066813,60050E,53.2926895,-6.202642099999999,0.27278758019499216,32.0
4455824,53.2865299,-6.1949296999999985,60050E,53.2926895,-6.202642099999999,0.8548551489397809,26.0
4455036,53.28949189999999,-6.1904629,60050E,53.2926895,-6.202642099999999,0.8839838824913805,28.0
4460199,53.2936372,-6.199054900000001,60050E,53.2926895,-6.202642099999999,0.260617284233404,30.0
4460161,53.29064079999999,-6.1986425,60050E,53.2926895,-6.202642099999999,0.3499137412533088,29.0
4465007,53.29042459999999,-6.197693900000001,60050E,53.2926895,-6.202642099999999,0.4140537088365626,28.0
4465715,53.29042459999999,-6.197693900000001,60050E,53.2926895,-6.202642099999999,0.4140537088365626,28.0
4450248,53.300791000000004,-6.1770667,60070K,53.3013306,-6.1892508,0.8118644779194912,25.0
4409386,53.29831020000001,-6.1948972,60070K,53.3013306,-6.1892508,0.5033062713004814,30.0
4457065,53.301713,-6.1777625999999985,60070K,53.3013306,-6.1892508,0.7645783300323644,25.0
4468354,53.29779050000001,-6.1827403,60070K,53.3013306,-6.1892508,0.5846054431476803,27.0
4444385,53.29831020000001,-6.1948972,60070K,53.3013306,-6.1892508,0.5033062713004814,30.0
4467495,53.2847194,-6.1822709000000025,60081P,53.287178000000004,-6.162801,1.3227485590922947,24.0
4420231,53.28899129999999,-6.170610700000001,60081P,53.287178000000004,-6.162801,0.5568167954225092,25.0
4449602,53.297063699999995,-6.1678422,60081P,53.287178000000004,-6.162801,1.1479059774538003,21.0
4415033,53.2967291,-6.1666362999999995,60081P,53.287178000000004,-6.162801,1.090955173387932,21.0
4466971,53.295922600000004,-6.1639545999999985,60081P,53.287178000000004,-6.162801,0.9742064918572768,21.0
4452684,53.2798986,-6.1591589,60081P,53.287178000000004,-6.162801,0.8439349675301372,20.0
4464470,53.27724789999999,-6.1449530999999995,60090Q,53.2773709,-6.130588200000001,0.9551951797856648,17.0
4450020,53.27978510000001,-6.1199376,60090Q,53.2773709,-6.130588200000001,0.7571807323445325,9.0
4435022,53.2695666,-6.1426178,60092U,53.269871499999994,-6.1571744000000015,0.9686072570063556,13.0
4419994,53.2668581,-6.1632764,60092U,53.269871499999994,-6.1571744000000015,0.5259992698833594,21.0
4436042,53.278765299999996,-6.1501923,60092U,53.269871499999994,-6.1571744000000015,1.0914187598283345,19.0
4462155,53.2693322,-6.1447103,60092U,53.269871499999994,-6.1571744000000015,0.831027244168823,14.0
4434533,53.2574228,-6.1566439000000015,60092U,53.269871499999994,-6.1571744000000015,1.3830136328006055,14.0
4461220,53.2669912,-6.149381299999999,60092U,53.269871499999994,-6.1571744000000015,0.6090315719546872,14.0
4459974,53.2643019,-6.1572324,60092U,53.269871499999994,-6.1571744000000015,0.6185767870469768,16.0
4419839,53.268543900000004,-6.1435160999999985,60092U,53.269871499999994,-6.1571744000000015,0.920178642778868,14.0
4438594,53.372337,-6.3848740999999976,60100Q,53.368281499999995,-6.3683856,1.1830036316875667,11.0
4466093,53.37213539999999,-6.346835,60100Q,53.368281499999995,-6.3683856,1.4924392774769812,18.0
4461713,53.37097660000001,-6.3776703,60100Q,53.368281499999995,-6.3683856,0.6848625067603709,13.0
4450595,53.37056170000001,-6.3785282999999975,60100Q,53.368281499999995,-6.3683856,0.7189911646521772,12.0
4459989,53.3773797,-6.3885022000000005,60100Q,53.368281499999995,-6.3683856,1.6739150658905235,11.0
4466780,53.36944449999999,-6.3837797,60100Q,53.368281499999995,-6.3683856,1.0294686234069583,11.0
4449001,53.281460100000004,-6.442824799999999,60121B,53.3202794,-6.3973505999999976,5.264874504778921,0.0
4461818,53.295703,-6.4943269999999975,60121B,53.3202794,-6.3973505999999976,6.997458838742444,0.0
4428058,53.2777,-6.4692425,60121B,53.3202794,-6.3973505999999976,6.722167416187607,0.0
4444245,53.3202145,-6.419308500000001,60121B,53.3202794,-6.3973505999999976,1.4584937910609783,5.0
4457691,53.3017544,-6.4790366,60121B,53.3202794,-6.3973505999999976,5.803784818936063,0.0
4409284,53.285284600000004,-6.4177254999999995,60121B,53.3202794,-6.3973505999999976,4.115624073443079,2.0
4433775,53.32731800000001,-6.4006016,60121B,53.3202794,-6.3973505999999976,0.8109870797744599,11.0
4463938,53.280106499999995,-6.4246947999999975,60121B,53.3202794,-6.3973505999999976,4.8174806426763945,2.0
4258602,53.28389,-6.4402111999999985,60121B,53.3202794,-6.3973505999999976,4.944170294197215,1.0
4462766,53.27918640000001,-6.4726107000000015,60121B,53.3202794,-6.3973505999999976,6.770631030099647,0.0
4444763,53.2833812,-6.4240905,60121B,53.3202794,-6.3973505999999976,4.466597992636084,2.0
4431524,53.32358780000001,-6.4003470999999985,60121B,53.3202794,-6.3973505999999976,0.4178743918883148,12.0
4465176,53.285498600000004,-6.432428,60121B,53.3202794,-6.3973505999999976,4.511539606831756,2.0
4449255,53.321123899999996,-6.4271783,60121B,53.3202794,-6.3973505999999976,1.9833973858493998,5.0
4461066,53.2784692,-6.445732,60121B,53.3202794,-6.3973505999999976,5.647924304745716,0.0
4468570,53.27742370000001,-6.4167609999999975,60121B,53.3202794,-6.3973505999999976,4.931295417319125,1.0
4461422,53.280989100000006,-6.4745029,60121B,53.3202794,-6.3973505999999976,6.732498733692576,0.0
4418811,53.2772456,-6.471842099999999,60121B,53.3202794,-6.3973505999999976,6.881001112127621,0.0
4344226,53.2785024,-6.4446841999999975,60121B,53.3202794,-6.3973505999999976,5.605525661781417,0.0
4447357,53.28428779999999,-6.4302532,60121B,53.3202794,-6.3973505999999976,4.556128118735803,2.0
4457806,53.302928099999995,-6.37247,60122D,53.32045260000001,-6.3931241,2.3813538840432327,11.0
4465022,53.31980279999999,-6.3827137,60122D,53.32045260000001,-6.3931241,0.6952317665732946,12.0
4434023,53.3253657,-6.3790638,60122D,53.32045260000001,-6.3931241,1.0815776646605195,15.0
4468553,53.331938,-6.377036799999999,60122D,53.32045260000001,-6.3931241,1.6639035394339583,15.0
4464270,53.304711499999996,-6.3720063,60122D,53.32045260000001,-6.3931241,2.2415383081646825,13.0
4441173,53.3183897,-6.3745664999999985,60122D,53.32045260000001,-6.3931241,1.2537579046039429,14.0
4468754,53.33266879999999,-6.378749900000001,60122D,53.32045260000001,-6.3931241,1.6589300211662152,16.0
4461517,53.2980532,-6.3793665,60122D,53.32045260000001,-6.3931241,2.650307000667701,7.0
4433827,53.28390770000001,-6.1127296,60130C,53.2795181,-6.0996002,0.9997778666598502,9.0
4441530,53.280198999999996,-6.1025765,60130C,53.2795181,-6.0996002,0.21183485881774888,9.0
4153283,53.2730174,-6.1055693999999985,60130C,53.2795181,-6.0996002,0.8238744132247297,9.0
4466280,53.29685929999999,-6.2214405,60140F,53.29308220000001,-6.2231361,0.4343616647194281,38.0
4464788,53.29827110000001,-6.2208533,60140F,53.29308220000001,-6.2231361,0.5959205829932591,38.0
4460034,53.291611100000004,-6.2295044000000015,60140F,53.29308220000001,-6.2231361,0.4537066128771981,38.0
4452086,53.294715599999996,-6.1451609000000005,60180R,53.2899387,-6.1482453,0.5687584829245861,16.0
4461700,53.2917397,-6.1361078000000004,60180R,53.2899387,-6.1482453,0.8311723422084053,17.0
4458197,53.295839,-6.1432059,60180R,53.2899387,-6.1482453,0.7359304054974424,16.0
4467850,53.2937046,-6.153956,60180R,53.2899387,-6.1482453,0.5647997044384583,18.0
4450195,53.2932417,-6.1420238,60180R,53.2899387,-6.1482453,0.552779509384701,17.0
4456181,53.28751459999999,-6.1504501,60180R,53.2899387,-6.1482453,0.3065275678359851,19.0
4456992,53.28647609999999,-6.1508650000000005,60180R,53.2899387,-6.1482453,0.4221483789435565,19.0
4450908,53.291655299999995,-6.1438136,60180R,53.2899387,-6.1482453,0.3508757894662026,17.0
4459853,53.267519799999995,-6.1702697,60240J,53.272407799999996,-6.175324099999999,0.6384959934219587,22.0
4433718,53.2667917,-6.1847772,60240J,53.272407799999996,-6.175324099999999,0.8855609336095164,21.0
4360176,53.278500199999996,-6.1673088,60240J,53.272407799999996,-6.175324099999999,0.8613111605166789,22.0
4462693,53.2667917,-6.1847772,60240J,53.272407799999996,-6.175324099999999,0.8855609336095164,21.0
4466262,53.2591167,-6.1269976999999995,60250M,53.2531446,-6.1140550000000005,1.0868216094619,11.0
