P-ID,P-Lat,P-Long,S-ID,S-Lat,S-Long,Closest School (km)
4432540,52.4473539,-6.346930299999999,14668O,52.4813346,-6.428579,6.6960768818728384
4454727,52.59939749999999,-8.806099099999997,06516S,52.6211635,-8.8115252,2.444869779058384
4432817,51.59762,-9.568404,12685E,51.60466,-9.62386,3.909144600549401
4448747,53.3054493,-6.2031515,17970F,53.3053299,-6.2002400999999985,0.19390075418585725
4440864,51.821931,-8.403391300000001,13512B,51.819619,-8.397267999999999,0.4930026659568443
4416307,52.80825180000001,-6.1386046,17181B,52.8087794,-6.1514547,0.8657083333396621
4452303,53.6108671,-6.2106118,20202A,53.6115353,-6.2064365,0.28525780331031025
4459106,53.34119889999999,-6.3067438,19589U,53.3440417,-6.3118291,0.46222658319494103
4454626,53.04156769999999,-7.2949182,76474B,53.0348752,-7.2989741,0.7911888863030764
4451959,53.4039338,-6.2087414,17104G,53.4032783,-6.2051212,0.25078820803099794
4362906,53.3029713,-6.2023183,60041D,53.3025696,-6.2049226,0.17871041253640962
4452916,53.34146260000001,-6.228281099999999,15253N,53.3433566,-6.225549299999999,0.2777357731958789
4443054,52.6516712,-7.2555838,19925K,52.6510632,-7.2560334000000015,0.07402142749537967
4448470,53.2728517,-6.255246400000001,19396J,53.2749281,-6.2579367,0.2918567198922273
4436719,53.39047530000001,-6.2574314000000015,81017A,53.39357920000001,-6.2634717,0.5284500045205858
4432167,53.16072310000001,-7.2109596000000025,68068R,53.1620053,-7.2038984,0.4918259588286194
4463026,52.78520049999999,-6.1732679999999975,20080M,52.7920796,-6.1741179000000015,0.7661132047180479
4450643,53.39427930000001,-6.2629224999999975,81017A,53.39357920000001,-6.2634717,0.08585929332896321
4457488,52.65622239999999,-7.2467553,13563S,52.6541454,-7.2447879,0.26611510445049985
4451990,52.67472799999999,-7.2553937999999984,17218V,52.6676289,-7.2511428,0.8388938349402457
4465874,53.3955103,-6.284008399999999,60511O,53.38940110000001,-6.286723,0.7019689200414029
4454631,52.9502365,-6.8597114,17787O,52.9732903,-6.8165606,3.8611285888784495
4460922,54.10075819999999,-7.853509499999999,06998Q,54.12356389999999,-7.7688977,6.069052659450526
4420206,52.7514416,-7.8165569,16933R,52.7564091,-7.829634299999999,1.0387171452817894
4445981,51.744201200000006,-8.7374755,20025E,51.74141510000001,-8.7308466,0.5513946951971646
4465945,53.33374910000001,-7.0697316999999975,20267F,53.33802610000001,-7.0714973,0.4892615360284202
4458713,51.8684051,-8.7999722,13234W,51.8463885,-8.788784199999998,2.562875862013158
4465994,52.6541454,-7.2447879,17108O,52.6543007,-7.2498694000000015,0.3431990039942204
4442344,51.9549482,-7.849220499999999,17794L,51.9542704,-7.847170699999999,0.1593649737389324
4463548,51.7010826,-9.6132543,05565D,51.6872472,-9.6648601,3.8745937871378233
4421491,52.3449916,-7.674733199999999,65330M,52.3503221,-7.6941296,1.4443950986890022
