Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_Property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Cultural_Amenity_to_Property,Culture_Amenity_id,Nearest_Cultural_Amenity_to_Property,Number_culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_Property,Number_indoor_Amenity_to_Property
4453449,53.33529720000001,-7.6309086,0.9308765436697127,-0.13318447998875096,8.94863996528926,Act5837,The Auld Shebeen,0.0,1.1580198322255053,Act1408,Clara Bog Visitor Centre,2.0,16.548912115392813,Act1508,Clonmacnoise Pottery,0.0,10.111166339398029,Act2186,Dún na Sí Amenity and Heritage Park Association,0.0,5.465344910805476,Act417,Ballard Organic Farm,0.0
4455370,53.3425103,-7.6134800999999985,0.9310024360139882,-0.13288029528006712,7.925019599600003,Act3566,Kilbeggan Distillery Experience,0.0,0.27164969712436116,Act1408,Clara Bog Visitor Centre,1.0,17.40775052961201,Act1508,Clonmacnoise Pottery,0.0,10.440453320838433,Act2186,Dún na Sí Amenity and Heritage Park Association,0.0,4.086342193445317,Act417,Ballard Organic Farm,1.0
4443540,53.3814745,-9.946887400000001,0.9316824895943938,-0.17360593545513825,2.477597113723236,Act4667,O’Dowd’s Seafood Bar and Restaurant,1.0,10.320461099667472,Act6944,West Galway School of Navigation,0.0,2.3053613842102503,Act5213,Roundstone Music and Crafts,1.0,0.5063762200082684,Act4952,Port na Feadóige (Gorteen Bay),1.0,10.714002614093298,Act5286,Sands Seaweed Spa at Connemara Sands Hotel,0.0
4461494,53.2942245,-7.1711744999999985,0.9301596898220287,-0.12516060626005807,9.661849267231032,Act4862,Patrick Larkin Bar & Lounge,0.0,11.802589336986323,Act2298,Edenderry Golf Club,0.0,23.0500922280535,Act3586,Kildare Village Outlet Shopping,0.0,14.920673479601858,Act4126,Lullymore Heritage  & Discovery Park,0.0,5.989594651663974,Act6153,The Irish Parachute and Skydiving Club,0.0
4462432,53.604639299999995,-6.787244800000002,0.9355774501289483,-0.11845976889886406,5.3636274950300065,Act836,Bounty Bar,0.0,5.253513304239495,Act2767,Glebe Golf Course,0.0,8.636269379400334,Act4586,Navan Shopping Centre,0.0,5.566996256407574,Act6713,Trim Visitor Centre,0.0,5.735836479853307,Act357,Aura Leisure Centre Trim,0.0
4437307,55.26604520000001,-7.6593964,0.9645744532960082,-0.1336816858954006,2.0694430464172546,Act3963,Lighthouse Tavern,2.0,3.3631387543554476,Act93,Adventure One Surf School,1.0,14.373850973683465,Act4294,McNutts Donegal Woollen Mill,0.0,2.0703212646186033,Act2444,Fanad Lighthouse,3.0,7.6819655971020655,Act484,Ballyhernan Beach Green Coast 2019,0.0
4448570,52.382090999999996,-6.4504529999999995,0.914239957029289,-0.11258164309514579,4.184969411284769,Act9982,River Bar & Restaurant at the Riverbank House Hotel,15.0,4.14652141873689,Act1829,Cycle Wexford - Bicycle Hire,4.0,0.18276157225982734,Act474,Ballyelland Pottery,3.0,4.6477987909596745,Act6945,West Gate Heritage Tower,3.0,3.4688438728405804,Act6542,The Wexford Slobs and Wildfowl Reserve,10.0
4451919,52.3450269,-6.472512,0.9135930664500006,-0.11296664527484322,0.7096600047420655,Act2925,Greenacres,19.0,0.09576043825209878,Act6975,Wexford Harbour Boat Club,6.0,0.8258317348610398,Act795,Blue Egg Gallery & Craft,4.0,0.5824134264346862,Act6945,West Gate Heritage Tower,3.0,0.21310739066691275,Act592,Bass Angling Ireland,12.0
4248419,52.841910999999996,-6.3400824999999985,0.9222653299958092,-0.11065531447307336,1.3759809262423783,Act348,Aughrim Country Fair,3.0,7.342645585671848,Act7106,Woodenbridge Golf Club,0.0,8.933968553601451,Act6246,The Mill at Avoca Village,0.0,7.091228750896375,Act3066,Hill Picket Studio,0.0,4.252951364921838,Act6531,The Wells Spa at Wicklow’s BrookLodge & Macreddin Village,1.0
4467717,52.65584789999999,-7.2534462,0.9190179162843417,-0.1265965183062711,0.14003673673166694,Act1445,Cleeres Pub,38.0,0.18492176527538404,Act5211,Rothe House Garden,18.0,0.286072929402305,Act6073,The Gourmet Store,8.0,0.18924091871945084,Act5210,Rothe House,24.0,0.49383663604481026,Act3616,Kilkenny Ghost Tours,18.0
