Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,0,Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Amenity_id,amenity,Number_Shopping_Amenity_to_Property
4432540,52.447353899999996,-6.346930299999999,0.9153790095136888,-0.11077483112959143,8.993599449095237,Act5349,Seán Ógs Bar,0.0,6.626818654073052,Act6490,The Surf Shack Curracloe,0.0,9.93190052450549,Act474,Ballyelland Pottery,0.0
4454727,52.59939749999999,-8.806099099999997,0.9180326709402739,-0.15369542355190935,4.046484729435193,Act354,Aunty Lena's Bar,3.0,1.9921150274939516,Act183,Angling Bleach Lough,7.0,4.002038185507788,Act79,Adare Woollens,4.0
4432817,51.59762,-9.568404,0.9005483551928766,-0.1670001539609955,2.399583472436104,Act689,Blairscove House & Restaurant,1.0,3.8506849439147564,Act5417,Sheep's Head Way,6.0,12.186098254348257,Act6487,The Stuffed Olive,0.0
4448747,53.3054493,-6.2031515,0.9303555995399065,-0.10826541767502502,0.561902178447215,Act4746,Old Punch Bowl Bar,90.0,0.8319046681099713,Act755,Blackrock Park,23.0,1.6988170922077213,Act6305,The Organic Supermarket,14.0
4440864,51.821931,-8.403391300000001,0.9044633206913175,-0.14666684651844658,1.14011378706695,Act9885,"Fig & Olive Café, Carrigaline",2.0,3.7603987745796816,Act5035,Raffeen Creek Golf Club,1.0,1.1455354181765711,Act3009,Hassett's Bakery,1.0
4416307,52.80825180000001,-6.1386046,0.9216778661322222,-0.1071388617480695,1.487460162410196,Act6819,Victorian Tea Times,3.0,2.1953951893419124,Act265,Arklow Golf Club,1.0,7.653826402583919,Act6246,The Mill at Avoca Village,0.0
4452303,53.6108671,-6.2106118,0.9356861457441041,-0.10839562447321156,4.335861445012637,Act243,Ardgillan Castle Café,3.0,2.488832767135328,Act407,Balbriggan Golf Club,2.0,12.833783469907324,Act229,Architectural Furniture,0.0
4459106,53.34119889999999,-6.3067438,0.9309795477661773,-0.11007344438973875,0.26223323838157,Act2139,Dublin Food Co-op Organic Food Market,376.0,0.24765977191614158,Act596,Battles and Barracks,91.0,1.59251414264302,Act6791,Urban Plant Life Garden Centre,66.0
4454626,53.04156769999999,-7.2949182,0.9257499967844757,-0.1273203412536582,0.8508125084050001,Act3478,Kavanaghs Pub - The Wrens Nest,5.0,0.8062055097371305,Act4139,M Kavanagh Bicycle Hire,1.0,26.788655683729335,Act1230,Castlecomer Estate Craft Yard,0.0
4451959,53.4039338,-6.2087414,0.9320744783270869,-0.10836297983488226,0.7096715937834153,Act1030,Café at Butlers Chocolate Experience,24.0,3.5866610284612146,Act1518,Clontarf Golf Club,7.0,2.817186801117193,Act4765,Omni Park Shopping Centre,1.0
4362906,53.302971299999996,-6.2023183,0.9303123502810421,-0.10825087559169741,0.7413451456043824,Act4746,Old Punch Bowl Bar,70.0,0.8663633842590864,Act755,Blackrock Park,19.0,1.5120165837264337,Act5698,Stillorgan Village Centre,13.0
4452916,53.34146260000001,-6.2282810999999985,0.9309841501994152,-0.10870401193473417,0.59360927456805,Act4453,Mourne Seafood Bar,390.0,0.2221972376378733,Act6491,Surfdock Watersports,94.0,0.7549181049133025,Act5985,The Design Tower,65.0
4443054,52.6516712,-7.2555838,0.9189450191174738,-0.12663382646436175,0.16053253974282752,Act6360,The Rafter Dempsey's,38.0,0.20106123880163962,Act4885,Pedal and Putt - Amazing Ireland Tours,18.0,0.10316990289368604,Act3955,Liam Costigan Gold and Silversmith,8.0
4448470,53.2728517,-6.255246400000001,0.9297866640916584,-0.10917464520352224,1.1625313198955693,Act4229,Marley Park Farmers Market,27.0,0.46356479388948246,Act6849,Walkabout Wicklow - Guided Walks and Tours in Ireland,24.0,1.1649381066543911,Act5028,Rachel Swan,5.0
4436719,53.390475300000006,-6.257431400000001,0.9318395831897074,-0.10921278064767831,0.589810201826126,Act2131,Dublin City University Conference and Events,112.0,2.233836485103323,Act2947,Griffith Park,30.0,0.7556023298728064,Act4765,Omni Park Shopping Centre,10.0
4432167,53.160723100000006,-7.210959600000002,0.9278296508360069,-0.12585498724829333,5.990879482155958,Act1267,CaToCa Fine Food and Giftware,0.0,2.402152146789822,Act4954,Portarlington Golf Club,1.0,19.629035555987485,Act3586,Kildare Village Outlet Shopping,0.0
4463026,52.78520049999999,-6.173267999999998,0.9212755450503569,-0.10774385220800528,1.9571596339078314,Act6293,The Old Ship,3.0,1.66317899420947,Act265,Arklow Golf Club,1.0,8.844329426871724,Act6246,The Mill at Avoca Village,0.0
4450643,53.39427930000001,-6.262922499999998,0.9319059755144533,-0.10930861842223454,0.1295940065298616,Act521,Ballymun Market,56.0,2.157380867218841,Act5444,Silloge Park Public Golf Course,20.0,1.1180422592453547,Act4765,Omni Park Shopping Centre,3.0
4457488,52.65622239999999,-7.2467553,0.9190244525423904,-0.12647974007134943,0.04236776811391714,Act1088,Campagne,38.0,0.48019799714501354,Act2838,DUPLICATE Go With The Flow River Adventures,18.0,0.16327487876615016,Act4831,Padmore & Barnes,8.0
4451990,52.67472799999999,-7.2553937999999984,0.9193474361924474,-0.12663051033878295,0.7382769892402439,Act5322,Scott's Bar and Gulliver's Restaurant,38.0,0.5356798382914774,Act3617,Kilkenny Golf Club,18.0,2.075738621921425,Act4831,Padmore & Barnes,8.0
4465874,53.3955103,-6.2840083999999985,0.9319274605175452,-0.10967663680298081,1.3625679990861321,Act521,Ballymun Market,31.0,2.289799126214289,Act5444,Silloge Park Public Golf Course,16.0,2.5191728954103314,Act4765,Omni Park Shopping Centre,2.0
