Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to_Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Culture_Amenity_to_Property,Culture_Amenity_id,Nearest_Culture_Amenity_to_property,Number_Culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_property,Number_Indoor_Amenity_to_Property
4448395,52.3986564,-8.5709354,0.914529078,-0.149591043,0.23709229,Act3699,Kilmallock Farmers Market,2,0.264932952,Act3698,Kilmallock Cycle Hub,2,9.041343086,Act5984,The Design and Craft Studio,0,0.490681424,Act3700,Kilmallock Medieval Tours,4,0.060342351,Act3697,"Kilmallock Churches, Castle and Town Gate",2
4466678,52.7184648,-7.6828058,0.920110787,-0.134090257,10.21125823,Act6582,Thurles Farmers Market,0,9.772778136,Act3578,Kilcommon Pilgrim Loop,0,26.35492081,Act5187,Rossa Pottery,0,9.19707162,Act3580,Kilcooley Abbey,0,15.59263028,Act2458,Farney Castle,0
4420096,53.5893117,-6.632648,0.935309933,-0.115761546,1.786806477,Act5771,Tara Na Ri Pub,3,0.454272387,Act5225,Royal Tara Golf Club,1,8.143123507,Act4586,Navan Shopping Centre,0,4.604777495,Act5494,Skryne Church,2,1.81235816,Act3065,Hill of Tara,1
4427145,53.7613063,-6.7940456,0.938311805,-0.118578465,6.550997143,Act6808,Vanilla Pod Restaurant,0,5.921079259,Act3021,Headfort Golf Club - New Course,0,13.75201758,Act4586,Navan Shopping Centre,0,6.769233484,Act5623,St Columba's Church,0,6.730537221,Act4539,Myths & Legends of the Boyne Valley  -  One Day Tour,0
4462443,53.2783482,-8.7609608,0.929882596,-0.152907612,2.41937495,Act2749,Gill’s Bar and Restaurant,4,5.159961242,Act2374,Esker Monastery Retreat,0,6.747958169,Act6041,The Foods of Athenry,0,2.547554434,Act308,Athenry Arts and Heritage Centre,2,3.359548711,Act1057,Caheroyan House and Farm,1
4460828,53.135337,-6.0795519,0.92738658,-0.106108198,0.795545029,Act6129,"The Horse & Hound, Delgany",9,0.508817344,Act5983,The Delgany Heritage Trail,11,1.512314337,Act143,AMOC Jewellery,1,4.777951533,Act137,Altidore Castle,1,1.659487268,Act2943,Greystones Beach,3
4463223,53.5312933,-9.156564,0.934297321,-0.15981219,10.77816913,Act2544,Flannery's Bistro,0,5.543157372,Act600,Bayview Angling Centre,0,8.649584095,Act5049,Rare and Recent Books,0,5.965473569,Act5193,Rosserrilly Abbey,0,2.453403464,Act4863,Patrick Moran Tours,1
4415798,53.350426,-6.5472019,0.931140591,-0.11427023,1.327532449,Act4336,Michelangelo Restaurant,10,1.131789134,Act1256,Castletown House,11,10.34501205,Act3961,Liffey Valley Shopping Centre,0,1.131789134,Act1257,Castletown House Parkland,5,1.361739855,Act589,Base Entertainment Centre,9
4436372,53.4806871,-7.2906973,0.933414076,-0.127246673,4.013119838,Act6387,The Roadhouse,4,4.534703562,Act4490,Mullingar Golf Club,1,39.57066472,Act1508,Clonmacnoise Pottery,0,0,Act4669,O’Meara’s Garden Pavilion,1,5.074194838,Act5144,Rock 'n' Bowl,0
4444584,53.4721401,-7.6844004,0.933264903,-0.134118088,8.827813897,Act4822,P Egan's of Moate,0,7.683267374,Act4437,Mount Temple Golf & Country Club,0,15.45200798,Act1508,Clonmacnoise Pottery,0,8.242839241,Act6122,The Hill of Uisneach,0,8.883229918,Act6728,Tuar Ard,0
