,School,FullAddress,Latitude,Longitude
2926,"Scoil Choilm Community NS, Porterstown Road, Clonsilla","Porterstown Rd, Porterstown, Dublin 15, Ireland",53.376026,-6.407973800000001
2927,"BLESSINGTON EDUCATE TOGETHER, Red Lane, Blessington","Red Lane, Blessington, Co. Wicklow, Ireland",53.1791642,-6.5067263
2928,"GAEL SCOIL NA LOCHANNA, Cill Moloma, Baile Coimín","Cill Moloma, Kilmalum, Blessington, Co. Wicklow, Ireland",53.1616575,-6.5523548
2929,"Ennistymon National School, Ennistymon, Co. Clare","Lahinch Rd Next to, Scoil Mhuire, Ardnacullia North, Ennistimon, Co. Clare, V95 YP46, Ireland",52.9381697,-9.2986051
2930,"THE BILLIS NATIONAL SCHOOL, Billis, Glaslough","Billis, Glaslough, Co. Monaghan, H18 RR22, Ireland",54.2948958,-6.9347696
2931,"Scoil Ghrainne Community National School, Phibblestown, Clonee","Hansfield, Clonee, Co. Dublin, D15 Y5PR, Ireland",53.3975581,-6.437074399999999
2932,"GAELSCOIL BHAILE BRIGIN, Fearann an Chaisleáin, Baile Brigín","Castleland Ct, Castleland, Balbriggan, Co. Dublin, Ireland",53.6004678,-6.1789644
2933,"Bunscoil McAuley Rice, Kilkenny Road, Callan","Kilkenny Rd, Callan North, Co. Kilkenny, Ireland",52.548233,-7.387130199999999
2934,"Scoil Náisiúnta Thuar Mhic Éadaigh, Trianláir, Tuarmhicéadaigh","Ballynaroon, Glounthaune, Co. Cork, Ireland",51.9139625,-8.3418162
2935,"Scoil Naomh Padraig, Hazelhatch, Celbridge","Ballyroan Cresent, Ballyroan, Dublin 16, D16 A7K7, Ireland",53.2859998,-6.3002261
2936,"Gaelscoil an Bhradáin Feasa, Bóthar an Mhuilinn, Droichead Átha","Gaelscoil an Bhradáin Feasa, Bóthar an Mhuilinn, Stameen, Drogheda, Co. Meath, A92 WY45, Ireland",53.71102519999999,-6.298367799999999
2937,"St. Francis National School, Rock Road, Blackrock","Rock Road, Haggardstown, Blackrock, Co. Louth, A91 NH0V, Ireland",53.96449879999999,-6.3788257
2938,"Gaelscoil Chluainín, Sráid an Chaisleáin, Cluainín Uí Ruairc","Gaelscoil Chluainin, 19-20 Castle St, Manorhamilton, Co. Leitrim, F91 PP62, Ireland",54.3061807,-8.1798326
2939,"Newtown Junior School, Lower Newtown, Waterford City","Newtown Lower, Waterford, Ireland",52.253006,-7.101870300000001
2940,"GAELSCOIL NA BHFILI, Gort Inse Guaire, Co. na Gaillimhe","Ionad Phobal, Bóthair Inis, Gortstuckanagh, Gort, Co. Galway, Ireland",53.06243,-8.812987
2941,"Gaelscoil Chionn tSáile, An Ceapach, Cionn tSáile","Cappagh, Kinsale, Co. Cork, Ireland",51.70778319999999,-8.5383772
2942,"Scoil Bhríde Primary School, Killane, Edenderry","Killane, Monasteroris, Edenderry, Co. Offaly, Ireland",53.3380261,-7.0714973
2943,"Adamstown Castle Educate Together National School, Station Road, Adamstown","Station Rd, Adamstown, Dublin, Ireland",53.3360905,-6.4600183
2944,"Scoil Chormaic, Scoil Chormaic CNS, Stephenstown","Stephenstown, Balbriggan, Co. Dublin, K32 AX94, Ireland",53.6049427,-6.20179
2945,"Holy Family Junior School, Aughnaharna, Summerhill","Aughnaharna, Summerhill, Portlaoise, Co. Laois, R32 CY05, Ireland",53.0299005,-7.276967099999999
2946,"Scoil na Naomh Uilig, Rickardstown, Newbridge","Rickardstown, Newbridge, Co. Kildare, Ireland",53.1904145,-6.8086129
2947,"St Mary's National School, Thomastown, Co. Kilkenny","Maudlin St, Thomastown, Co. Kilkenny, Ireland",52.5285616,-7.1363657
2948,"S N Chartaigh Naofa, Rahan, Tullamore","Tullybeg, Rahan, Co. Offaly, Ireland",53.2822386,-7.623172599999999
2949,"Esker Educate Together N.S., The Glebe, Esker Lane","Esker Ln, Glebe, Lucan, Co. Dublin, Ireland",53.3506575,-6.436810299999999
2950,"Scoil Íosa, Convent Hill, Ballina","Convent Hill, Ballina, Co. Mayo, Ireland",54.1165743,-9.165055899999999
2951,"St Michaels National School, Cootehill, Co. Cavan","Saint Michael's National School, Station Rd, Glebe, Cootehill, Co. Cavan, Ireland",54.0741609,-7.074582899999999
2952,"Newtownmountkennedy Primary School, Newtownmountkennedy, Co. Wicklow","4 Dublin Rd, Kilmacullagh, Newtown Mount Kennedy, Co. Wicklow, A63 NY91, Ireland",53.0903789,-6.113700499999999
2953,"Newtown NS, Newtown, Abbeyknockmoy","Abbeyknockmoy, Tuam, Co. Galway, H54 P489, Ireland",53.4396996,-8.728894799999999
2954,"St Benedicts and St Marys National School, Grange Park, Raheny","30-68 Grange Park View, Donaghmede, Dublin 5, D05 FP74, Ireland",53.3884441,-6.164294099999999
