id,formatted_address,lat,lng,county,address,dateofsale,euro_price
80,"50 Cedarwood Rd, Ballymun, Dublin, Ireland",53.3957733,-6.283535,Dublin,"50 CEDARWOOD RD, BALLYMUN, DUBLIN 11",05/11/2020,400000.00
81,"Rahoon, Barnacranny, Co. Galway, Ireland",53.2756196,-9.092555,Galway,"50 CORRACH BUILDING, RAHOON, GALWAY",05/11/2020,185000.00
122,"6 Shanowen Rd, Whitehall, Dublin 9, D09 X097, Ireland",53.389564,-6.2469337,Dublin,"6 SHANOWEN RD, SANTRY, DUBLIN 9",05/11/2020,350000.00
114,"Belarmine Hall, Belarmine Ave, Belarmine, Dublin 18, Ireland",53.2616219,-6.2216501,Dublin,"9 BELARMINE HALL, STEPASIDE, DUBLIN 18",05/11/2020,295000.00
117,"9 Ballymoneen Rd, Portacarron, Knocknacarra, Galway, H91 Y32H, Ireland",53.2671242,-9.1152932,Galway,"9 PORTACARRON, BALLYMONEEN RD, KNOCK NA CARRA",05/11/2020,250000.00
102,"The Monageer Tavern, Monagear, Enniscorthy, Co. Wexford, Y21 D2X7, Ireland",52.527548,-6.4790108,Wexford,"MONAGEER FERNS, ENNISCORTHY, WEXFORD",05/11/2020,153000.00
66,"13 Millbrook Ct, Ballygillaroe, Redcross, Co. Wicklow, A67 VF89, Ireland",52.8911109,-6.1415614,Wicklow,"13 MILLBROOK COURT, REDCROSS, CO WICKLOW",05/11/2020,375000.00
190,"2 Corn Mill Row, Distillery Rd, Drumcondra, Dublin 3, D03 RX37, Ireland",53.3629988,-6.2492528,Dublin,"2 CORNMILL, APT 2, DISTILLERY RD DUBLIN 3",04/11/2020,250000.00
140,"10 Ardan Na Coille, Castledermot, Ard a'Laoi, Co. Kildare, R14 R688, Ireland",52.9107849,-6.849212,Kildare,"10 ARDAN NA COILLE, ARD A LAOI, CASTLEDERMOT",04/11/2020,125000.00
139,"10 Ormond Dr, Mooretown, Swords, Co. Dublin, K67 H7D2, Ireland",53.461789,-6.2471293,Dublin,"10 ORMAND DR, SWORDS MANOR, SWORDS DUBLIN",04/11/2020,375000.00
138,"18 Ramleh Park, Rathmines, Dublin 6, D06 T3P1, Ireland",53.3155238,-6.2431639,Dublin,"18 RAMLEH PARK, MILLTOWN, DUBLIN 6",04/11/2020,680000.00
151,"13 Castlewood Gardens, Rathnapish, Carlow, Ireland",52.839016,-6.9136793,Carlow,"13 CASTLEWOOD GARDENS, POLLERTON ROAD, CARLOW",04/11/2020,189000.00
150,"Blessington Rd, Tipper South, Naas, Co. Kildare, Ireland",53.209318,-6.6416341,Kildare,"143 LONGSTONE, BLESSINGTON ROAD, CRADOCKSTOWN",04/11/2020,414097.00
137,"18 Coney Meadows, Coneyboro, Athy, Co. Kildare, R14 V306, Ireland",52.9813561,-6.9739427,Kildare,"18CONEYMEADOWS CONEYBORO ATHY, KILDARE",04/11/2020,130000.00
196,"2 Ardan Na Coille, Castledermot, Ard a'Laoi, Co. Kildare, R14 R257, Ireland",52.9104374,-6.8484404,Kildare,"2 ARDAN NA COILLE, ARD A LAOI, CASTLEDERMOT",04/11/2020,125000.00
162,"Rockfield, Dundrum, D14, Ireland",53.2863024,-6.2356929,Dublin,"23 THE WILLOW, ROCKFIELD, DUNDRUM DUBLIN 14",04/11/2020,310000.00
168,"Academy Square, Academy St, Athlumney, Navan, Co. Meath, Ireland",53.6467081,-6.675434,Meath,"22 BLOCK G, ACADEMY SQUARE, NAVAN",04/11/2020,185000.00
191,"2 Rochestown Rd, Delford Dr, Mount Oval, Cork, T12 X9WK, Ireland",51.877259,-8.4181311,Cork,"2 DELFORD DR, ROCHESTOWN, CORK",04/11/2020,310000.00
160,"20 Marlton Demesne, Friarshill, Wicklow, A67 DF43, Ireland",52.9790275,-6.0548685,Wicklow,"20 MARLTON DEMENSE, WICKLOW, WICKLOW",04/11/2020,379187.00
187,"Glenmaroon, 33 Luttrellpark Cres, Carpenterstown, Dublin, D15 CF5A, Ireland",53.3740959,-6.3919289,Dublin,"33 LUTTRELLPARK CRESCENT, CASTLEKNOCK, DUBLIN 15",04/11/2020,365000.00
203,"5 Ardan Na Coille, Castledermot, Ard a'Laoi, Co. Kildare, R14 TY86, Ireland",52.9105422,-6.8487336,Kildare,"5 ARDAN NA COILLE, ARD A LAOI, CASTLEDERMOT",04/11/2020,125000.00
127,"38 Taylor Hall, Archdeaconry Glebe, Kells, Co. Meath, A82 V3W7, Ireland",53.7344197,-6.8846091,Meath,"38 TAYLOR HALL, MOYNALTY RD, KELLS",04/11/2020,220000.00
182,"42 Bunbury Gate Cres, Outlands, Swords, Co. Dublin, K67 KF67, Ireland",53.4693512,-6.2405058,Dublin,"42 BUNBURY GATE CRESCENT, SWORDS, DUBLIN",04/11/2020,405000.00
181,"Palmerstown, Co. Kildare, Ireland",53.234047,-6.6190642,Kildare,"44 FURNESS WOOD, JOHNSTOWN, NAAS",04/11/2020,385000.00
185,"49 Eden Villas, Sandycove, Dublin, A96 K527, Ireland",53.2836107,-6.1265438,Dublin,"49 EDEN VILLAS, GLASTHULE, DUBLIN",04/11/2020,460000.00
153,"Tuam, Co. Galway, Ireland",53.5141156,-8.8565177,Galway,"BALLINAPHUILL, CUMMER, TUAM",04/11/2020,80020.00
155,"Ballyshonock, Gort Na Scí, Co. Cork, Ireland",52.2558627,-8.4722608,Cork,"BALLYSHONOCK, KILDORRERY, MALLOW",04/11/2020,270000.00
180,"Cametringane, Castletown-Bearhaven, Co. Cork, Ireland",51.6514954,-9.9103302,Cork,"RODEEN, CASTLETOWNBERE, CORK",04/11/2020,317000.00
205,"59 The Pines, Tiknock, Arklow, Co. Wicklow, Ireland",52.8061663,-6.1424641,Wicklow,"59 THE PINES, SEA RD, ARKLOW",04/11/2020,263000.00
174,"Abbeylands, Arklow, Co. Wicklow, Ireland",52.7936251,-6.1583663,Wicklow,"ABBEYLANDS, ARKLOW, WICKLOW",04/11/2020,150000.00
154,"Apartment 6, 5 Beau Park St, Donaghmede, Dublin 13, D13 WN47, Ireland",53.4019683,-6.1536056,Dublin,"APT 6, BLOCK 5 BEAUPARK ST, BEAUPARK DUBLIN 13",04/11/2020,230000.00
133,"The Gables, Whitshed Rd, Killincarrig, Greystones, Co. Wicklow, Ireland",53.1405426,-6.0668412,Wicklow,"THE GABLES, WHITSHED RD, GREYSTONES",04/11/2020,1900000.00
145,"15 Seabury Dale, Yellow Walls, Malahide, Co. Dublin, K36 AY29, Ireland",53.4548545,-6.1838442,Dublin,"15 SEABURY DALE, MALAHIDE, DUBLIN",04/11/2020,490000.00
165,"20 Woodglade, Fennagh, Fenagh, Co. Carlow, R21 H294, Ireland",52.7170359,-6.8489148,Carlow,"20 WOODGLADE, FENAGH, CARLOW",04/11/2020,185000.00
163,"21 Sarsfield Manor, Lowpark, Charlestown, Co. Mayo, F12 KP82, Ireland",53.9587283,-8.8083132,Mayo,"21 SARSFIELD MANOR, CHARLESTOWN, MAYO",04/11/2020,107500.00
166,"22 St Vincent's Park, Seapoint, Blackrock, Co. Dublin, A94 H1F8, Ireland",53.2965077,-6.1715719,Dublin,"22 ST VINCENTS PARK, BLACKROCK, DUBLIN",04/11/2020,615000.00
199,"254 Charlesland Park, Charlesland, Greystones, Co. Wicklow, A63 WD59, Ireland",53.1265742,-6.0722126,Wicklow,"254 CHARLESLAND PARK, GREYSTONES, WICKLOW",04/11/2020,322000.00
197,"27 Loughnane Terrace, Mervue, Galway, Co. Galway, H91 XA4P, Ireland",53.2807076,-9.0189506,Galway,"27 LOUGHNANE TERRACE, MERVUE, GALWAY",04/11/2020,237500.00
188,"Mornington Cl, Donacarney Little, Ireland, Co. Meath, A92 AH9V, Ireland",53.7130936,-6.2814384,Meath,"30 MAYDENHAYES ROAD, MAYDENHAYES, MORNINGTON",04/11/2020,270000.00
124071,"Mornington Cl, Donacarney Little, Ireland, Co. Meath, A92 AH9V, Ireland",53.7130936,-6.2814384,Meath,"30 MAYDENHAYES ROAD, MAYDENHAYES, MORNINGTON",04/11/2020,270000.00
186,"40 Fairyhouse Lodge, Jamestown, Ratoath, Co. Meath, A85 RW77, Ireland",53.4973399,-6.463436,Meath,"40 FAIRYHOUSE LODGE, RATOATH, MEATH",04/11/2020,590000.00
125,"6 Llewellyn Ct, Rathfarnham, Dublin 16, D16 YT10, Ireland",53.2814686,-6.2652847,Dublin,"6 LLEWELLYN COURT, GRANGE VALLEY, RATHFARNHAM DUBLIN 16",04/11/2020,425000.00
126,"74 St Magdalen Terrace, Stella Gardens, Dublin 4, D04 Y220, Ireland",53.3394217,-6.2251705,Dublin,"74 ST MAGDALEN TERRACE, STELLA GARDENS, IRISHTOWN DUBLIN 4",04/11/2020,505000.00
141,"17 Anglers Walk, Carlow, R93 HY67, Ireland",52.8318722,-6.9214829,Carlow,"17 ANGLERS WALK, CO CARLOW",04/11/2020,175000.00
136,"18 Grange Cres, Dún Laoghaire, Dublin, A96 Y9H9, Ireland",53.2780801,-6.1583989,Dublin,"18 GRANGE CRESCENT, POTTERY RD, DUN LAOGHAIRE",04/11/2020,432000.00
131,"3 Ceide Diarmada, Castledermot, Ard a'Laoi, Co. Kildare, R14 KX04, Ireland",52.9096925,-6.8494328,Kildare,"3 CEIDE DIARMADA, ARD A LAOI, CASTLEDERMOT",04/11/2020,125000.00
129,"3 Foxhill Ave, Donaghmede, Dublin 13, D13 F3A3, Ireland",53.395569,-6.1748444,Dublin,"3 FOXHILL AVE, DONAGHMEDE, DUBLIN 13",04/11/2020,335000.00
